"Notes","State of Residence","State of Residence Code","OE Gestational Age Recode 10","OE Gestational Age Recode 10 Code",Births
,"Alabama","01","Under 20 weeks","01",20
,"Alabama","01","20 - 27 weeks","02",581
,"Alabama","01","28 - 31 weeks","03",675
,"Alabama","01","32 - 35 weeks","04",3165
,"Alabama","01","36 weeks","05",2642
,"Alabama","01","37 - 39 weeks","06",41145
,"Alabama","01","40 weeks","07",8992
,"Alabama","01","41 weeks","08",1813
,"Alabama","01","42 weeks or more","09",87
,"Alabama","01","Unknown or Not Stated","10",31
,"Alaska","02","Under 20 weeks","01",Suppressed
,"Alaska","02","20 - 27 weeks","02",54
,"Alaska","02","28 - 31 weeks","03",69
,"Alaska","02","32 - 35 weeks","04",449
,"Alaska","02","36 weeks","05",423
,"Alaska","02","37 - 39 weeks","06",6421
,"Alaska","02","40 weeks","07",2596
,"Alaska","02","41 weeks","08",1117
,"Alaska","02","42 weeks or more","09",71
,"Alaska","02","Unknown or Not Stated","10",Suppressed
,"Arizona","04","Under 20 weeks","01",30
,"Arizona","04","20 - 27 weeks","02",452
,"Arizona","04","28 - 31 weeks","03",637
,"Arizona","04","32 - 35 weeks","04",3331
,"Arizona","04","36 weeks","05",3204
,"Arizona","04","37 - 39 weeks","06",54292
,"Arizona","04","40 weeks","07",17118
,"Arizona","04","41 weeks","08",5133
,"Arizona","04","42 weeks or more","09",231
,"Arizona","04","Unknown or Not Stated","10",92
,"Arkansas","05","Under 20 weeks","01",Suppressed
,"Arkansas","05","20 - 27 weeks","02",276
,"Arkansas","05","28 - 31 weeks","03",422
,"Arkansas","05","32 - 35 weeks","04",1763
,"Arkansas","05","36 weeks","05",1687
,"Arkansas","05","37 - 39 weeks","06",25821
,"Arkansas","05","40 weeks","07",6806
,"Arkansas","05","41 weeks","08",1397
,"Arkansas","05","42 weeks or more","09",70
,"Arkansas","05","Unknown or Not Stated","10",23
,"California","06","Under 20 weeks","01",73
,"California","06","20 - 27 weeks","02",2405
,"California","06","28 - 31 weeks","03",3725
,"California","06","32 - 35 weeks","04",19064
,"California","06","36 weeks","05",16807
,"California","06","37 - 39 weeks","06",297339
,"California","06","40 weeks","07",111602
,"California","06","41 weeks","08",35499
,"California","06","42 weeks or more","09",1881
,"California","06","Unknown or Not Stated","10",432
,"Colorado","08","Under 20 weeks","01",15
,"Colorado","08","20 - 27 weeks","02",315
,"Colorado","08","28 - 31 weeks","03",500
,"Colorado","08","32 - 35 weeks","04",2708
,"Colorado","08","36 weeks","05",2360
,"Colorado","08","37 - 39 weeks","06",39096
,"Colorado","08","40 weeks","07",15477
,"Colorado","08","41 weeks","08",5800
,"Colorado","08","42 weeks or more","09",319
,"Colorado","08","Unknown or Not Stated","10",23
,"Connecticut","09","Under 20 weeks","01",28
