"Notes","State of Residence","State of Residence Code","Trimester Prenatal Care Began","Trimester Prenatal Care Began Code",Births
,"Alabama","01","1st to 3rd month","1",42282
,"Alabama","01","4th to 6th month","2",12394
,"Alabama","01","7th to final month","3",3017
,"Alabama","01","No prenatal care","4",1218
,"Alabama","01","Unknown or Not Stated","5",240
,"Alabama","01","Not Reported","100",0
,"Alaska","02","1st to 3rd month","1",8270
,"Alaska","02","4th to 6th month","2",2109
,"Alaska","02","7th to final month","3",549
,"Alaska","02","No prenatal care","4",93
,"Alaska","02","Unknown or Not Stated","5",188
,"Alaska","02","Not Reported","100",0
,"Arizona","04","1st to 3rd month","1",60424
,"Arizona","04","4th to 6th month","2",15077
,"Arizona","04","7th to final month","3",5037
,"Arizona","04","No prenatal care","4",2041
,"Arizona","04","Unknown or Not Stated","5",1941
,"Arizona","04","Not Reported","100",0
,"Arkansas","05","1st to 3rd month","1",23106
,"Arkansas","05","4th to 6th month","2",7003
,"Arkansas","05","7th to final month","3",2647
,"Arkansas","05","No prenatal care","4",1047
,"Arkansas","05","Unknown or Not Stated","5",4471
,"Arkansas","05","Not Reported","100",0
,"California","06","1st to 3rd month","1",408913
,"California","06","4th to 6th month","2",53767
,"California","06","7th to final month","3",14629
,"California","06","No prenatal care","4",3528
,"California","06","Unknown or Not Stated","5",7990
,"California","06","Not Reported","100",0
,"Colorado","08","1st to 3rd month","1",50657
,"Colorado","08","4th to 6th month","2",10723
,"Colorado","08","7th to final month","3",3045
,"Colorado","08","No prenatal care","4",984
,"Colorado","08","Unknown or Not Stated","5",1204
,"Colorado","08","Not Reported","100",0
,"Connecticut","09","1st to 3rd month","1",29479
,"Connecticut","09","4th to 6th month","2",4312
,"Connecticut","09","7th to final month","3",1139
,"Connecticut","09","No prenatal care","4",105
,"Connecticut","09","Unknown or Not Stated","5",980
,"Connecticut","09","Not Reported","100",0
,"Delaware","10","1st to 3rd month","1",8534
,"Delaware","10","4th to 6th month","2",1603
,"Delaware","10","7th to final month","3",431
,"Delaware","10","No prenatal care","4",261
,"Delaware","10","Unknown or Not Stated","5",163
,"Delaware","10","Not Reported","100",0
,"District of Columbia","11","1st to 3rd month","1",6701
,"District of Columbia","11","4th to 6th month","2",2038
,"District of Columbia","11","7th to final month","3",690
,"District of Columbia","11","No prenatal care","4",214
,"District of Columbia","11","Unknown or Not Stated","5",215
,"District of Columbia","11","Not Reported","100",0
,"Florida","12","1st to 3rd month","1",158547
,"Florida","12","4th to 6th month","2",38796
,"Florida","12","7th to final month","3",10345
,"Florida","12","No prenatal care","4",3974
,"Florida","12","Unknown or Not Stated","5",13360
,"Florida","12","Not Reported","100",0
,"Georgia","13","1st to 3rd month","1",92505
,"Georgia","13","4th to 6th month","2",20968
,"Georgia","13","7th to final month","3",5914
,"Georgia","13","No prenatal care","4",4261
,"Georgia","13","Unknown or Not Stated","5",6394
,"Georgia","13","Not Reported","100",0
,"Hawaii","15","1st to 3rd month","1",13232
,"Hawaii","15","4th to 6th month","2",2852
