"Notes","State of Residence","State of Residence Code","Marital Status","Marital Status Code",Births
,"Alabama","01","Married","1",32701
,"Alabama","01","Unmarried","2",26450
,"Alabama","01","Unknown or Not Stated","9",0
,"Alabama","01","Not Reported","NR",0
,"Alaska","02","Married","1",7157
,"Alaska","02","Unmarried","2",4052
,"Alaska","02","Unknown or Not Stated","9",0
,"Alaska","02","Not Reported","NR",0
,"Arizona","04","Married","1",46467
,"Arizona","04","Unmarried","2",38053
,"Arizona","04","Unknown or Not Stated","9",0
,"Arizona","04","Not Reported","NR",0
,"Arkansas","05","Married","1",21238
,"Arkansas","05","Unmarried","2",17036
,"Arkansas","05","Unknown or Not Stated","9",0
,"Arkansas","05","Not Reported","NR",0
,"California","06","Married","1",301976
,"California","06","Unmarried","2",186851
,"California","06","Unknown or Not Stated","9",0
,"California","06","Not Reported","NR",0
,"Colorado","08","Married","1",51632
,"Colorado","08","Unmarried","2",14981
,"Colorado","08","Unknown or Not Stated","9",0
,"Colorado","08","Not Reported","NR",0
,"Connecticut","09","Married","1",22727
,"Connecticut","09","Unmarried","2",13288
,"Connecticut","09","Unknown or Not Stated","9",0
,"Connecticut","09","Not Reported","NR",0
,"Delaware","10","Married","1",5955
,"Delaware","10","Unmarried","2",5037
,"Delaware","10","Unknown or Not Stated","9",0
,"Delaware","10","Not Reported","NR",0
,"District of Columbia","11","Married","1",5087
,"District of Columbia","11","Unmarried","2",4771
,"District of Columbia","11","Unknown or Not Stated","9",0
,"District of Columbia","11","Not Reported","NR",0
,"Florida","12","Married","1",119485
,"Florida","12","Unmarried","2",105537
,"Florida","12","Unknown or Not Stated","9",0
,"Florida","12","Not Reported","NR",0
,"Georgia","13","Married","1",71647
,"Georgia","13","Unmarried","2",58395
,"Georgia","13","Unknown or Not Stated","9",0
,"Georgia","13","Not Reported","NR",0
,"Hawaii","15","Married","1",11379
,"Hawaii","15","Unmarried","2",6680
,"Hawaii","15","Unknown or Not Stated","9",0
,"Hawaii","15","Not Reported","NR",0
,"Idaho","16","Married","1",16276
,"Idaho","16","Unmarried","2",6206
,"Idaho","16","Unknown or Not Stated","9",0
,"Idaho","16","Not Reported","NR",0
,"Illinois","17","Married","1",93153
,"Illinois","17","Unmarried","2",61292
,"Illinois","17","Unknown or Not Stated","9",0
,"Illinois","17","Not Reported","NR",0
,"Indiana","18","Married","1",47643
,"Indiana","18","Unmarried","2",35448
,"Indiana","18","Unknown or Not Stated","9",0
,"Indiana","18","Not Reported","NR",0
,"Iowa","19","Married","1",25602
,"Iowa","19","Unmarried","2",13801
,"Iowa","19","Unknown or Not Stated","9",0
,"Iowa","19","Not Reported","NR",0
,"Kansas","20","Married","1",24357
,"Kansas","20","Unmarried","2",13696
,"Kansas","20","Unknown or Not Stated","9",0
,"Kansas","20","Not Reported","NR",0
,"Kentucky","21","Married","1",32516
,"Kentucky","21","Unmarried","2",22933
,"Kentucky","21","Unknown or Not Stated","9",0
,"Kentucky","21","Not Reported","NR",0
,"Louisiana","22","Married","1",30295
,"Louisiana","22","Unmarried","2",32883
,"Louisiana","22","Unknown or Not Stated","9",0
,"Louisiana","22","Not Reported","NR",0
,"Maine","23","Married","1",7658
,"Maine","23","Unmarried","2",5047
,"Maine","23","Unknown or Not Stated","9",0
,"Maine","23","Not Reported","NR",0
,"Maryland","24","Married","1",44130
,"Maryland","24","Unmarried","2",29006
,"Maryland","24","Unknown or Not Stated","9",0
,"Maryland","24","Not Reported","NR",0
,"Massachusetts","25","Married","1",47782
,"Massachusetts","25","Unmarried","2",23535
,"Massachusetts","25","Unknown or Not Stated","9",0
,"Massachusetts","25","Not Reported","NR",0
,"Michigan","26","Married","1",66815
,"Michigan","26","Unmarried","2",46500
,"Michigan","26","Unknown or Not Stated","9",0
,"Michigan","26","Not Reported","NR",0
,"Minnesota","27","Married","1",47262
,"Minnesota","27","Unmarried","2",22487
,"Minnesota","27","Unknown or Not Stated","9",0
,"Minnesota","27","Not Reported","NR",0
,"Mississippi","28","Married","1",17755
,"Mississippi","28","Unmarried","2",20173
,"Mississippi","28","Unknown or Not Stated","9",0
,"Mississippi","28","Not Reported","NR",0
,"Missouri","29","Married","1",44952
,"Missouri","29","Unmarried","2",29753
,"Missouri","29","Unknown or Not Stated","9",0
,"Missouri","29","Not Reported","NR",0
,"Montana","30","Married","1",7816
,"Montana","30","Unmarried","2",4466
,"Montana","30","Unknown or Not Stated","9",0
,"Montana","30","Not Reported","NR",0
,"Nebraska","31","Married","1",18006
,"Nebraska","31","Unmarried","2",8583
,"Nebraska","31","Unknown or Not Stated","9",0
,"Nebraska","31","Not Reported","NR",0
,"Nevada","32","Married","1",18937
,"Nevada","32","Unmarried","2",17323
,"Nevada","32","Unknown or Not Stated","9",0
,"Nevada","32","Not Reported","NR",0
,"New Hampshire","33","Married","1",8137
,"New Hampshire","33","Unmarried","2",4130
,"New Hampshire","33","Unknown or Not Stated","9",0
,"New Hampshire","33","Not Reported","NR",0
,"New Jersey","34","Married","1",67143
,"New Jersey","34","Unmarried","2",35504
,"New Jersey","34","Unknown or Not Stated","9",0
,"New Jersey","34","Not Reported","NR",0
,"New Mexico","35","Married","1",12071
,"New Mexico","35","Unmarried","2",12621
,"New Mexico","35","Unknown or Not Stated","9",0
,"New Mexico","35","Not Reported","NR",0
,"New York","36","Married","1",144143
,"New York","36","Unmarried","2",90140
,"New York","36","Unknown or Not Stated","9",0
,"New York","36","Not Reported","NR",0
,"North Carolina","37","Married","1",71944
,"North Carolina","37","Unmarried","2",48835
,"North Carolina","37","Unknown or Not Stated","9",0
,"North Carolina","37","Not Reported","NR",0
,"North Dakota","38","Married","1",7784
,"North Dakota","38","Unmarried","2",3599
,"North Dakota","38","Unknown or Not Stated","9",0
,"North Dakota","38","Not Reported","NR",0
,"Ohio","39","Married","1",78765
,"Ohio","39","Unmarried","2",59320
,"Ohio","39","Unknown or Not Stated","9",0
,"Ohio","39","Not Reported","NR",0
,"Oklahoma","40","Married","1",30367
,"Oklahoma","40","Unmarried","2",22225
,"Oklahoma","40","Unknown or Not Stated","9",0
,"Oklahoma","40","Not Reported","NR",0
,"Oregon","41","Married","1",29238
,"Oregon","41","Unmarried","2",16297
,"Oregon","41","Unknown or Not Stated","9",0
,"Oregon","41","Not Reported","NR",0
,"Pennsylvania","42","Married","1",82729
,"Pennsylvania","42","Unmarried","2",56680
,"Pennsylvania","42","Unknown or Not Stated","9",0
,"Pennsylvania","42","Not Reported","NR",0
,"Rhode Island","44","Married","1",5948
,"Rhode Island","44","Unmarried","2",4850
,"Rhode Island","44","Unknown or Not Stated","9",0
,"Rhode Island","44","Not Reported","NR",0
,"South Carolina","45","Married","1",31377
,"South Carolina","45","Unmarried","2",25965
,"South Carolina","45","Unknown or Not Stated","9",0
,"South Carolina","45","Not Reported","NR",0
,"South Dakota","46","Married","1",7749
,"South Dakota","46","Unmarried","2",4526
,"South Dakota","46","Unknown or Not Stated","9",0
,"South Dakota","46","Not Reported","NR",0
,"Tennessee","47","Married","1",45579
,"Tennessee","47","Unmarried","2",35228
,"Tennessee","47","Unknown or Not Stated","9",0
,"Tennessee","47","Not Reported","NR",0
,"Texas","48","Married","1",233496
,"Texas","48","Unmarried","2",164551
,"Texas","48","Unknown or Not Stated","9",0
,"Texas","48","Not Reported","NR",0
,"Utah","49","Married","1",41074
,"Utah","49","Unmarried","2",9390
,"Utah","49","Unknown or Not Stated","9",0
,"Utah","49","Not Reported","NR",0
,"Vermont","50","Married","1",3490
,"Vermont","50","Unmarried","2",2266
,"Vermont","50","Unknown or Not Stated","9",0
,"Vermont","50","Not Reported","NR",0
,"Virginia","51","Married","1",67609
,"Virginia","51","Unmarried","2",34851
,"Virginia","51","Unknown or Not Stated","9",0
,"Virginia","51","Not Reported","NR",0
,"Washington","53","Married","1",61770
,"Washington","53","Unmarried","2",28735
,"Washington","53","Unknown or Not Stated","9",0
,"Washington","53","Not Reported","NR",0
,"West Virginia","54","Married","1",10495
,"West Virginia","54","Unmarried","2",8584
,"West Virginia","54","Unknown or Not Stated","9",0
,"West Virginia","54","Not Reported","NR",0
,"Wisconsin","55","Married","1",41804
,"Wisconsin","55","Unmarried","2",24811
,"Wisconsin","55","Unknown or Not Stated","9",0
,"Wisconsin","55","Not Reported","NR",0
,"Wyoming","56","Married","1",4961
,"Wyoming","56","Unmarried","2",2425
,"Wyoming","56","Unknown or Not Stated","9",0
,"Wyoming","56","Not Reported","NR",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2016"
"Group By: State of Residence; Marital Status"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 15, 2026 8:06:59 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 15, 2026 8:06:59 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. Beginning in 2017, due to state statutory restrictions, California no longer provides record-level data on the marital status"
"of the mother for births occurring in California to California residents and non-residents (including residents of other"
"states). For these births, ""Marital Status"" is coded as ""Not Reported""."
