"Age Group","Mechanism","Year","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"0 to 4","","2023","Maine","--","61,645","0.00**","--","--"
"0 to 4","","2023","Rhode Island","--","52,210","0.00**","--","--"
"0 to 4","","2023","Vermont","--","27,348","0.00**","--","--"
"0 to 4","","2023","Wyoming","--","30,785","0.00**","--","--"
"0 to 4","Cut/Pierce","2023","California","--","2,097,790","--","--","--"
"0 to 4","Cut/Pierce","2023","Georgia","--","635,832","--","--","--"
"0 to 4","Cut/Pierce","2023","Idaho","--","113,383","--","--","--"
"0 to 4","Cut/Pierce","2023","Nebraska","--","123,659","--","--","--"
"0 to 4","Cut/Pierce","2023","New York","--","1,038,816","--","--","--"
"0 to 4","Cut/Pierce","2023","Texas","--","1,936,893","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Alabama","--","293,105","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","California","--","2,097,790","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Connecticut","--","180,673","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Florida","--","1,124,756","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Georgia","--","635,832","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Indiana","--","405,723","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","New York","--","1,038,816","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Oregon","--","202,332","--","--","--"
"0 to 4","Drowning (includes water transport)","2023","Texas","--","1,936,893","--","--","--"
"0 to 4","Fire/Flame","2023","Colorado","--","308,959","--","--","--"
"0 to 4","Fire/Flame","2023","Florida","--","1,124,756","--","--","--"
"0 to 4","Fire/Flame","2023","Kansas","--","174,988","--","--","--"
"0 to 4","Fire/Flame","2023","Kentucky","--","263,862","--","--","--"
"0 to 4","Fire/Flame","2023","Louisiana","--","279,427","--","--","--"
"0 to 4","Fire/Flame","2023","Michigan","--","529,962","--","--","--"
"0 to 4","Fire/Flame","2023","Pennsylvania","--","665,907","--","--","--"
"0 to 4","Fire/Flame","2023","Tennessee","--","411,380","--","--","--"
"0 to 4","Fire/Flame","2023","Washington","--","421,127","--","--","--"
"0 to 4","Hot object/Substance","2023","California","--","2,097,790","--","--","--"
"0 to 4","Hot object/Substance","2023","Colorado","--","308,959","--","--","--"
"0 to 4","Hot object/Substance","2023","Florida","--","1,124,756","--","--","--"
"0 to 4","Hot object/Substance","2023","Kentucky","--","263,862","--","--","--"
"0 to 4","Hot object/Substance","2023","Texas","--","1,936,893","--","--","--"
"0 to 4","Firearm","2023","Alabama","--","293,105","--","--","--"
"0 to 4","Firearm","2023","Alaska","--","45,857","--","--","--"
"0 to 4","Firearm","2023","Arizona","--","393,531","--","--","--"
"0 to 4","Firearm","2023","Arkansas","--","180,834","--","--","--"
"0 to 4","Firearm","2023","California","--","2,097,790","--","--","--"
"0 to 4","Firearm","2023","Connecticut","--","180,673","--","--","--"
"0 to 4","Firearm","2023","Florida","--","1,124,756","--","--","--"
"0 to 4","Firearm","2023","Georgia","--","635,832","--","--","--"
"0 to 4","Firearm","2023","Idaho","--","113,383","--","--","--"
"0 to 4","Firearm","2023","Illinois","--","664,874","--","--","--"
"0 to 4","Firearm","2023","Indiana","--","405,723","--","--","--"
"0 to 4","Firearm","2023","Kansas","--","174,988","--","--","--"
"0 to 4","Firearm","2023","Kentucky","--","263,862","--","--","--"
"0 to 4","Firearm","2023","Louisiana","--","279,427","--","--","--"
"0 to 4","Firearm","2023","Maryland","--","349,713","--","--","--"
"0 to 4","Firearm","2023","Michigan","--","529,962","--","--","--"
"0 to 4","Firearm","2023","Mississippi","--","173,870","--","--","--"
"0 to 4","Firearm","2023","Missouri","--","351,517","--","--","--"
"0 to 4","Firearm","2023","New Hampshire","--","62,585","--","--","--"
"0 to 4","Firearm","2023","New York","--","1,038,816","--","--","--"
"0 to 4","Firearm","2023","North Carolina","--","606,455","--","--","--"
"0 to 4","Firearm","2023","Ohio","--","658,693","--","--","--"
"0 to 4","Firearm","2023","Oklahoma","--","244,277","--","--","--"
"0 to 4","Firearm","2023","Pennsylvania","--","665,907","--","--","--"
"0 to 4","Firearm","2023","South Carolina","--","291,612","--","--","--"
"0 to 4","Firearm","2023","Tennessee","--","411,380","--","--","--"
"0 to 4","Firearm","2023","Texas","--","1,936,893","--","--","--"
"0 to 4","Firearm","2023","Utah","--","231,295","--","--","--"
"0 to 4","Firearm","2023","Virginia","--","485,946","--","--","--"
"0 to 4","Firearm","2023","Wisconsin","--","310,374","--","--","--"
"0 to 4","Drug Poisoning","2023","Alabama","--","293,105","--","--","--"
"0 to 4","Drug Poisoning","2023","California","--","2,097,790","--","--","--"
"0 to 4","Drug Poisoning","2023","Connecticut","--","180,673","--","--","--"
"0 to 4","Drug Poisoning","2023","Florida","--","1,124,756","--","--","--"
"0 to 4","Drug Poisoning","2023","Georgia","--","635,832","--","--","--"
"0 to 4","Drug Poisoning","2023","Illinois","--","664,874","--","--","--"
"0 to 4","Drug Poisoning","2023","Indiana","--","405,723","--","--","--"
"0 to 4","Drug Poisoning","2023","Iowa","--","186,039","--","--","--"
"0 to 4","Drug Poisoning","2023","Louisiana","--","279,427","--","--","--"
"0 to 4","Drug Poisoning","2023","Maryland","--","349,713","--","--","--"
"0 to 4","Drug Poisoning","2023","Massachusetts","--","343,943","--","--","--"
"0 to 4","Drug Poisoning","2023","Michigan","--","529,962","--","--","--"
"0 to 4","Drug Poisoning","2023","Minnesota","--","328,430","--","--","--"
"0 to 4","Drug Poisoning","2023","Missouri","--","351,517","--","--","--"
"0 to 4","Drug Poisoning","2023","New Jersey","--","519,070","--","--","--"
"0 to 4","Drug Poisoning","2023","New York","--","1,038,816","--","--","--"
"0 to 4","Drug Poisoning","2023","North Carolina","--","606,455","--","--","--"
"0 to 4","Drug Poisoning","2023","Ohio","--","658,693","--","--","--"
"0 to 4","Drug Poisoning","2023","Pennsylvania","--","665,907","--","--","--"
"0 to 4","Drug Poisoning","2023","South Carolina","--","291,612","--","--","--"
"0 to 4","Drug Poisoning","2023","Texas","--","1,936,893","--","--","--"
"0 to 4","Drug Poisoning","2023","Virginia","--","485,946","--","--","--"
"0 to 4","Drug Poisoning","2023","Washington","--","421,127","--","--","--"
"0 to 4","Struck by / against","2023","Texas","--","1,936,893","--","--","--"
"0 to 4","Suffocation","2023","Colorado","--","308,959","--","--","--"
"0 to 4","Suffocation","2023","Georgia","--","635,832","--","--","--"
"0 to 4","Suffocation","2023","Indiana","--","405,723","--","--","--"
"0 to 4","Suffocation","2023","Iowa","--","186,039","--","--","--"
"0 to 4","Suffocation","2023","Kentucky","--","263,862","--","--","--"
"0 to 4","Suffocation","2023","Maryland","--","349,713","--","--","--"
"0 to 4","Suffocation","2023","Massachusetts","--","343,943","--","--","--"
"0 to 4","Suffocation","2023","Michigan","--","529,962","--","--","--"
"0 to 4","Suffocation","2023","Minnesota","--","328,430","--","--","--"
"0 to 4","Suffocation","2023","Mississippi","--","173,870","--","--","--"
"0 to 4","Suffocation","2023","Missouri","--","351,517","--","--","--"
"0 to 4","Suffocation","2023","Montana","--","57,574","--","--","--"
"0 to 4","Suffocation","2023","New Mexico","--","107,321","--","--","--"
"0 to 4","Suffocation","2023","New York","--","1,038,816","--","--","--"
"0 to 4","Suffocation","2023","Ohio","--","658,693","--","--","--"
"0 to 4","Suffocation","2023","Pennsylvania","--","665,907","--","--","--"
"0 to 4","Suffocation","2023","South Carolina","--","291,612","--","--","--"
"0 to 4","Suffocation","2023","Tennessee","--","411,380","--","--","--"
"0 to 4","Suffocation","2023","Texas","--","1,936,893","--","--","--"
"0 to 4","Suffocation","2023","Washington","--","421,127","--","--","--"
"0 to 4","Transport, other land","2023","Arkansas","--","180,834","--","--","--"
"0 to 4","Transport, other land","2023","Georgia","--","635,832","--","--","--"
"0 to 4","Transport, other land","2023","Louisiana","--","279,427","--","--","--"
"0 to 4","Transport, other land","2023","Missouri","--","351,517","--","--","--"
"0 to 4","Transport, other land","2023","Texas","--","1,936,893","--","--","--"
"0 to 4","Other specified and classifiable","2023","Alabama","--","293,105","--","--","--"
"0 to 4","Other specified and classifiable","2023","California","--","2,097,790","--","--","--"
"0 to 4","Other specified and classifiable","2023","Delaware","--","54,471","--","--","--"
"0 to 4","Other specified and classifiable","2023","Florida","--","1,124,756","--","--","--"
"0 to 4","Other specified and classifiable","2023","Georgia","--","635,832","--","--","--"
"0 to 4","Other specified and classifiable","2023","Hawaii","--","77,650","--","--","--"
"0 to 4","Other specified and classifiable","2023","Illinois","--","664,874","--","--","--"
"0 to 4","Other specified and classifiable","2023","Indiana","--","405,723","--","--","--"
"0 to 4","Other specified and classifiable","2023","Iowa","--","186,039","--","--","--"
"0 to 4","Other specified and classifiable","2023","Kansas","--","174,988","--","--","--"
"0 to 4","Other specified and classifiable","2023","Louisiana","--","279,427","--","--","--"
"0 to 4","Other specified and classifiable","2023","Maryland","--","349,713","--","--","--"
"0 to 4","Other specified and classifiable","2023","Michigan","--","529,962","--","--","--"
"0 to 4","Other specified and classifiable","2023","Mississippi","--","173,870","--","--","--"
"0 to 4","Other specified and classifiable","2023","Missouri","--","351,517","--","--","--"
"0 to 4","Other specified and classifiable","2023","Montana","--","57,574","--","--","--"
"0 to 4","Other specified and classifiable","2023","Nebraska","--","123,659","--","--","--"
"0 to 4","Other specified and classifiable","2023","New Mexico","--","107,321","--","--","--"
"0 to 4","Other specified and classifiable","2023","New York","--","1,038,816","--","--","--"
"0 to 4","Other specified and classifiable","2023","North Carolina","--","606,455","--","--","--"
"0 to 4","Other specified and classifiable","2023","North Dakota","--","49,307","--","--","--"
"0 to 4","Other specified and classifiable","2023","Ohio","--","658,693","--","--","--"
"0 to 4","Other specified and classifiable","2023","Oklahoma","--","244,277","--","--","--"
"0 to 4","Other specified and classifiable","2023","Oregon","--","202,332","--","--","--"
"0 to 4","Other specified and classifiable","2023","Pennsylvania","--","665,907","--","--","--"
"0 to 4","Other specified and classifiable","2023","South Carolina","--","291,612","--","--","--"
"0 to 4","Other specified and classifiable","2023","South Dakota","--","57,935","--","--","--"
"0 to 4","Other specified and classifiable","2023","Texas","14**","1,936,893","0.72**","--","903"
"0 to 4","Other specified and classifiable","2023","Virginia","--","485,946","--","--","--"
"0 to 4","Other specified and classifiable","2023","West Virginia","--","87,399","--","--","--"
"0 to 4","Other specified / NEC","2023","Connecticut","--","180,673","--","--","--"
"0 to 4","Other specified / NEC","2023","Florida","--","1,124,756","--","--","--"
"0 to 4","Other specified / NEC","2023","Kentucky","--","263,862","--","--","--"
"0 to 4","Other specified / NEC","2023","Louisiana","--","279,427","--","--","--"
"0 to 4","Other specified / NEC","2023","Michigan","--","529,962","--","--","--"
"0 to 4","Other specified / NEC","2023","New Jersey","--","519,070","--","--","--"
"0 to 4","Other specified / NEC","2023","New Mexico","--","107,321","--","--","--"
"0 to 4","Other specified / NEC","2023","Ohio","--","658,693","--","--","--"
"0 to 4","Other specified / NEC","2023","Pennsylvania","--","665,907","--","--","--"
"0 to 4","Other specified / NEC","2023","South Carolina","--","291,612","--","--","--"
"0 to 4","Other specified / NEC","2023","Tennessee","--","411,380","--","--","--"
