"Mechanism","Age Group","State","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"","0 to 4","Rhode Island","2021","--","53,774","0.00**","--","--"
"","0 to 4","Vermont","2018","--","29,499","0.00**","--","--"
"","5 to 9","Alaska","2019","--","51,946","0.00**","--","--"
"","5 to 9","Connecticut","2021","--","195,545","0.00**","--","--"
"","5 to 9","Delaware","2020","--","57,505","0.00**","--","--"
"","5 to 9","District of Columbia","2023","--","37,493","0.00**","--","--"
"","5 to 9","Hawaii","2021","--","87,693","0.00**","--","--"
"","5 to 9","New Hampshire","2023","--","67,784","0.00**","--","--"
"","5 to 9","Rhode Island","2022","--","56,644","0.00**","--","--"
"","5 to 9","Rhode Island","2020","--","56,903","0.00**","--","--"
"","5 to 9","Rhode Island","2019","--","54,998","0.00**","--","--"
"","5 to 9","Vermont","2022","--","32,015","0.00**","--","--"
"","10 to 14","Delaware","2018","--","57,796","0.00**","--","--"
"","10 to 14","District of Columbia","2021","--","31,362","0.00**","--","--"
"","10 to 14","District of Columbia","2020","--","30,605","0.00**","--","--"
"","10 to 14","District of Columbia","2018","--","28,512","0.00**","--","--"
"","10 to 14","Hawaii","2018","--","80,686","0.00**","--","--"
"","10 to 14","New Hampshire","2023","--","73,205","0.00**","--","--"
"","10 to 14","New Hampshire","2022","--","74,736","0.00**","--","--"
"","10 to 14","New Hampshire","2021","--","76,239","0.00**","--","--"
"","10 to 14","North Dakota","2022","--","51,061","0.00**","--","--"
"","10 to 14","Rhode Island","2023","--","57,396","0.00**","--","--"
"","10 to 14","Vermont","2020","--","35,313","0.00**","--","--"
"","10 to 14","Vermont","2019","--","33,291","0.00**","--","--"
"","10 to 14","Vermont","2018","--","33,786","0.00**","--","--"
"Cut/Pierce","0 to 4","Alabama","2020","--","297,321","--","--","--"
"Cut/Pierce","0 to 4","Arkansas","2023","--","180,834","--","--","--"
"Cut/Pierce","0 to 4","Arkansas","2018","--","190,511","--","--","--"
"Cut/Pierce","0 to 4","Massachusetts","2019","--","356,147","--","--","--"
"Cut/Pierce","0 to 4","Montana","2023","--","57,574","--","--","--"
"Cut/Pierce","0 to 4","Ohio","2022","--","665,879","--","--","--"
"Cut/Pierce","0 to 4","Ohio","2019","--","691,576","--","--","--"
"Cut/Pierce","0 to 4","Ohio","2018","--","696,818","--","--","--"
"Cut/Pierce","0 to 4","Pennsylvania","2019","--","697,887","--","--","--"
"Cut/Pierce","0 to 4","Tennessee","2020","--","410,597","--","--","--"
"Cut/Pierce","0 to 4","Tennessee","2018","--","409,162","--","--","--"
"Cut/Pierce","0 to 4","Texas","2021","--","1,902,650","--","--","--"
"Cut/Pierce","0 to 4","Washington","2020","--","449,318","--","--","--"
"Cut/Pierce","0 to 4","Washington","2018","--","457,857","--","--","--"
"Cut/Pierce","0 to 4","West Virginia","2018","--","96,103","--","--","--"
"Cut/Pierce","5 to 9","Georgia","2021","--","690,694","--","--","--"
"Cut/Pierce","5 to 9","Iowa","2023","--","202,391","--","--","--"
"Cut/Pierce","5 to 9","Iowa","2022","--","203,240","--","--","--"
"Cut/Pierce","5 to 9","Minnesota","2019","--","363,023","--","--","--"
"Cut/Pierce","5 to 9","New York","2020","--","1,161,073","--","--","--"
"Cut/Pierce","5 to 9","Wisconsin","2020","--","348,334","--","--","--"
"Cut/Pierce","10 to 14","Florida","2019","--","1,208,055","--","--","--"
"Cut/Pierce","10 to 14","Iowa","2018","--","208,674","--","--","--"
"Cut/Pierce","10 to 14","Maryland","2021","--","399,074","--","--","--"
"Cut/Pierce","10 to 14","Minnesota","2022","--","377,583","--","--","--"
"Cut/Pierce","10 to 14","Missouri","2021","--","402,425","--","--","--"
"Cut/Pierce","10 to 14","Ohio","2022","--","742,262","--","--","--"
"Cut/Pierce","10 to 14","South Dakota","2021","--","63,096","--","--","--"
"Cut/Pierce","10 to 14","Texas","2020","--","2,181,277","--","--","--"
"Cut/Pierce","10 to 14","Texas","2019","--","2,106,468","--","--","--"
"Cut/Pierce","10 to 14","Washington","2022","--","479,712","--","--","--"
"Cut/Pierce","15 to 19","Colorado","2023","--","378,651","--","--","--"
