"Notes","State of Residence","State of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Alabama","01","Under 15 years","15",44
,"Alabama","01","15-19 years","15-19",4241
,"Alabama","01","20-24 years","20-24",15780
,"Alabama","01","25-29 years","25-29",18774
,"Alabama","01","30-34 years","30-34",13425
,"Alabama","01","35-39 years","35-39",5647
,"Alabama","01","40-44 years","40-44",976
,"Alabama","01","45-49 years","45-49",47
,"Alabama","01","50 years and over","50+",Suppressed
,"Alaska","02","Under 15 years","15",Suppressed
,"Alaska","02","15-19 years","15-19",486
,"Alaska","02","20-24 years","20-24",2259
,"Alaska","02","25-29 years","25-29",3369
,"Alaska","02","30-34 years","30-34",2735
,"Alaska","02","35-39 years","35-39",1303
,"Alaska","02","40-44 years","40-44",266
,"Alaska","02","45-49 years","45-49",20
,"Alaska","02","50 years and over","50+",Suppressed
,"Arizona","04","Under 15 years","15",36
,"Arizona","04","15-19 years","15-19",5025
,"Arizona","04","20-24 years","20-24",18551
,"Arizona","04","25-29 years","25-29",24850
,"Arizona","04","30-34 years","30-34",20796
,"Arizona","04","35-39 years","35-39",10257
,"Arizona","04","40-44 years","40-44",2179
,"Arizona","04","45-49 years","45-49",168
,"Arizona","04","50 years and over","50+",10
,"Arkansas","05","Under 15 years","15",49
,"Arkansas","05","15-19 years","15-19",3178
,"Arkansas","05","20-24 years","20-24",10711
,"Arkansas","05","25-29 years","25-29",11740
,"Arkansas","05","30-34 years","30-34",8066
,"Arkansas","05","35-39 years","35-39",3149
,"Arkansas","05","40-44 years","40-44",598
,"Arkansas","05","45-49 years","45-49",28
,"Arkansas","05","50 years and over","50+",Suppressed
,"California","06","Under 15 years","15",152
,"California","06","15-19 years","15-19",18935
,"California","06","20-24 years","20-24",77404
,"California","06","25-29 years","25-29",124921
,"California","06","30-34 years","30-34",142411
,"California","06","35-39 years","35-39",85564
,"California","06","40-44 years","40-44",20271
,"California","06","45-49 years","45-49",1759
,"California","06","50 years and over","50+",241
,"Colorado","08","Under 15 years","15",20
,"Colorado","08","15-19 years","15-19",2790
,"Colorado","08","20-24 years","20-24",11081
,"Colorado","08","25-29 years","25-29",18101
,"Colorado","08","30-34 years","30-34",19759
,"Colorado","08","35-39 years","35-39",10455
,"Colorado","08","40-44 years","40-44",2027
,"Colorado","08","45-49 years","45-49",133
,"Colorado","08","50 years and over","50+",16
,"Connecticut","09","Under 15 years","15",10
,"Connecticut","09","15-19 years","15-19",1053
,"Connecticut","09","20-24 years","20-24",4582
,"Connecticut","09","25-29 years","25-29",8984
,"Connecticut","09","30-34 years","30-34",12305
,"Connecticut","09","35-39 years","35-39",6771
,"Connecticut","09","40-44 years","40-44",1384
,"Connecticut","09","45-49 years","45-49",119
,"Connecticut","09","50 years and over","50+",13
