"Notes","State of Residence","State of Residence Code","Mother's Education","Mother's Education Code",Births
,"Alabama","01","8th grade or less","1",1990
,"Alabama","01","9th through 12th grade with no diploma","2",6628
,"Alabama","01","High school graduate or GED completed","3",18365
,"Alabama","01","Some college credit, but not a degree","4",13035
,"Alabama","01","Associate degree (AA, AS)","5",4857
,"Alabama","01","Bachelor's degree (BA, AB, BS)","6",8959
,"Alabama","01","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",3821
,"Alabama","01","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1139
,"Alabama","01","Unknown or Not Stated","Unk",147
,"Alabama","01","Excluded","Exc",0
,"Alabama","01","Not Reported","NR",0
,"Alaska","02","8th grade or less","1",88
,"Alaska","02","9th through 12th grade with no diploma","2",942
,"Alaska","02","High school graduate or GED completed","3",3097
,"Alaska","02","Some college credit, but not a degree","4",2723
,"Alaska","02","Associate degree (AA, AS)","5",844
,"Alaska","02","Bachelor's degree (BA, AB, BS)","6",1722
,"Alaska","02","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",688
,"Alaska","02","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",185
,"Alaska","02","Unknown or Not Stated","Unk",156
,"Alaska","02","Excluded","Exc",0
,"Alaska","02","Not Reported","NR",0
,"Arizona","04","8th grade or less","1",2517
,"Arizona","04","9th through 12th grade with no diploma","2",11557
,"Arizona","04","High school graduate or GED completed","3",21492
,"Arizona","04","Some college credit, but not a degree","4",19218
,"Arizona","04","Associate degree (AA, AS)","5",6756
,"Arizona","04","Bachelor's degree (BA, AB, BS)","6",13019
,"Arizona","04","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",5141
,"Arizona","04","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1594
,"Arizona","04","Unknown or Not Stated","Unk",578
,"Arizona","04","Excluded","Exc",0
,"Arizona","04","Not Reported","NR",0
,"Arkansas","05","8th grade or less","1",872
,"Arkansas","05","9th through 12th grade with no diploma","2",4575
,"Arkansas","05","High school graduate or GED completed","3",12520
,"Arkansas","05","Some college credit, but not a degree","4",8834
,"Arkansas","05","Associate degree (AA, AS)","5",2723
,"Arkansas","05","Bachelor's degree (BA, AB, BS)","6",5356
,"Arkansas","05","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1948
,"Arkansas","05","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",495
,"Arkansas","05","Unknown or Not Stated","Unk",197
,"Arkansas","05","Excluded","Exc",0
,"Arkansas","05","Not Reported","NR",0
,"California","06","8th grade or less","1",18261
,"California","06","9th through 12th grade with no diploma","2",43176
,"California","06","High school graduate or GED completed","3",112979
,"California","06","Some college credit, but not a degree","4",93242
,"California","06","Associate degree (AA, AS)","5",30847
,"California","06","Bachelor's degree (BA, AB, BS)","6",94168
,"California","06","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",41456
,"California","06","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",13703
,"California","06","Unknown or Not Stated","Unk",23826
,"California","06","Excluded","Exc",0
,"California","06","Not Reported","NR",0
,"Colorado","08","8th grade or less","1",1647
,"Colorado","08","9th through 12th grade with no diploma","2",5716
,"Colorado","08","High school graduate or GED completed","3",12697
,"Colorado","08","Some college credit, but not a degree","4",13381
,"Colorado","08","Associate degree (AA, AS)","5",5223
,"Colorado","08","Bachelor's degree (BA, AB, BS)","6",15743
,"Colorado","08","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",7057
,"Colorado","08","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",2022
,"Colorado","08","Unknown or Not Stated","Unk",896
,"Colorado","08","Excluded","Exc",0
,"Colorado","08","Not Reported","NR",0
,"Connecticut","09","8th grade or less","1",842
,"Connecticut","09","9th through 12th grade with no diploma","2",2732
,"Connecticut","09","High school graduate or GED completed","3",6390
,"Connecticut","09","Some college credit, but not a degree","4",6371
,"Connecticut","09","Associate degree (AA, AS)","5",3162
,"Connecticut","09","Bachelor's degree (BA, AB, BS)","6",8226
,"Connecticut","09","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",5961
,"Connecticut","09","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1444
,"Connecticut","09","Unknown or Not Stated","Unk",93
,"Connecticut","09","Excluded","Exc",0
,"Connecticut","09","Not Reported","NR",0
,"Delaware","10","8th grade or less","1",537
,"Delaware","10","9th through 12th grade with no diploma","2",1043
,"Delaware","10","High school graduate or GED completed","3",2916
,"Delaware","10","Some college credit, but not a degree","4",2151
,"Delaware","10","Associate degree (AA, AS)","5",778
,"Delaware","10","Bachelor's degree (BA, AB, BS)","6",1944
,"Delaware","10","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1202
,"Delaware","10","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",238
,"Delaware","10","Unknown or Not Stated","Unk",46
,"Delaware","10","Excluded","Exc",0
,"Delaware","10","Not Reported","NR",0
,"District of Columbia","11","8th grade or less","1",283
,"District of Columbia","11","9th through 12th grade with no diploma","2",952
,"District of Columbia","11","High school graduate or GED completed","3",2065
,"District of Columbia","11","Some college credit, but not a degree","4",1405
,"District of Columbia","11","Associate degree (AA, AS)","5",263
,"District of Columbia","11","Bachelor's degree (BA, AB, BS)","6",1590
,"District of Columbia","11","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1930
,"District of Columbia","11","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1014
,"District of Columbia","11","Unknown or Not Stated","Unk",58
,"District of Columbia","11","Excluded","Exc",0
,"District of Columbia","11","Not Reported","NR",0
,"Florida","12","8th grade or less","1",6623
,"Florida","12","9th through 12th grade with no diploma","2",20152
,"Florida","12","High school graduate or GED completed","3",69578
,"Florida","12","Some college credit, but not a degree","4",41760
,"Florida","12","Associate degree (AA, AS)","5",22571
,"Florida","12","Bachelor's degree (BA, AB, BS)","6",40002
,"Florida","12","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",15869
,"Florida","12","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",4656
,"Florida","12","Unknown or Not Stated","Unk",2419
,"Florida","12","Excluded","Exc",0
,"Florida","12","Not Reported","NR",0
,"Georgia","13","8th grade or less","1",4411
,"Georgia","13","9th through 12th grade with no diploma","2",12620
,"Georgia","13","High school graduate or GED completed","3",39389
,"Georgia","13","Some college credit, but not a degree","4",24268
,"Georgia","13","Associate degree (AA, AS)","5",8933
,"Georgia","13","Bachelor's degree (BA, AB, BS)","6",27994
,"Georgia","13","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",8654
,"Georgia","13","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",2145
,"Georgia","13","Unknown or Not Stated","Unk",829
,"Georgia","13","Excluded","Exc",0
,"Georgia","13","Not Reported","NR",0
,"Hawaii","15","8th grade or less","1",149
,"Hawaii","15","9th through 12th grade with no diploma","2",3044
,"Hawaii","15","High school graduate or GED completed","3",3124
,"Hawaii","15","Some college credit, but not a degree","4",3392
,"Hawaii","15","Associate degree (AA, AS)","5",2174
,"Hawaii","15","Bachelor's degree (BA, AB, BS)","6",3800
,"Hawaii","15","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1471
,"Hawaii","15","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",249
,"Hawaii","15","Unknown or Not Stated","Unk",114
,"Hawaii","15","Excluded","Exc",0
,"Hawaii","15","Not Reported","NR",0
,"Idaho","16","8th grade or less","1",463
,"Idaho","16","9th through 12th grade with no diploma","2",1946
,"Idaho","16","High school graduate or GED completed","3",5581
,"Idaho","16","Some college credit, but not a degree","4",5749
,"Idaho","16","Associate degree (AA, AS)","5",2286
,"Idaho","16","Bachelor's degree (BA, AB, BS)","6",4669
,"Idaho","16","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1050
,"Idaho","16","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",318
,"Idaho","16","Unknown or Not Stated","Unk",119
,"Idaho","16","Excluded","Exc",0
,"Idaho","16","Not Reported","NR",0
,"Illinois","17","8th grade or less","1",3496
,"Illinois","17","9th through 12th grade with no diploma","2",12844
,"Illinois","17","High school graduate or GED completed","3",32690
,"Illinois","17","Some college credit, but not a degree","4",29296
,"Illinois","17","Associate degree (AA, AS)","5",11711
,"Illinois","17","Bachelor's degree (BA, AB, BS)","6",33544
,"Illinois","17","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",18020
,"Illinois","17","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",4539
,"Illinois","17","Unknown or Not Stated","Unk",3250
,"Illinois","17","Excluded","Exc",0
,"Illinois","17","Not Reported","NR",0
,"Indiana","18","8th grade or less","1",3827
,"Indiana","18","9th through 12th grade with no diploma","2",8779
,"Indiana","18","High school graduate or GED completed","3",23165
,"Indiana","18","Some college credit, but not a degree","4",16650
,"Indiana","18","Associate degree (AA, AS)","5",7051
,"Indiana","18","Bachelor's degree (BA, AB, BS)","6",16043
,"Indiana","18","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",5014
,"Indiana","18","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1504
,"Indiana","18","Unknown or Not Stated","Unk",137
,"Indiana","18","Excluded","Exc",0
,"Indiana","18","Not Reported","NR",0
,"Iowa","19","8th grade or less","1",1263
,"Iowa","19","9th through 12th grade with no diploma","2",3067
,"Iowa","19","High school graduate or GED completed","3",9406
,"Iowa","19","Some college credit, but not a degree","4",6607
,"Iowa","19","Associate degree (AA, AS)","5",4853
,"Iowa","19","Bachelor's degree (BA, AB, BS)","6",9119
,"Iowa","19","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",2982
,"Iowa","19","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1075
,"Iowa","19","Unknown or Not Stated","Unk",58
,"Iowa","19","Excluded","Exc",0
,"Iowa","19","Not Reported","NR",0
,"Kansas","20","8th grade or less","1",1047
,"Kansas","20","9th through 12th grade with no diploma","2",3285
,"Kansas","20","High school graduate or GED completed","3",8695
,"Kansas","20","Some college credit, but not a degree","4",7665
,"Kansas","20","Associate degree (AA, AS)","5",3478
,"Kansas","20","Bachelor's degree (BA, AB, BS)","6",8172
,"Kansas","20","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",3188
,"Kansas","20","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",874
,"Kansas","20","Unknown or Not Stated","Unk",115
,"Kansas","20","Excluded","Exc",0
,"Kansas","20","Not Reported","NR",0
,"Kentucky","21","8th grade or less","1",1796
,"Kentucky","21","9th through 12th grade with no diploma","2",5643
,"Kentucky","21","High school graduate or GED completed","3",15683
,"Kentucky","21","Some college credit, but not a degree","4",12493
,"Kentucky","21","Associate degree (AA, AS)","5",5028
,"Kentucky","21","Bachelor's degree (BA, AB, BS)","6",8371
,"Kentucky","21","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",4370
,"Kentucky","21","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1120
,"Kentucky","21","Unknown or Not Stated","Unk",248
,"Kentucky","21","Excluded","Exc",0
,"Kentucky","21","Not Reported","NR",0
,"Louisiana","22","8th grade or less","1",1648
,"Louisiana","22","9th through 12th grade with no diploma","2",7538
,"Louisiana","22","High school graduate or GED completed","3",19503
,"Louisiana","22","Some college credit, but not a degree","4",12872
,"Louisiana","22","Associate degree (AA, AS)","5",4531
,"Louisiana","22","Bachelor's degree (BA, AB, BS)","6",9881
,"Louisiana","22","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",3453
,"Louisiana","22","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1172
,"Louisiana","22","Unknown or Not Stated","Unk",420
,"Louisiana","22","Excluded","Exc",0
,"Louisiana","22","Not Reported","NR",0
,"Maine","23","8th grade or less","1",204
,"Maine","23","9th through 12th grade with no diploma","2",664
,"Maine","23","High school graduate or GED completed","3",3329
,"Maine","23","Some college credit, but not a degree","4",2560
,"Maine","23","Associate degree (AA, AS)","5",1204
,"Maine","23","Bachelor's degree (BA, AB, BS)","6",2777
,"Maine","23","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1180
,"Maine","23","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",359
,"Maine","23","Unknown or Not Stated","Unk",21
,"Maine","23","Excluded","Exc",0
,"Maine","23","Not Reported","NR",0
,"Maryland","24","8th grade or less","1",3065
,"Maryland","24","9th through 12th grade with no diploma","2",5801
,"Maryland","24","High school graduate or GED completed","3",14434
,"Maryland","24","Some college credit, but not a degree","4",13924
,"Maryland","24","Associate degree (AA, AS)","5",4733
,"Maryland","24","Bachelor's degree (BA, AB, BS)","6",15527
,"Maryland","24","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",10505
,"Maryland","24","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",3243
,"Maryland","24","Unknown or Not Stated","Unk",409
,"Maryland","24","Excluded","Exc",0
,"Maryland","24","Not Reported","NR",0
,"Massachusetts","25","8th grade or less","1",1636
,"Massachusetts","25","9th through 12th grade with no diploma","2",4522
,"Massachusetts","25","High school graduate or GED completed","3",11055
,"Massachusetts","25","Some college credit, but not a degree","4",12858
,"Massachusetts","25","Associate degree (AA, AS)","5",4355
,"Massachusetts","25","Bachelor's degree (BA, AB, BS)","6",17254
,"Massachusetts","25","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",12419
,"Massachusetts","25","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",3890
,"Massachusetts","25","Unknown or Not Stated","Unk",2713
,"Massachusetts","25","Excluded","Exc",0
,"Massachusetts","25","Not Reported","NR",0
,"Michigan","26","8th grade or less","1",2311
,"Michigan","26","9th through 12th grade with no diploma","2",10252
,"Michigan","26","High school graduate or GED completed","3",28028
,"Michigan","26","Some college credit, but not a degree","4",25861
,"Michigan","26","Associate degree (AA, AS)","5",9518
,"Michigan","26","Bachelor's degree (BA, AB, BS)","6",22200
,"Michigan","26","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",9433
,"Michigan","26","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",2681
,"Michigan","26","Unknown or Not Stated","Unk",1142
,"Michigan","26","Excluded","Exc",0
,"Michigan","26","Not Reported","NR",0
,"Minnesota","27","8th grade or less","1",2372
,"Minnesota","27","9th through 12th grade with no diploma","2",4816
,"Minnesota","27","High school graduate or GED completed","3",11513
,"Minnesota","27","Some college credit, but not a degree","4",12206
,"Minnesota","27","Associate degree (AA, AS)","5",8869
,"Minnesota","27","Bachelor's degree (BA, AB, BS)","6",18524
,"Minnesota","27","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",7192
,"Minnesota","27","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",2332
,"Minnesota","27","Unknown or Not Stated","Unk",771
,"Minnesota","27","Excluded","Exc",0
,"Minnesota","27","Not Reported","NR",0
,"Mississippi","28","8th grade or less","1",792
,"Mississippi","28","9th through 12th grade with no diploma","2",4209
,"Mississippi","28","High school graduate or GED completed","3",10687
,"Mississippi","28","Some college credit, but not a degree","4",9007
,"Mississippi","28","Associate degree (AA, AS)","5",4792
,"Mississippi","28","Bachelor's degree (BA, AB, BS)","6",5092
,"Mississippi","28","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",2079
,"Mississippi","28","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",631
,"Mississippi","28","Unknown or Not Stated","Unk",68
,"Mississippi","28","Excluded","Exc",0
,"Mississippi","28","Not Reported","NR",0
,"Missouri","29","8th grade or less","1",1961
,"Missouri","29","9th through 12th grade with no diploma","2",6802
,"Missouri","29","High school graduate or GED completed","3",18136
,"Missouri","29","Some college credit, but not a degree","4",16709
,"Missouri","29","Associate degree (AA, AS)","5",6489
,"Missouri","29","Bachelor's degree (BA, AB, BS)","6",14179
,"Missouri","29","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",6795
,"Missouri","29","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1701
,"Missouri","29","Unknown or Not Stated","Unk",262
,"Missouri","29","Excluded","Exc",0
,"Missouri","29","Not Reported","NR",0
,"Montana","30","8th grade or less","1",215
,"Montana","30","9th through 12th grade with no diploma","2",1041
,"Montana","30","High school graduate or GED completed","3",3147
,"Montana","30","Some college credit, but not a degree","4",2715
,"Montana","30","Associate degree (AA, AS)","5",1041
,"Montana","30","Bachelor's degree (BA, AB, BS)","6",2514
,"Montana","30","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",765
,"Montana","30","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",313
,"Montana","30","Unknown or Not Stated","Unk",48
,"Montana","30","Excluded","Exc",0
,"Montana","30","Not Reported","NR",0
,"Nebraska","31","8th grade or less","1",1156
,"Nebraska","31","9th through 12th grade with no diploma","2",2060
,"Nebraska","31","High school graduate or GED completed","3",4942
,"Nebraska","31","Some college credit, but not a degree","4",5661
,"Nebraska","31","Associate degree (AA, AS)","5",2674
,"Nebraska","31","Bachelor's degree (BA, AB, BS)","6",6143
,"Nebraska","31","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",2424
,"Nebraska","31","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",749
,"Nebraska","31","Unknown or Not Stated","Unk",12
,"Nebraska","31","Excluded","Exc",0
,"Nebraska","31","Not Reported","NR",0
,"Nevada","32","8th grade or less","1",858
,"Nevada","32","9th through 12th grade with no diploma","2",5177
,"Nevada","32","High school graduate or GED completed","3",11290
,"Nevada","32","Some college credit, but not a degree","4",7799
,"Nevada","32","Associate degree (AA, AS)","5",2664
,"Nevada","32","Bachelor's degree (BA, AB, BS)","6",4849
,"Nevada","32","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1601
,"Nevada","32","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",479
,"Nevada","32","Unknown or Not Stated","Unk",1039
