"Notes","State of Residence","State of Residence Code","Trimester Prenatal Care Began","Trimester Prenatal Care Began Code",Births
,"Alabama","01","1st to 3rd month","1",41925
,"Alabama","01","4th to 6th month","2",12309
,"Alabama","01","7th to final month","3",3102
,"Alabama","01","No prenatal care","4",1309
,"Alabama","01","Unknown or Not Stated","5",296
,"Alabama","01","Not Reported","100",0
,"Alaska","02","1st to 3rd month","1",7747
,"Alaska","02","4th to 6th month","2",1878
,"Alaska","02","7th to final month","3",477
,"Alaska","02","No prenatal care","4",120
,"Alaska","02","Unknown or Not Stated","5",223
,"Alaska","02","Not Reported","100",0
,"Arizona","04","1st to 3rd month","1",58059
,"Arizona","04","4th to 6th month","2",14766
,"Arizona","04","7th to final month","3",4822
,"Arizona","04","No prenatal care","4",2365
,"Arizona","04","Unknown or Not Stated","5",1860
,"Arizona","04","Not Reported","100",0
,"Arkansas","05","1st to 3rd month","1",24901
,"Arkansas","05","4th to 6th month","2",6996
,"Arkansas","05","7th to final month","3",2313
,"Arkansas","05","No prenatal care","4",1237
,"Arkansas","05","Unknown or Not Stated","5",2073
,"Arkansas","05","Not Reported","100",0
,"California","06","1st to 3rd month","1",397119
,"California","06","4th to 6th month","2",51332
,"California","06","7th to final month","3",13566
,"California","06","No prenatal care","4",3999
,"California","06","Unknown or Not Stated","5",5642
,"California","06","Not Reported","100",0
,"Colorado","08","1st to 3rd month","1",49772
,"Colorado","08","4th to 6th month","2",9712
,"Colorado","08","7th to final month","3",2776
,"Colorado","08","No prenatal care","4",998
,"Colorado","08","Unknown or Not Stated","5",1124
,"Colorado","08","Not Reported","100",0
,"Connecticut","09","1st to 3rd month","1",28904
,"Connecticut","09","4th to 6th month","2",4233
,"Connecticut","09","7th to final month","3",1019
,"Connecticut","09","No prenatal care","4",106
,"Connecticut","09","Unknown or Not Stated","5",959
,"Connecticut","09","Not Reported","100",0
,"Delaware","10","1st to 3rd month","1",8426
,"Delaware","10","4th to 6th month","2",1531
,"Delaware","10","7th to final month","3",455
,"Delaware","10","No prenatal care","4",264
,"Delaware","10","Unknown or Not Stated","5",179
,"Delaware","10","Not Reported","100",0
,"District of Columbia","11","1st to 3rd month","1",6488
,"District of Columbia","11","4th to 6th month","2",1917
,"District of Columbia","11","7th to final month","3",610
,"District of Columbia","11","No prenatal care","4",233
,"District of Columbia","11","Unknown or Not Stated","5",312
,"District of Columbia","11","Not Reported","100",0
,"Florida","12","1st to 3rd month","1",154802
,"Florida","12","4th to 6th month","2",39338
,"Florida","12","7th to final month","3",10990
,"Florida","12","No prenatal care","4",4897
,"Florida","12","Unknown or Not Stated","5",13603
,"Florida","12","Not Reported","100",0
,"Georgia","13","1st to 3rd month","1",94939
,"Georgia","13","4th to 6th month","2",21256
,"Georgia","13","7th to final month","3",5851
,"Georgia","13","No prenatal care","4",4900
,"Georgia","13","Unknown or Not Stated","5",2297
,"Georgia","13","Not Reported","100",0
,"Hawaii","15","1st to 3rd month","1",12515
,"Hawaii","15","4th to 6th month","2",2686
,"Hawaii","15","7th to final month","3",1113
,"Hawaii","15","No prenatal care","4",41
,"Hawaii","15","Unknown or Not Stated","5",1162
,"Hawaii","15","Not Reported","100",0
,"Idaho","16","1st to 3rd month","1",17538
,"Idaho","16","4th to 6th month","2",3583
,"Idaho","16","7th to final month","3",737
,"Idaho","16","No prenatal care","4",193
,"Idaho","16","Unknown or Not Stated","5",130
,"Idaho","16","Not Reported","100",0
,"Illinois","17","1st to 3rd month","1",109967
,"Illinois","17","4th to 6th month","2",24207
,"Illinois","17","7th to final month","3",6552
,"Illinois","17","No prenatal care","4",2069
,"Illinois","17","Unknown or Not Stated","5",6595
,"Illinois","17","Not Reported","100",0
,"Indiana","18","1st to 3rd month","1",59932
,"Indiana","18","4th to 6th month","2",16896
,"Indiana","18","7th to final month","3",3907
,"Indiana","18","No prenatal care","4",1229
,"Indiana","18","Unknown or Not Stated","5",206
,"Indiana","18","Not Reported","100",0
,"Iowa","19","1st to 3rd month","1",30922
,"Iowa","19","4th to 6th month","2",5619
,"Iowa","19","7th to final month","3",1358
,"Iowa","19","No prenatal care","4",318
,"Iowa","19","Unknown or Not Stated","5",213
,"Iowa","19","Not Reported","100",0
,"Kansas","20","1st to 3rd month","1",30311
,"Kansas","20","4th to 6th month","2",4712
,"Kansas","20","7th to final month","3",1015
,"Kansas","20","No prenatal care","4",378
,"Kansas","20","Unknown or Not Stated","5",103
,"Kansas","20","Not Reported","100",0
,"Kentucky","21","1st to 3rd month","1",41237
,"Kentucky","21","4th to 6th month","2",8173
,"Kentucky","21","7th to final month","3",2097
,"Kentucky","21","No prenatal care","4",794
,"Kentucky","21","Unknown or Not Stated","5",2451
,"Kentucky","21","Not Reported","100",0
,"Louisiana","22","1st to 3rd month","1",45856
,"Louisiana","22","4th to 6th month","2",9992
,"Louisiana","22","7th to final month","3",2460
,"Louisiana","22","No prenatal care","4",1188
,"Louisiana","22","Unknown or Not Stated","5",1522
,"Louisiana","22","Not Reported","100",0
,"Maine","23","1st to 3rd month","1",10337
,"Maine","23","4th to 6th month","2",1494
,"Maine","23","7th to final month","3",393
,"Maine","23","No prenatal care","4",54
,"Maine","23","Unknown or Not Stated","5",20
,"Maine","23","Not Reported","100",0
,"Maryland","24","1st to 3rd month","1",50375
,"Maryland","24","4th to 6th month","2",13205
,"Maryland","24","7th to final month","3",3855
,"Maryland","24","No prenatal care","4",830
,"Maryland","24","Unknown or Not Stated","5",3376
,"Maryland","24","Not Reported","100",0
,"Massachusetts","25","1st to 3rd month","1",57714
,"Massachusetts","25","4th to 6th month","2",8574
,"Massachusetts","25","7th to final month","3",3076
,"Massachusetts","25","No prenatal care","4",409
,"Massachusetts","25","Unknown or Not Stated","5",929
,"Massachusetts","25","Not Reported","100",0
,"Michigan","26","1st to 3rd month","1",86882
,"Michigan","26","4th to 6th month","2",15909
,"Michigan","26","7th to final month","3",3465
,"Michigan","26","No prenatal care","4",1775
,"Michigan","26","Unknown or Not Stated","5",3395
,"Michigan","26","Not Reported","100",0
,"Minnesota","27","1st to 3rd month","1",55746
,"Minnesota","27","4th to 6th month","2",9600
,"Minnesota","27","7th to final month","3",2095
,"Minnesota","27","No prenatal care","4",461
,"Minnesota","27","Unknown or Not Stated","5",693
,"Minnesota","27","Not Reported","100",0
,"Mississippi","28","1st to 3rd month","1",29110
,"Mississippi","28","4th to 6th month","2",6186
,"Mississippi","28","7th to final month","3",1254
,"Mississippi","28","No prenatal care","4",525
,"Mississippi","28","Unknown or Not Stated","5",282
,"Mississippi","28","Not Reported","100",0
,"Missouri","29","1st to 3rd month","1",52597
,"Missouri","29","4th to 6th month","2",12215
,"Missouri","29","7th to final month","3",2924
,"Missouri","29","No prenatal care","4",943
,"Missouri","29","Unknown or Not Stated","5",4355
,"Missouri","29","Not Reported","100",0
,"Montana","30","1st to 3rd month","1",9106
,"Montana","30","4th to 6th month","2",1949
,"Montana","30","7th to final month","3",566
,"Montana","30","No prenatal care","4",144
,"Montana","30","Unknown or Not Stated","5",34
,"Montana","30","Not Reported","100",0
,"Nebraska","31","1st to 3rd month","1",19452
,"Nebraska","31","4th to 6th month","2",4388
,"Nebraska","31","7th to final month","3",1118
,"Nebraska","31","No prenatal care","4",255
,"Nebraska","31","Unknown or Not Stated","5",608
,"Nebraska","31","Not Reported","100",0
,"Nevada","32","1st to 3rd month","1",24893
,"Nevada","32","4th to 6th month","2",5770
,"Nevada","32","7th to final month","3",1167
,"Nevada","32","No prenatal care","4",1821
,"Nevada","32","Unknown or Not Stated","5",2105
,"Nevada","32","Not Reported","100",0
,"New Hampshire","33","1st to 3rd month","1",10345
,"New Hampshire","33","4th to 6th month","2",1280
,"New Hampshire","33","7th to final month","3",370
,"New Hampshire","33","No prenatal care","4",76
,"New Hampshire","33","Unknown or Not Stated","5",45
,"New Hampshire","33","Not Reported","100",0
,"New Jersey","34","1st to 3rd month","1",76128
,"New Jersey","34","4th to 6th month","2",17808
,"New Jersey","34","7th to final month","3",4184
,"New Jersey","34","No prenatal care","4",1616
,"New Jersey","34","Unknown or Not Stated","5",1514
,"New Jersey","34","Not Reported","100",0
,"New Mexico","35","1st to 3rd month","1",16203
,"New Mexico","35","4th to 6th month","2",4349
,"New Mexico","35","7th to final month","3",1696
,"New Mexico","35","No prenatal care","4",970
,"New Mexico","35","Unknown or Not Stated","5",549
,"New Mexico","35","Not Reported","100",0
,"New York","36","1st to 3rd month","1",180884
,"New York","36","4th to 6th month","2",32265
,"New York","36","7th to final month","3",9833
,"New York","36","No prenatal care","4",1390
,"New York","36","Unknown or Not Stated","5",5365
,"New York","36","Not Reported","100",0
,"North Carolina","37","1st to 3rd month","1",89198
,"North Carolina","37","4th to 6th month","2",22429
,"North Carolina","37","7th to final month","3",5540
,"North Carolina","37","No prenatal care","4",2159
,"North Carolina","37","Unknown or Not Stated","5",799
,"North Carolina","37","Not Reported","100",0
,"North Dakota","38","1st to 3rd month","1",8102
,"North Dakota","38","4th to 6th month","2",1543
,"North Dakota","38","7th to final month","3",535
,"North Dakota","38","No prenatal care","4",41
,"North Dakota","38","Unknown or Not Stated","5",516
,"North Dakota","38","Not Reported","100",0
,"Ohio","39","1st to 3rd month","1",102309
,"Ohio","39","4th to 6th month","2",24388
,"Ohio","39","7th to final month","3",6547
,"Ohio","39","No prenatal care","4",2042
,"Ohio","39","Unknown or Not Stated","5",1546
,"Ohio","39","Not Reported","100",0
,"Oklahoma","40","1st to 3rd month","1",36389
,"Oklahoma","40","4th to 6th month","2",9217
,"Oklahoma","40","7th to final month","3",2511
,"Oklahoma","40","No prenatal care","4",929
,"Oklahoma","40","Unknown or Not Stated","5",1168
,"Oklahoma","40","Not Reported","100",0
,"Oregon","41","1st to 3rd month","1",35224
,"Oregon","41","4th to 6th month","2",6139
,"Oregon","41","7th to final month","3",1586
,"Oregon","41","No prenatal care","4",350
,"Oregon","41","Unknown or Not Stated","5",332
,"Oregon","41","Not Reported","100",0
,"Pennsylvania","42","1st to 3rd month","1",103195
,"Pennsylvania","42","4th to 6th month","2",22028
,"Pennsylvania","42","7th to final month","3",6703
,"Pennsylvania","42","No prenatal care","4",2189
,"Pennsylvania","42","Unknown or Not Stated","5",3630
,"Pennsylvania","42","Not Reported","100",0
,"Rhode Island","44","1st to 3rd month","1",8512
,"Rhode Island","44","4th to 6th month","2",1468
,"Rhode Island","44","7th to final month","3",142
,"Rhode Island","44","No prenatal care","4",61
,"Rhode Island","44","Unknown or Not Stated","5",455
,"Rhode Island","44","Not Reported","100",0
,"South Carolina","45","1st to 3rd month","1",41679
,"South Carolina","45","4th to 6th month","2",11479
,"South Carolina","45","7th to final month","3",2846
,"South Carolina","45","No prenatal care","4",919
,"South Carolina","45","Unknown or Not Stated","5",106
,"South Carolina","45","Not Reported","100",0
,"South Dakota","46","1st to 3rd month","1",9103
,"South Dakota","46","4th to 6th month","2",2145
,"South Dakota","46","7th to final month","3",600
,"South Dakota","46","No prenatal care","4",130
,"South Dakota","46","Unknown or Not Stated","5",156
,"South Dakota","46","Not Reported","100",0
,"Tennessee","47","1st to 3rd month","1",56693
,"Tennessee","47","4th to 6th month","2",13209
,"Tennessee","47","7th to final month","3",3239
,"Tennessee","47","No prenatal care","4",2605
,"Tennessee","47","Unknown or Not Stated","5",5270
,"Tennessee","47","Not Reported","100",0
,"Texas","48","1st to 3rd month","1",256625
,"Texas","48","4th to 6th month","2",81195
,"Texas","48","7th to final month","3",25017
,"Texas","48","No prenatal care","4",13482
,"Texas","48","Unknown or Not Stated","5",5731
,"Texas","48","Not Reported","100",0
,"Utah","49","1st to 3rd month","1",39991
,"Utah","49","4th to 6th month","2",6200
,"Utah","49","7th to final month","3",1503
,"Utah","49","No prenatal care","4",248
,"Utah","49","Unknown or Not Stated","5",643
,"Utah","49","Not Reported","100",0
,"Vermont","50","1st to 3rd month","1",5077
,"Vermont","50","4th to 6th month","2",462
,"Vermont","50","7th to final month","3",78
,"Vermont","50","No prenatal care","4",18
,"Vermont","50","Unknown or Not Stated","5",20
,"Vermont","50","Not Reported","100",0
,"Virginia","51","1st to 3rd month","1",74267
,"Virginia","51","4th to 6th month","2",15221
,"Virginia","51","7th to final month","3",3334
,"Virginia","51","No prenatal care","4",1222
,"Virginia","51","Unknown or Not Stated","5",6347
,"Virginia","51","Not Reported","100",0
,"Washington","53","1st to 3rd month","1",64698
,"Washington","53","4th to 6th month","2",12729
,"Washington","53","7th to final month","3",4107
,"Washington","53","No prenatal care","4",918
,"Washington","53","Unknown or Not Stated","5",5110
,"Washington","53","Not Reported","100",0
,"West Virginia","54","1st to 3rd month","1",14290
,"West Virginia","54","4th to 6th month","2",2916
,"West Virginia","54","7th to final month","3",962
,"West Virginia","54","No prenatal care","4",273
,"West Virginia","54","Unknown or Not Stated","5",234
,"West Virginia","54","Not Reported","100",0
,"Wisconsin","55","1st to 3rd month","1",51958
,"Wisconsin","55","4th to 6th month","2",8374
,"Wisconsin","55","7th to final month","3",2198
,"Wisconsin","55","No prenatal care","4",406
,"Wisconsin","55","Unknown or Not Stated","5",2039
,"Wisconsin","55","Not Reported","100",0
,"Wyoming","56","1st to 3rd month","1",5317
,"Wyoming","56","4th to 6th month","2",1072
,"Wyoming","56","7th to final month","3",331
,"Wyoming","56","No prenatal care","4",88
,"Wyoming","56","Unknown or Not Stated","5",95
,"Wyoming","56","Not Reported","100",0
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2017"
