"Notes","State of Residence","State of Residence Code","Mother's Education","Mother's Education Code",Births
,"Alabama","01","8th grade or less","1",2294
,"Alabama","01","9th through 12th grade with no diploma","2",5612
,"Alabama","01","High school graduate or GED completed","3",19011
,"Alabama","01","Some college credit, but not a degree","4",11508
,"Alabama","01","Associate degree (AA, AS)","5",5096
,"Alabama","01","Bachelor's degree (BA, AB, BS)","6",8850
,"Alabama","01","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",4076
,"Alabama","01","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1121
,"Alabama","01","Unknown or Not Stated","Unk",79
,"Alabama","01","Excluded","Exc",0
,"Alabama","01","Not Reported","NR",0
,"Alaska","02","8th grade or less","1",53
,"Alaska","02","9th through 12th grade with no diploma","2",735
,"Alaska","02","High school graduate or GED completed","3",2994
,"Alaska","02","Some college credit, but not a degree","4",2300
,"Alaska","02","Associate degree (AA, AS)","5",813
,"Alaska","02","Bachelor's degree (BA, AB, BS)","6",1579
,"Alaska","02","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",612
,"Alaska","02","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",230
,"Alaska","02","Unknown or Not Stated","Unk",153
,"Alaska","02","Excluded","Exc",0
,"Alaska","02","Not Reported","NR",0
,"Arizona","04","8th grade or less","1",1958
,"Arizona","04","9th through 12th grade with no diploma","2",9553
,"Arizona","04","High school graduate or GED completed","3",20860
,"Arizona","04","Some college credit, but not a degree","4",17562
,"Arizona","04","Associate degree (AA, AS)","5",6703
,"Arizona","04","Bachelor's degree (BA, AB, BS)","6",13262
,"Arizona","04","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",5026
,"Arizona","04","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1641
,"Arizona","04","Unknown or Not Stated","Unk",382
,"Arizona","04","Excluded","Exc",0
,"Arizona","04","Not Reported","NR",0
,"Arkansas","05","8th grade or less","1",823
,"Arkansas","05","9th through 12th grade with no diploma","2",3672
,"Arkansas","05","High school graduate or GED completed","3",11853
,"Arkansas","05","Some college credit, but not a degree","4",7666
,"Arkansas","05","Associate degree (AA, AS)","5",2940
,"Arkansas","05","Bachelor's degree (BA, AB, BS)","6",5200
,"Arkansas","05","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",2185
,"Arkansas","05","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",597
,"Arkansas","05","Unknown or Not Stated","Unk",315
,"Arkansas","05","Excluded","Exc",0
,"Arkansas","05","Not Reported","NR",0
,"California","06","8th grade or less","1",13407
,"California","06","9th through 12th grade with no diploma","2",31227
,"California","06","High school graduate or GED completed","3",99814
,"California","06","Some college credit, but not a degree","4",78868
,"California","06","Associate degree (AA, AS)","5",28365
,"California","06","Bachelor's degree (BA, AB, BS)","6",86356
,"California","06","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",40136
,"California","06","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",13535
,"California","06","Unknown or Not Stated","Unk",28551
,"California","06","Excluded","Exc",0
,"California","06","Not Reported","NR",0
,"Colorado","08","8th grade or less","1",1503
,"Colorado","08","9th through 12th grade with no diploma","2",4809
,"Colorado","08","High school graduate or GED completed","3",12544
,"Colorado","08","Some college credit, but not a degree","4",12034
,"Colorado","08","Associate degree (AA, AS)","5",4758
,"Colorado","08","Bachelor's degree (BA, AB, BS)","6",15758
,"Colorado","08","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",7337
,"Colorado","08","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",2150
,"Colorado","08","Unknown or Not Stated","Unk",601
,"Colorado","08","Excluded","Exc",0
,"Colorado","08","Not Reported","NR",0
,"Connecticut","09","8th grade or less","1",780
,"Connecticut","09","9th through 12th grade with no diploma","2",2297
,"Connecticut","09","High school graduate or GED completed","3",6570
,"Connecticut","09","Some college credit, but not a degree","4",5525
,"Connecticut","09","Associate degree (AA, AS)","5",2894
,"Connecticut","09","Bachelor's degree (BA, AB, BS)","6",8042
,"Connecticut","09","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",5830
,"Connecticut","09","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1465
,"Connecticut","09","Unknown or Not Stated","Unk",57
,"Connecticut","09","Excluded","Exc",0
,"Connecticut","09","Not Reported","NR",0
,"Delaware","10","8th grade or less","1",509
,"Delaware","10","9th through 12th grade with no diploma","2",844
,"Delaware","10","High school graduate or GED completed","3",2802
,"Delaware","10","Some college credit, but not a degree","4",2016
,"Delaware","10","Associate degree (AA, AS)","5",746
,"Delaware","10","Bachelor's degree (BA, AB, BS)","6",1856
,"Delaware","10","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1138
,"Delaware","10","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",268
,"Delaware","10","Unknown or Not Stated","Unk",213
,"Delaware","10","Excluded","Exc",0
,"Delaware","10","Not Reported","NR",0
,"District of Columbia","11","8th grade or less","1",273
,"District of Columbia","11","9th through 12th grade with no diploma","2",806
,"District of Columbia","11","High school graduate or GED completed","3",1797
,"District of Columbia","11","Some college credit, but not a degree","4",1128
,"District of Columbia","11","Associate degree (AA, AS)","5",247
,"District of Columbia","11","Bachelor's degree (BA, AB, BS)","6",1608
,"District of Columbia","11","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1937
,"District of Columbia","11","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",994
,"District of Columbia","11","Unknown or Not Stated","Unk",84
,"District of Columbia","11","Excluded","Exc",0
,"District of Columbia","11","Not Reported","NR",0
,"Florida","12","8th grade or less","1",5917
,"Florida","12","9th through 12th grade with no diploma","2",16227
,"Florida","12","High school graduate or GED completed","3",65185
,"Florida","12","Some college credit, but not a degree","4",35973
,"Florida","12","Associate degree (AA, AS)","5",21882
,"Florida","12","Bachelor's degree (BA, AB, BS)","6",41239
,"Florida","12","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",16558
,"Florida","12","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",5056
,"Florida","12","Unknown or Not Stated","Unk",1634
,"Florida","12","Excluded","Exc",0
,"Florida","12","Not Reported","NR",0
,"Georgia","13","8th grade or less","1",3810
,"Georgia","13","9th through 12th grade with no diploma","2",10885
,"Georgia","13","High school graduate or GED completed","3",39675
,"Georgia","13","Some college credit, but not a degree","4",21146
,"Georgia","13","Associate degree (AA, AS)","5",9509
,"Georgia","13","Bachelor's degree (BA, AB, BS)","6",26192
,"Georgia","13","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",8730
,"Georgia","13","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",2113
,"Georgia","13","Unknown or Not Stated","Unk",413
,"Georgia","13","Excluded","Exc",0
,"Georgia","13","Not Reported","NR",0
,"Hawaii","15","8th grade or less","1",116
,"Hawaii","15","9th through 12th grade with no diploma","2",2535
,"Hawaii","15","High school graduate or GED completed","3",2797
,"Hawaii","15","Some college credit, but not a degree","4",3125
,"Hawaii","15","Associate degree (AA, AS)","5",1622
,"Hawaii","15","Bachelor's degree (BA, AB, BS)","6",3698
,"Hawaii","15","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1388
,"Hawaii","15","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",245
,"Hawaii","15","Unknown or Not Stated","Unk",259
,"Hawaii","15","Excluded","Exc",0
,"Hawaii","15","Not Reported","NR",0
,"Idaho","16","8th grade or less","1",393
,"Idaho","16","9th through 12th grade with no diploma","2",1754
,"Idaho","16","High school graduate or GED completed","3",5395
,"Idaho","16","Some college credit, but not a degree","4",5238
,"Idaho","16","Associate degree (AA, AS)","5",2207
,"Idaho","16","Bachelor's degree (BA, AB, BS)","6",4984
,"Idaho","16","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1112
,"Idaho","16","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",315
,"Idaho","16","Unknown or Not Stated","Unk",135
,"Idaho","16","Excluded","Exc",0
,"Idaho","16","Not Reported","NR",0
,"Illinois","17","8th grade or less","1",2623
,"Illinois","17","9th through 12th grade with no diploma","2",9814
,"Illinois","17","High school graduate or GED completed","3",30949
,"Illinois","17","Some college credit, but not a degree","4",24966
,"Illinois","17","Associate degree (AA, AS)","5",10601
,"Illinois","17","Bachelor's degree (BA, AB, BS)","6",31283
,"Illinois","17","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",16916
,"Illinois","17","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",4380
,"Illinois","17","Unknown or Not Stated","Unk",1766
,"Illinois","17","Excluded","Exc",0
,"Illinois","17","Not Reported","NR",0
,"Indiana","18","8th grade or less","1",3987
,"Indiana","18","9th through 12th grade with no diploma","2",7629
