"Notes","State of Residence","State of Residence Code","OE Gestational Age Recode 10","OE Gestational Age Recode 10 Code",Births
,"Alabama","01","Under 20 weeks","01",19
,"Alabama","01","20 - 27 weeks","02",478
,"Alabama","01","28 - 31 weeks","03",689
,"Alabama","01","32 - 35 weeks","04",3328
,"Alabama","01","36 weeks","05",2928
,"Alabama","01","37 - 39 weeks","06",41815
,"Alabama","01","40 weeks","07",7214
,"Alabama","01","41 weeks","08",1079
,"Alabama","01","42 weeks or more","09",71
,"Alabama","01","Unknown or Not Stated","10",26
,"Alaska","02","Under 20 weeks","01",Suppressed
,"Alaska","02","20 - 27 weeks","02",51
,"Alaska","02","28 - 31 weeks","03",72
,"Alaska","02","32 - 35 weeks","04",397
,"Alaska","02","36 weeks","05",405
,"Alaska","02","37 - 39 weeks","06",5827
,"Alaska","02","40 weeks","07",1946
,"Alaska","02","41 weeks","08",706
,"Alaska","02","42 weeks or more","09",54
,"Alaska","02","Unknown or Not Stated","10",10
,"Arizona","04","Under 20 weeks","01",24
,"Arizona","04","20 - 27 weeks","02",405
,"Arizona","04","28 - 31 weeks","03",554
,"Arizona","04","32 - 35 weeks","04",3234
,"Arizona","04","36 weeks","05",3072
,"Arizona","04","37 - 39 weeks","06",50904
,"Arizona","04","40 weeks","07",14328
,"Arizona","04","41 weeks","08",4171
,"Arizona","04","42 weeks or more","09",159
,"Arizona","04","Unknown or Not Stated","10",96
,"Arkansas","05","Under 20 weeks","01",15
,"Arkansas","05","20 - 27 weeks","02",238
,"Arkansas","05","28 - 31 weeks","03",352
,"Arkansas","05","32 - 35 weeks","04",1922
,"Arkansas","05","36 weeks","05",1615
,"Arkansas","05","37 - 39 weeks","06",25282
,"Arkansas","05","40 weeks","07",4904
,"Arkansas","05","41 weeks","08",835
,"Arkansas","05","42 weeks or more","09",62
,"Arkansas","05","Unknown or Not Stated","10",26
,"California","06","Under 20 weeks","01",77
,"California","06","20 - 27 weeks","02",2048
,"California","06","28 - 31 weeks","03",3573
,"California","06","32 - 35 weeks","04",15933
,"California","06","36 weeks","05",15138
,"California","06","37 - 39 weeks","06",266177
,"California","06","40 weeks","07",89460
,"California","06","41 weeks","08",26640
,"California","06","42 weeks or more","09",1038
,"California","06","Unknown or Not Stated","10",175
,"Colorado","08","Under 20 weeks","01",23
,"Colorado","08","20 - 27 weeks","02",317
,"Colorado","08","28 - 31 weeks","03",484
,"Colorado","08","32 - 35 weeks","04",2624
,"Colorado","08","36 weeks","05",2171
,"Colorado","08","37 - 39 weeks","06",39338
,"Colorado","08","40 weeks","07",12413
,"Colorado","08","41 weeks","08",3892
,"Colorado","08","42 weeks or more","09",193
,"Colorado","08","Unknown or Not Stated","10",39
,"Connecticut","09","Under 20 weeks","01",10
,"Connecticut","09","20 - 27 weeks","02",199
,"Connecticut","09","28 - 31 weeks","03",256
,"Connecticut","09","32 - 35 weeks","04",1440
,"Connecticut","09","36 weeks","05",1163
,"Connecticut","09","37 - 39 weeks","06",21191
,"Connecticut","09","40 weeks","07",6854
,"Connecticut","09","41 weeks","08",2286
,"Connecticut","09","42 weeks or more","09",47
,"Connecticut","09","Unknown or Not Stated","10",14
,"Delaware","10","Under 20 weeks","01",Suppressed
,"Delaware","10","20 - 27 weeks","02",77
,"Delaware","10","28 - 31 weeks","03",100
,"Delaware","10","32 - 35 weeks","04",487
,"Delaware","10","36 weeks","05",411
,"Delaware","10","37 - 39 weeks","06",7036
,"Delaware","10","40 weeks","07",1823
,"Delaware","10","41 weeks","08",435
,"Delaware","10","42 weeks or more","09",15
,"Delaware","10","Unknown or Not Stated","10",Suppressed
,"District of Columbia","11","Under 20 weeks","01",0
,"District of Columbia","11","20 - 27 weeks","02",68
,"District of Columbia","11","28 - 31 weeks","03",92
,"District of Columbia","11","32 - 35 weeks","04",405
,"District of Columbia","11","36 weeks","05",307
,"District of Columbia","11","37 - 39 weeks","06",5304
,"District of Columbia","11","40 weeks","07",1974
,"District of Columbia","11","41 weeks","08",687
,"District of Columbia","11","42 weeks or more","09",32
,"District of Columbia","11","Unknown or Not Stated","10",Suppressed
,"Florida","12","Under 20 weeks","01",85
,"Florida","12","20 - 27 weeks","02",1497
,"Florida","12","28 - 31 weeks","03",1941
,"Florida","12","32 - 35 weeks","04",9603
,"Florida","12","36 weeks","05",8812
,"Florida","12","37 - 39 weeks","06",141144
,"Florida","12","40 weeks","07",37016
,"Florida","12","41 weeks","08",9115
,"Florida","12","42 weeks or more","09",361
,"Florida","12","Unknown or Not Stated","10",97
,"Georgia","13","Under 20 weeks","01",45
,"Georgia","13","20 - 27 weeks","02",985
,"Georgia","13","28 - 31 weeks","03",1307
,"Georgia","13","32 - 35 weeks","04",6172
,"Georgia","13","36 weeks","05",5471
,"Georgia","13","37 - 39 weeks","06",82838
,"Georgia","13","40 weeks","07",21111
,"Georgia","13","41 weeks","08",4284
,"Georgia","13","42 weeks or more","09",215
,"Georgia","13","Unknown or Not Stated","10",45
,"Hawaii","15","Under 20 weeks","01",Suppressed
