"Notes","State of Residence","State of Residence Code","Trimester Prenatal Care Began","Trimester Prenatal Care Began Code",Births
,"Alabama","01","1st to 3rd month","1",40959
,"Alabama","01","4th to 6th month","2",12041
,"Alabama","01","7th to final month","3",2982
,"Alabama","01","No prenatal care","4",1499
,"Alabama","01","Unknown or Not Stated","5",166
,"Alabama","01","Not Reported","100",0
,"Alaska","02","1st to 3rd month","1",6936
,"Alaska","02","4th to 6th month","2",1774
,"Alaska","02","7th to final month","3",460
,"Alaska","02","No prenatal care","4",105
,"Alaska","02","Unknown or Not Stated","5",194
,"Alaska","02","Not Reported","100",0
,"Arizona","04","1st to 3rd month","1",53707
,"Arizona","04","4th to 6th month","2",13969
,"Arizona","04","7th to final month","3",5241
,"Arizona","04","No prenatal care","4",1933
,"Arizona","04","Unknown or Not Stated","5",2097
,"Arizona","04","Not Reported","100",0
,"Arkansas","05","1st to 3rd month","1",24910
,"Arkansas","05","4th to 6th month","2",6770
,"Arkansas","05","7th to final month","3",2286
,"Arkansas","05","No prenatal care","4",938
,"Arkansas","05","Unknown or Not Stated","5",347
,"Arkansas","05","Not Reported","100",0
,"California","06","1st to 3rd month","1",355027
,"California","06","4th to 6th month","2",45154
,"California","06","7th to final month","3",10226
,"California","06","No prenatal care","4",3402
,"California","06","Unknown or Not Stated","5",6450
,"California","06","Not Reported","100",0
,"Colorado","08","1st to 3rd month","1",48120
,"Colorado","08","4th to 6th month","2",8528
,"Colorado","08","7th to final month","3",2487
,"Colorado","08","No prenatal care","4",1045
,"Colorado","08","Unknown or Not Stated","5",1314
,"Colorado","08","Not Reported","100",0
,"Connecticut","09","1st to 3rd month","1",28130
,"Connecticut","09","4th to 6th month","2",4009
,"Connecticut","09","7th to final month","3",949
,"Connecticut","09","No prenatal care","4",111
,"Connecticut","09","Unknown or Not Stated","5",261
,"Connecticut","09","Not Reported","100",0
,"Delaware","10","1st to 3rd month","1",8071
,"Delaware","10","4th to 6th month","2",1445
,"Delaware","10","7th to final month","3",378
,"Delaware","10","No prenatal care","4",228
,"Delaware","10","Unknown or Not Stated","5",270
,"Delaware","10","Not Reported","100",0
,"District of Columbia","11","1st to 3rd month","1",6216
,"District of Columbia","11","4th to 6th month","2",1747
,"District of Columbia","11","7th to final month","3",455
,"District of Columbia","11","No prenatal care","4",152
,"District of Columbia","11","Unknown or Not Stated","5",304
,"District of Columbia","11","Not Reported","100",0
,"Florida","12","1st to 3rd month","1",147267
,"Florida","12","4th to 6th month","2",39638
,"Florida","12","7th to final month","3",11186
,"Florida","12","No prenatal care","4",4758
,"Florida","12","Unknown or Not Stated","5",6822
,"Florida","12","Not Reported","100",0
,"Georgia","13","1st to 3rd month","1",91631
,"Georgia","13","4th to 6th month","2",18986
,"Georgia","13","7th to final month","3",4825
,"Georgia","13","No prenatal care","4",5845
,"Georgia","13","Unknown or Not Stated","5",1186
,"Georgia","13","Not Reported","100",0
,"Hawaii","15","1st to 3rd month","1",10790
,"Hawaii","15","4th to 6th month","2",2372
,"Hawaii","15","7th to final month","3",821
,"Hawaii","15","No prenatal care","4",802
,"Hawaii","15","Unknown or Not Stated","5",1000
,"Hawaii","15","Not Reported","100",0
,"Idaho","16","1st to 3rd month","1",17581
,"Idaho","16","4th to 6th month","2",2919
,"Idaho","16","7th to final month","3",619
,"Idaho","16","No prenatal care","4",166
,"Idaho","16","Unknown or Not Stated","5",248
,"Idaho","16","Not Reported","100",0
,"Illinois","17","1st to 3rd month","1",102192
,"Illinois","17","4th to 6th month","2",20812
,"Illinois","17","7th to final month","3",4997
,"Illinois","17","No prenatal care","4",1813
,"Illinois","17","Unknown or Not Stated","5",3484
,"Illinois","17","Not Reported","100",0
,"Indiana","18","1st to 3rd month","1",58232
,"Indiana","18","4th to 6th month","2",15619
,"Indiana","18","7th to final month","3",3504
,"Indiana","18","No prenatal care","4",1148
,"Indiana","18","Unknown or Not Stated","5",113
,"Indiana","18","Not Reported","100",0
,"Iowa","19","1st to 3rd month","1",29474
,"Iowa","19","4th to 6th month","2",4962
,"Iowa","19","7th to final month","3",1189
,"Iowa","19","No prenatal care","4",354
,"Iowa","19","Unknown or Not Stated","5",135
,"Iowa","19","Not Reported","100",0
,"Kansas","20","1st to 3rd month","1",28621
,"Kansas","20","4th to 6th month","2",4260
,"Kansas","20","7th to final month","3",943
,"Kansas","20","No prenatal care","4",336
,"Kansas","20","Unknown or Not Stated","5",216
,"Kansas","20","Not Reported","100",0
,"Kentucky","21","1st to 3rd month","1",39647
,"Kentucky","21","4th to 6th month","2",7713
,"Kentucky","21","7th to final month","3",2099
,"Kentucky","21","No prenatal care","4",929
,"Kentucky","21","Unknown or Not Stated","5",1280
,"Kentucky","21","Not Reported","100",0
,"Louisiana","22","1st to 3rd month","1",41968
,"Louisiana","22","4th to 6th month","2",9921
,"Louisiana","22","7th to final month","3",2758
