"Notes","State of Residence","State of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Alabama","01","Under 15 years","15",50
,"Alabama","01","15-19 years","15-19",3788
,"Alabama","01","20-24 years","20-24",14578
,"Alabama","01","25-29 years","25-29",18218
,"Alabama","01","30-34 years","30-34",13890
,"Alabama","01","35-39 years","35-39",5938
,"Alabama","01","40-44 years","40-44",1120
,"Alabama","01","45-49 years","45-49",60
,"Alabama","01","50 years and over","50+",Suppressed
,"Alaska","02","Under 15 years","15",Suppressed
,"Alaska","02","15-19 years","15-19",378
,"Alaska","02","20-24 years","20-24",1954
,"Alaska","02","25-29 years","25-29",2896
,"Alaska","02","30-34 years","30-34",2629
,"Alaska","02","35-39 years","35-39",1326
,"Alaska","02","40-44 years","40-44",267
,"Alaska","02","45-49 years","45-49",13
,"Alaska","02","50 years and over","50+",Suppressed
,"Arizona","04","Under 15 years","15",28
,"Arizona","04","15-19 years","15-19",3916
,"Arizona","04","20-24 years","20-24",16069
,"Arizona","04","25-29 years","25-29",23223
,"Arizona","04","30-34 years","30-34",20991
,"Arizona","04","35-39 years","35-39",10360
,"Arizona","04","40-44 years","40-44",2227
,"Arizona","04","45-49 years","45-49",122
,"Arizona","04","50 years and over","50+",11
,"Arkansas","05","Under 15 years","15",43
,"Arkansas","05","15-19 years","15-19",2676
,"Arkansas","05","20-24 years","20-24",9847
,"Arkansas","05","25-29 years","25-29",10862
,"Arkansas","05","30-34 years","30-34",7803
,"Arkansas","05","35-39 years","35-39",3330
,"Arkansas","05","40-44 years","40-44",656
,"Arkansas","05","45-49 years","45-49",32
,"Arkansas","05","50 years and over","50+",Suppressed
,"California","06","Under 15 years","15",117
,"California","06","15-19 years","15-19",13591
,"California","06","20-24 years","20-24",61072
,"California","06","25-29 years","25-29",107293
,"California","06","30-34 years","30-34",132648
,"California","06","35-39 years","35-39",83699
,"California","06","40-44 years","40-44",19850
,"California","06","45-49 years","45-49",1712
,"California","06","50 years and over","50+",277
,"Colorado","08","Under 15 years","15",16
,"Colorado","08","15-19 years","15-19",2223
,"Colorado","08","20-24 years","20-24",10012
,"Colorado","08","25-29 years","25-29",16476
,"Colorado","08","30-34 years","30-34",19622
,"Colorado","08","35-39 years","35-39",10805
,"Colorado","08","40-44 years","40-44",2191
,"Colorado","08","45-49 years","45-49",135
,"Colorado","08","50 years and over","50+",14
,"Connecticut","09","Under 15 years","15",15
,"Connecticut","09","15-19 years","15-19",882
,"Connecticut","09","20-24 years","20-24",4128
,"Connecticut","09","25-29 years","25-29",7977
,"Connecticut","09","30-34 years","30-34",11936
,"Connecticut","09","35-39 years","35-39",6921
,"Connecticut","09","40-44 years","40-44",1482
,"Connecticut","09","45-49 years","45-49",101
,"Connecticut","09","50 years and over","50+",18
,"Delaware","10","Under 15 years","15",Suppressed
,"Delaware","10","15-19 years","15-19",439
,"Delaware","10","20-24 years","20-24",1820
,"Delaware","10","25-29 years","25-29",2992
,"Delaware","10","30-34 years","30-34",3149
,"Delaware","10","35-39 years","35-39",1620
,"Delaware","10","40-44 years","40-44",342
,"Delaware","10","45-49 years","45-49",21
,"Delaware","10","50 years and over","50+",Suppressed
,"District of Columbia","11","Under 15 years","15",Suppressed
,"District of Columbia","11","15-19 years","15-19",301
,"District of Columbia","11","20-24 years","20-24",1111
,"District of Columbia","11","25-29 years","25-29",1742
,"District of Columbia","11","30-34 years","30-34",2798
,"District of Columbia","11","35-39 years","35-39",2343
,"District of Columbia","11","40-44 years","40-44",508
,"District of Columbia","11","45-49 years","45-49",54
,"District of Columbia","11","50 years and over","50+",13
,"Florida","12","Under 15 years","15",88
,"Florida","12","15-19 years","15-19",8920
,"Florida","12","20-24 years","20-24",37673
,"Florida","12","25-29 years","25-29",58609
,"Florida","12","30-34 years","30-34",62091
,"Florida","12","35-39 years","35-39",34048
,"Florida","12","40-44 years","40-44",7651
,"Florida","12","45-49 years","45-49",537
,"Florida","12","50 years and over","50+",54
,"Georgia","13","Under 15 years","15",95
,"Georgia","13","15-19 years","15-19",6572
,"Georgia","13","20-24 years","20-24",26023
,"Georgia","13","25-29 years","25-29",35770
,"Georgia","13","30-34 years","30-34",33180
,"Georgia","13","35-39 years","35-39",16843
,"Georgia","13","40-44 years","40-44",3714
,"Georgia","13","45-49 years","45-49",245
,"Georgia","13","50 years and over","50+",31
,"Hawaii","15","Under 15 years","15",Suppressed
,"Hawaii","15","15-19 years","15-19",470
,"Hawaii","15","20-24 years","20-24",2847
,"Hawaii","15","25-29 years","25-29",4325
,"Hawaii","15","30-34 years","30-34",4498
,"Hawaii","15","35-39 years","35-39",2887
,"Hawaii","15","40-44 years","40-44",707
,"Hawaii","15","45-49 years","45-49",40
,"Hawaii","15","50 years and over","50+",Suppressed
,"Idaho","16","Under 15 years","15",Suppressed
,"Idaho","16","15-19 years","15-19",909
,"Idaho","16","20-24 years","20-24",4916
,"Idaho","16","25-29 years","25-29",7020
,"Idaho","16","30-34 years","30-34",5503
,"Idaho","16","35-39 years","35-39",2611
,"Idaho","16","40-44 years","40-44",538
,"Idaho","16","45-49 years","45-49",27
,"Idaho","16","50 years and over","50+",Suppressed
,"Illinois","17","Under 15 years","15",50
,"Illinois","17","15-19 years","15-19",5379
,"Illinois","17","20-24 years","20-24",21399
,"Illinois","17","25-29 years","25-29",35948
,"Illinois","17","30-34 years","30-34",42464
,"Illinois","17","35-39 years","35-39",23002
,"Illinois","17","40-44 years","40-44",4706
,"Illinois","17","45-49 years","45-49",317
,"Illinois","17","50 years and over","50+",33
,"Indiana","18","Under 15 years","15",43
