"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Albany County, NY","36001","Under 15 years","15",Suppressed
,"Albany County, NY","36001","15-19 years","15-19",97
,"Albany County, NY","36001","20-24 years","20-24",364
,"Albany County, NY","36001","25-29 years","25-29",704
,"Albany County, NY","36001","30-34 years","30-34",1003
,"Albany County, NY","36001","35-39 years","35-39",511
,"Albany County, NY","36001","40-44 years","40-44",119
,"Albany County, NY","36001","45-49 years","45-49",Suppressed
,"Albany County, NY","36001","50 years and over","50+",Suppressed
,"Bronx County, NY","36005","Under 15 years","15",11
,"Bronx County, NY","36005","15-19 years","15-19",688
,"Bronx County, NY","36005","20-24 years","20-24",3186
,"Bronx County, NY","36005","25-29 years","25-29",5025
,"Bronx County, NY","36005","30-34 years","30-34",5000
,"Bronx County, NY","36005","35-39 years","35-39",3006
,"Bronx County, NY","36005","40-44 years","40-44",844
,"Bronx County, NY","36005","45-49 years","45-49",71
,"Bronx County, NY","36005","50 years and over","50+",20
,"Broome County, NY","36007","Under 15 years","15",Suppressed
,"Broome County, NY","36007","15-19 years","15-19",71
,"Broome County, NY","36007","20-24 years","20-24",378
,"Broome County, NY","36007","25-29 years","25-29",500
,"Broome County, NY","36007","30-34 years","30-34",532
,"Broome County, NY","36007","35-39 years","35-39",255
,"Broome County, NY","36007","40-44 years","40-44",47
,"Broome County, NY","36007","45-49 years","45-49",Suppressed
,"Broome County, NY","36007","50 years and over","50+",0
,"Chautauqua County, NY","36013","Under 15 years","15",Suppressed
,"Chautauqua County, NY","36013","15-19 years","15-19",74
,"Chautauqua County, NY","36013","20-24 years","20-24",325
,"Chautauqua County, NY","36013","25-29 years","25-29",400
,"Chautauqua County, NY","36013","30-34 years","30-34",308
,"Chautauqua County, NY","36013","35-39 years","35-39",107
,"Chautauqua County, NY","36013","40-44 years","40-44",23
,"Chautauqua County, NY","36013","45-49 years","45-49",0
,"Chautauqua County, NY","36013","50 years and over","50+",0
,"Dutchess County, NY","36027","Under 15 years","15",Suppressed
,"Dutchess County, NY","36027","15-19 years","15-19",63
,"Dutchess County, NY","36027","20-24 years","20-24",302
,"Dutchess County, NY","36027","25-29 years","25-29",613
,"Dutchess County, NY","36027","30-34 years","30-34",946
,"Dutchess County, NY","36027","35-39 years","35-39",517
,"Dutchess County, NY","36027","40-44 years","40-44",116
,"Dutchess County, NY","36027","45-49 years","45-49",Suppressed
,"Dutchess County, NY","36027","50 years and over","50+",0
,"Erie County, NY","36029","Under 15 years","15",Suppressed
,"Erie County, NY","36029","15-19 years","15-19",378
,"Erie County, NY","36029","20-24 years","20-24",1454
,"Erie County, NY","36029","25-29 years","25-29",2547
,"Erie County, NY","36029","30-34 years","30-34",3251
,"Erie County, NY","36029","35-39 years","35-39",1535
,"Erie County, NY","36029","40-44 years","40-44",264
,"Erie County, NY","36029","45-49 years","45-49",19
,"Erie County, NY","36029","50 years and over","50+",Suppressed
,"Jefferson County, NY","36045","Under 15 years","15",0
,"Jefferson County, NY","36045","15-19 years","15-19",84
,"Jefferson County, NY","36045","20-24 years","20-24",562
,"Jefferson County, NY","36045","25-29 years","25-29",625
,"Jefferson County, NY","36045","30-34 years","30-34",361
,"Jefferson County, NY","36045","35-39 years","35-39",136
,"Jefferson County, NY","36045","40-44 years","40-44",23
,"Jefferson County, NY","36045","45-49 years","45-49",Suppressed
,"Jefferson County, NY","36045","50 years and over","50+",Suppressed
,"Kings County, NY","36047","Under 15 years","15",10
,"Kings County, NY","36047","15-19 years","15-19",740
,"Kings County, NY","36047","20-24 years","20-24",5836
,"Kings County, NY","36047","25-29 years","25-29",8135
,"Kings County, NY","36047","30-34 years","30-34",10042
,"Kings County, NY","36047","35-39 years","35-39",7436
,"Kings County, NY","36047","40-44 years","40-44",2061
,"Kings County, NY","36047","45-49 years","45-49",161
,"Kings County, NY","36047","50 years and over","50+",21
,"Monroe County, NY","36055","Under 15 years","15",Suppressed
,"Monroe County, NY","36055","15-19 years","15-19",269
,"Monroe County, NY","36055","20-24 years","20-24",1145
,"Monroe County, NY","36055","25-29 years","25-29",2029
,"Monroe County, NY","36055","30-34 years","30-34",2589
,"Monroe County, NY","36055","35-39 years","35-39",1247
,"Monroe County, NY","36055","40-44 years","40-44",223
,"Monroe County, NY","36055","45-49 years","45-49",17
,"Monroe County, NY","36055","50 years and over","50+",0
,"Nassau County, NY","36059","Under 15 years","15",Suppressed
,"Nassau County, NY","36059","15-19 years","15-19",198
,"Nassau County, NY","36059","20-24 years","20-24",965
,"Nassau County, NY","36059","25-29 years","25-29",2695
,"Nassau County, NY","36059","30-34 years","30-34",5234
,"Nassau County, NY","36059","35-39 years","35-39",3367
,"Nassau County, NY","36059","40-44 years","40-44",760
,"Nassau County, NY","36059","45-49 years","45-49",67
,"Nassau County, NY","36059","50 years and over","50+",Suppressed
,"New York County, NY","36061","Under 15 years","15",Suppressed
,"New York County, NY","36061","15-19 years","15-19",206
,"New York County, NY","36061","20-24 years","20-24",1021
,"New York County, NY","36061","25-29 years","25-29",2233
,"New York County, NY","36061","30-34 years","30-34",5575
,"New York County, NY","36061","35-39 years","35-39",4328
,"New York County, NY","36061","40-44 years","40-44",1199
,"New York County, NY","36061","45-49 years","45-49",154
,"New York County, NY","36061","50 years and over","50+",34
,"Niagara County, NY","36063","Under 15 years","15",Suppressed
,"Niagara County, NY","36063","15-19 years","15-19",98
,"Niagara County, NY","36063","20-24 years","20-24",367
,"Niagara County, NY","36063","25-29 years","25-29",600
,"Niagara County, NY","36063","30-34 years","30-34",612
,"Niagara County, NY","36063","35-39 years","35-39",253
,"Niagara County, NY","36063","40-44 years","40-44",44
,"Niagara County, NY","36063","45-49 years","45-49",Suppressed
,"Niagara County, NY","36063","50 years and over","50+",0
,"Oneida County, NY","36065","Under 15 years","15",Suppressed
,"Oneida County, NY","36065","15-19 years","15-19",126
,"Oneida County, NY","36065","20-24 years","20-24",483
,"Oneida County, NY","36065","25-29 years","25-29",677
,"Oneida County, NY","36065","30-34 years","30-34",706
,"Oneida County, NY","36065","35-39 years","35-39",323
