"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Alachua County, FL","12001","Under 15 years","15",Suppressed
,"Alachua County, FL","12001","15-19 years","15-19",116
,"Alachua County, FL","12001","20-24 years","20-24",483
,"Alachua County, FL","12001","25-29 years","25-29",778
,"Alachua County, FL","12001","30-34 years","30-34",864
,"Alachua County, FL","12001","35-39 years","35-39",412
,"Alachua County, FL","12001","40-44 years","40-44",76
,"Alachua County, FL","12001","45-49 years","45-49",Suppressed
,"Alachua County, FL","12001","50 years and over","50+",0
,"Bay County, FL","12005","Under 15 years","15",Suppressed
,"Bay County, FL","12005","15-19 years","15-19",154
,"Bay County, FL","12005","20-24 years","20-24",520
,"Bay County, FL","12005","25-29 years","25-29",703
,"Bay County, FL","12005","30-34 years","30-34",513
,"Bay County, FL","12005","35-39 years","35-39",248
,"Bay County, FL","12005","40-44 years","40-44",46
,"Bay County, FL","12005","45-49 years","45-49",0
,"Bay County, FL","12005","50 years and over","50+",Suppressed
,"Brevard County, FL","12009","Under 15 years","15",Suppressed
,"Brevard County, FL","12009","15-19 years","15-19",225
,"Brevard County, FL","12009","20-24 years","20-24",1005
,"Brevard County, FL","12009","25-29 years","25-29",1690
,"Brevard County, FL","12009","30-34 years","30-34",1505
,"Brevard County, FL","12009","35-39 years","35-39",717
,"Brevard County, FL","12009","40-44 years","40-44",152
,"Brevard County, FL","12009","45-49 years","45-49",13
,"Brevard County, FL","12009","50 years and over","50+",Suppressed
,"Broward County, FL","12011","Under 15 years","15",Suppressed
,"Broward County, FL","12011","15-19 years","15-19",619
,"Broward County, FL","12011","20-24 years","20-24",3017
,"Broward County, FL","12011","25-29 years","25-29",5915
,"Broward County, FL","12011","30-34 years","30-34",6953
,"Broward County, FL","12011","35-39 years","35-39",4265
,"Broward County, FL","12011","40-44 years","40-44",1075
,"Broward County, FL","12011","45-49 years","45-49",75
,"Broward County, FL","12011","50 years and over","50+",Suppressed
,"Charlotte County, FL","12015","Under 15 years","15",0
,"Charlotte County, FL","12015","15-19 years","15-19",48
,"Charlotte County, FL","12015","20-24 years","20-24",247
,"Charlotte County, FL","12015","25-29 years","25-29",364
,"Charlotte County, FL","12015","30-34 years","30-34",233
,"Charlotte County, FL","12015","35-39 years","35-39",112
,"Charlotte County, FL","12015","40-44 years","40-44",33
,"Charlotte County, FL","12015","45-49 years","45-49",Suppressed
,"Charlotte County, FL","12015","50 years and over","50+",0
,"Citrus County, FL","12017","Under 15 years","15",0
,"Citrus County, FL","12017","15-19 years","15-19",64
,"Citrus County, FL","12017","20-24 years","20-24",249
,"Citrus County, FL","12017","25-29 years","25-29",346
,"Citrus County, FL","12017","30-34 years","30-34",255
,"Citrus County, FL","12017","35-39 years","35-39",99
,"Citrus County, FL","12017","40-44 years","40-44",11
,"Citrus County, FL","12017","45-49 years","45-49",Suppressed
,"Citrus County, FL","12017","50 years and over","50+",0
,"Clay County, FL","12019","Under 15 years","15",0
,"Clay County, FL","12019","15-19 years","15-19",99
,"Clay County, FL","12019","20-24 years","20-24",532
,"Clay County, FL","12019","25-29 years","25-29",622
,"Clay County, FL","12019","30-34 years","30-34",601
,"Clay County, FL","12019","35-39 years","35-39",265
,"Clay County, FL","12019","40-44 years","40-44",60
,"Clay County, FL","12019","45-49 years","45-49",Suppressed
,"Clay County, FL","12019","50 years and over","50+",0
,"Collier County, FL","12021","Under 15 years","15",0
,"Collier County, FL","12021","15-19 years","15-19",153
,"Collier County, FL","12021","20-24 years","20-24",575
,"Collier County, FL","12021","25-29 years","25-29",845
,"Collier County, FL","12021","30-34 years","30-34",939
,"Collier County, FL","12021","35-39 years","35-39",537
,"Collier County, FL","12021","40-44 years","40-44",140
,"Collier County, FL","12021","45-49 years","45-49",Suppressed
,"Collier County, FL","12021","50 years and over","50+",Suppressed
,"Duval County, FL","12031","Under 15 years","15",11
,"Duval County, FL","12031","15-19 years","15-19",667
,"Duval County, FL","12031","20-24 years","20-24",2782
,"Duval County, FL","12031","25-29 years","25-29",4011
,"Duval County, FL","12031","30-34 years","30-34",3473
,"Duval County, FL","12031","35-39 years","35-39",1682
,"Duval County, FL","12031","40-44 years","40-44",325
,"Duval County, FL","12031","45-49 years","45-49",21
,"Duval County, FL","12031","50 years and over","50+",Suppressed
,"Escambia County, FL","12033","Under 15 years","15",Suppressed
,"Escambia County, FL","12033","15-19 years","15-19",239
,"Escambia County, FL","12033","20-24 years","20-24",937
,"Escambia County, FL","12033","25-29 years","25-29",1234
,"Escambia County, FL","12033","30-34 years","30-34",869
,"Escambia County, FL","12033","35-39 years","35-39",385
,"Escambia County, FL","12033","40-44 years","40-44",62
,"Escambia County, FL","12033","45-49 years","45-49",Suppressed
,"Escambia County, FL","12033","50 years and over","50+",0
,"Hernando County, FL","12053","Under 15 years","15",Suppressed
,"Hernando County, FL","12053","15-19 years","15-19",85
,"Hernando County, FL","12053","20-24 years","20-24",385
,"Hernando County, FL","12053","25-29 years","25-29",539
,"Hernando County, FL","12053","30-34 years","30-34",390
,"Hernando County, FL","12053","35-39 years","35-39",185
,"Hernando County, FL","12053","40-44 years","40-44",29
,"Hernando County, FL","12053","45-49 years","45-49",Suppressed
,"Hernando County, FL","12053","50 years and over","50+",0
,"Hillsborough County, FL","12057","Under 15 years","15",Suppressed
,"Hillsborough County, FL","12057","15-19 years","15-19",789
,"Hillsborough County, FL","12057","20-24 years","20-24",3248
,"Hillsborough County, FL","12057","25-29 years","25-29",5070
,"Hillsborough County, FL","12057","30-34 years","30-34",4966
,"Hillsborough County, FL","12057","35-39 years","35-39",2529
,"Hillsborough County, FL","12057","40-44 years","40-44",474
