"Notes","State of Residence","State of Residence Code","OE Gestational Age Recode 10","OE Gestational Age Recode 10 Code",Births
,"Alabama","01","Under 20 weeks","01",20
,"Alabama","01","20 - 27 weeks","02",486
,"Alabama","01","28 - 31 weeks","03",688
,"Alabama","01","32 - 35 weeks","04",3249
,"Alabama","01","36 weeks","05",2761
,"Alabama","01","37 - 39 weeks","06",40323
,"Alabama","01","40 weeks","07",8524
,"Alabama","01","41 weeks","08",1573
,"Alabama","01","42 weeks or more","09",103
,"Alabama","01","Unknown or Not Stated","10",34
,"Alaska","02","Under 20 weeks","01",Suppressed
,"Alaska","02","20 - 27 weeks","02",44
,"Alaska","02","28 - 31 weeks","03",81
,"Alaska","02","32 - 35 weeks","04",416
,"Alaska","02","36 weeks","05",386
,"Alaska","02","37 - 39 weeks","06",5934
,"Alaska","02","40 weeks","07",2213
,"Alaska","02","41 weeks","08",917
,"Alaska","02","42 weeks or more","09",83
,"Alaska","02","Unknown or Not Stated","10",Suppressed
,"Arizona","04","Under 20 weeks","01",18
,"Arizona","04","20 - 27 weeks","02",446
,"Arizona","04","28 - 31 weeks","03",663
,"Arizona","04","32 - 35 weeks","04",3394
,"Arizona","04","36 weeks","05",3152
,"Arizona","04","37 - 39 weeks","06",52934
,"Arizona","04","40 weeks","07",15417
,"Arizona","04","41 weeks","08",4413
,"Arizona","04","42 weeks or more","09",190
,"Arizona","04","Unknown or Not Stated","10",96
,"Arkansas","05","Under 20 weeks","01",10
,"Arkansas","05","20 - 27 weeks","02",256
,"Arkansas","05","28 - 31 weeks","03",378
,"Arkansas","05","32 - 35 weeks","04",1929
,"Arkansas","05","36 weeks","05",1726
,"Arkansas","05","37 - 39 weeks","06",25498
,"Arkansas","05","40 weeks","07",5943
,"Arkansas","05","41 weeks","08",1163
,"Arkansas","05","42 weeks or more","09",89
,"Arkansas","05","Unknown or Not Stated","10",26
,"California","06","Under 20 weeks","01",80
,"California","06","20 - 27 weeks","02",2298
,"California","06","28 - 31 weeks","03",3510
,"California","06","32 - 35 weeks","04",18019
,"California","06","36 weeks","05",16057
,"California","06","37 - 39 weeks","06",278659
,"California","06","40 weeks","07",101541
,"California","06","41 weeks","08",33103
,"California","06","42 weeks or more","09",1404
,"California","06","Unknown or Not Stated","10",249
