"Notes","State of Residence","State of Residence Code","Mother's Education","Mother's Education Code",Births
,"Alabama","01","8th grade or less","1",1856
,"Alabama","01","9th through 12th grade with no diploma","2",6169
,"Alabama","01","High school graduate or GED completed","3",18306
,"Alabama","01","Some college credit, but not a degree","4",12493
,"Alabama","01","Associate degree (AA, AS)","5",5034
,"Alabama","01","Bachelor's degree (BA, AB, BS)","6",8833
,"Alabama","01","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",3857
,"Alabama","01","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1101
,"Alabama","01","Unknown or Not Stated","Unk",112
,"Alabama","01","Excluded","Exc",0
,"Alabama","01","Not Reported","NR",0
,"Alaska","02","8th grade or less","1",63
,"Alaska","02","9th through 12th grade with no diploma","2",880
,"Alaska","02","High school graduate or GED completed","3",3021
,"Alaska","02","Some college credit, but not a degree","4",2556
,"Alaska","02","Associate degree (AA, AS)","5",838
,"Alaska","02","Bachelor's degree (BA, AB, BS)","6",1737
,"Alaska","02","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",643
,"Alaska","02","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",209
,"Alaska","02","Unknown or Not Stated","Unk",139
,"Alaska","02","Excluded","Exc",0
,"Alaska","02","Not Reported","NR",0
,"Arizona","04","8th grade or less","1",2394
,"Arizona","04","9th through 12th grade with no diploma","2",11102
,"Arizona","04","High school graduate or GED completed","3",21303
,"Arizona","04","Some college credit, but not a degree","4",18661
,"Arizona","04","Associate degree (AA, AS)","5",6887
,"Arizona","04","Bachelor's degree (BA, AB, BS)","6",13326
,"Arizona","04","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",5111
,"Arizona","04","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1575
,"Arizona","04","Unknown or Not Stated","Unk",364
,"Arizona","04","Excluded","Exc",0
,"Arizona","04","Not Reported","NR",0
,"Arkansas","05","8th grade or less","1",860
,"Arkansas","05","9th through 12th grade with no diploma","2",4301
,"Arkansas","05","High school graduate or GED completed","3",11959
,"Arkansas","05","Some college credit, but not a degree","4",8566
,"Arkansas","05","Associate degree (AA, AS)","5",2978
,"Arkansas","05","Bachelor's degree (BA, AB, BS)","6",5291
,"Arkansas","05","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",2187
,"Arkansas","05","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",579
,"Arkansas","05","Unknown or Not Stated","Unk",297
,"Arkansas","05","Excluded","Exc",0
,"Arkansas","05","Not Reported","NR",0
,"California","06","8th grade or less","1",16717
,"California","06","9th through 12th grade with no diploma","2",38844
,"California","06","High school graduate or GED completed","3",108536
,"California","06","Some college credit, but not a degree","4",88705
