"Notes","State of Residence","State of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Alabama","01","Under 15 years","15",38
,"Alabama","01","15-19 years","15-19",3924
,"Alabama","01","20-24 years","20-24",15268
,"Alabama","01","25-29 years","25-29",18348
,"Alabama","01","30-34 years","30-34",13422
,"Alabama","01","35-39 years","35-39",5673
,"Alabama","01","40-44 years","40-44",1023
,"Alabama","01","45-49 years","45-49",56
,"Alabama","01","50 years and over","50+",Suppressed
,"Alaska","02","Under 15 years","15",Suppressed
,"Alaska","02","15-19 years","15-19",423
,"Alaska","02","20-24 years","20-24",2182
,"Alaska","02","25-29 years","25-29",3140
,"Alaska","02","30-34 years","30-34",2767
,"Alaska","02","35-39 years","35-39",1304
,"Alaska","02","40-44 years","40-44",256
,"Alaska","02","45-49 years","45-49",Suppressed
,"Alaska","02","50 years and over","50+",Suppressed
,"Arizona","04","Under 15 years","15",30
,"Arizona","04","15-19 years","15-19",4650
,"Arizona","04","20-24 years","20-24",17877
,"Arizona","04","25-29 years","25-29",24370
,"Arizona","04","30-34 years","30-34",20787
,"Arizona","04","35-39 years","35-39",10544
,"Arizona","04","40-44 years","40-44",2289
,"Arizona","04","45-49 years","45-49",163
,"Arizona","04","50 years and over","50+",13
,"Arkansas","05","Under 15 years","15",27
,"Arkansas","05","15-19 years","15-19",2928
,"Arkansas","05","20-24 years","20-24",10540
,"Arkansas","05","25-29 years","25-29",11527
,"Arkansas","05","30-34 years","30-34",7973
,"Arkansas","05","35-39 years","35-39",3382
,"Arkansas","05","40-44 years","40-44",609
,"Arkansas","05","45-49 years","45-49",31
,"Arkansas","05","50 years and over","50+",Suppressed
,"California","06","Under 15 years","15",130
,"California","06","15-19 years","15-19",16929
,"California","06","20-24 years","20-24",70591
,"California","06","25-29 years","25-29",118957
,"California","06","30-34 years","30-34",139685
,"California","06","35-39 years","35-39",86467
,"California","06","40-44 years","40-44",20054
,"California","06","45-49 years","45-49",1826
,"California","06","50 years and over","50+",281
,"Colorado","08","Under 15 years","15",18
,"Colorado","08","15-19 years","15-19",2522
,"Colorado","08","20-24 years","20-24",10482
,"Colorado","08","25-29 years","25-29",17545
,"Colorado","08","30-34 years","30-34",19679
,"Colorado","08","35-39 years","35-39",10476
,"Colorado","08","40-44 years","40-44",2015
,"Colorado","08","45-49 years","45-49",142
,"Colorado","08","50 years and over","50+",Suppressed
,"Connecticut","09","Under 15 years","15",Suppressed
,"Connecticut","09","15-19 years","15-19",988
,"Connecticut","09","20-24 years","20-24",4373
,"Connecticut","09","25-29 years","25-29",8822
,"Connecticut","09","30-34 years","30-34",12064
,"Connecticut","09","35-39 years","35-39",6903
,"Connecticut","09","40-44 years","40-44",1456
,"Connecticut","09","45-49 years","45-49",101
,"Connecticut","09","50 years and over","50+",Suppressed
,"Delaware","10","Under 15 years","15",Suppressed
,"Delaware","10","15-19 years","15-19",497
,"Delaware","10","20-24 years","20-24",1963
,"Delaware","10","25-29 years","25-29",3119
,"Delaware","10","30-34 years","30-34",3200
,"Delaware","10","35-39 years","35-39",1520
,"Delaware","10","40-44 years","40-44",293
,"Delaware","10","45-49 years","45-49",22
,"Delaware","10","50 years and over","50+",Suppressed
,"District of Columbia","11","Under 15 years","15",Suppressed
,"District of Columbia","11","15-19 years","15-19",373
,"District of Columbia","11","20-24 years","20-24",1254
,"District of Columbia","11","25-29 years","25-29",1816
,"District of Columbia","11","30-34 years","30-34",3029
,"District of Columbia","11","35-39 years","35-39",2200
,"District of Columbia","11","40-44 years","40-44",475
,"District of Columbia","11","45-49 years","45-49",50
,"District of Columbia","11","50 years and over","50+",10
,"Florida","12","Under 15 years","15",98
,"Florida","12","15-19 years","15-19",9829
,"Florida","12","20-24 years","20-24",41283
,"Florida","12","25-29 years","25-29",64851
,"Florida","12","30-34 years","30-34",63480
,"Florida","12","35-39 years","35-39",33888
,"Florida","12","40-44 years","40-44",7543
,"Florida","12","45-49 years","45-49",526
,"Florida","12","50 years and over","50+",44
,"Georgia","13","Under 15 years","15",87
,"Georgia","13","15-19 years","15-19",7385
,"Georgia","13","20-24 years","20-24",27599
,"Georgia","13","25-29 years","25-29",37288
,"Georgia","13","30-34 years","30-34",33056
,"Georgia","13","35-39 years","35-39",16881
,"Georgia","13","40-44 years","40-44",3613
,"Georgia","13","45-49 years","45-49",239
,"Georgia","13","50 years and over","50+",24
,"Hawaii","15","Under 15 years","15",Suppressed
,"Hawaii","15","15-19 years","15-19",643
,"Hawaii","15","20-24 years","20-24",3117
,"Hawaii","15","25-29 years","25-29",4703
,"Hawaii","15","30-34 years","30-34",4714
,"Hawaii","15","35-39 years","35-39",3007
,"Hawaii","15","40-44 years","40-44",717
,"Hawaii","15","45-49 years","45-49",61
,"Hawaii","15","50 years and over","50+",Suppressed
,"Idaho","16","Under 15 years","15",Suppressed
,"Idaho","16","15-19 years","15-19",972
,"Idaho","16","20-24 years","20-24",5100
,"Idaho","16","25-29 years","25-29",6976
,"Idaho","16","30-34 years","30-34",5338
,"Idaho","16","35-39 years","35-39",2541
,"Idaho","16","40-44 years","40-44",442
,"Idaho","16","45-49 years","45-49",29
,"Idaho","16","50 years and over","50+",Suppressed
,"Illinois","17","Under 15 years","15",60
,"Illinois","17","15-19 years","15-19",6399
,"Illinois","17","20-24 years","20-24",24505
,"Illinois","17","25-29 years","25-29",39836
,"Illinois","17","30-34 years","30-34",44859
,"Illinois","17","35-39 years","35-39",24056
,"Illinois","17","40-44 years","40-44",4750
