"Notes","State of Residence","State of Residence Code","Trimester Prenatal Care Began","Trimester Prenatal Care Began Code",Births
,"Alabama","01","1st to 3rd month","1",40629
,"Alabama","01","4th to 6th month","2",12261
,"Alabama","01","7th to final month","3",3169
,"Alabama","01","No prenatal care","4",1356
,"Alabama","01","Unknown or Not Stated","5",346
,"Alabama","01","Not Reported","100",0
,"Alaska","02","1st to 3rd month","1",7431
,"Alaska","02","4th to 6th month","2",1814
,"Alaska","02","7th to final month","3",441
,"Alaska","02","No prenatal care","4",131
,"Alaska","02","Unknown or Not Stated","5",269
,"Alaska","02","Not Reported","100",0
,"Arizona","04","1st to 3rd month","1",57463
,"Arizona","04","4th to 6th month","2",14396
,"Arizona","04","7th to final month","3",5183
,"Arizona","04","No prenatal care","4",2268
,"Arizona","04","Unknown or Not Stated","5",1413
,"Arizona","04","Not Reported","100",0
,"Arkansas","05","1st to 3rd month","1",25828
,"Arkansas","05","4th to 6th month","2",7404
,"Arkansas","05","7th to final month","3",2425
,"Arkansas","05","No prenatal care","4",924
,"Arkansas","05","Unknown or Not Stated","5",437
,"Arkansas","05","Not Reported","100",0
,"California","06","1st to 3rd month","1",385821
,"California","06","4th to 6th month","2",48131
,"California","06","7th to final month","3",12720
,"California","06","No prenatal care","4",3754
,"California","06","Unknown or Not Stated","5",4494
,"California","06","Not Reported","100",0
,"Colorado","08","1st to 3rd month","1",48644
,"Colorado","08","4th to 6th month","2",9148
,"Colorado","08","7th to final month","3",2771
,"Colorado","08","No prenatal care","4",886
,"Colorado","08","Unknown or Not Stated","5",1436
,"Colorado","08","Not Reported","100",0
,"Connecticut","09","1st to 3rd month","1",28907
,"Connecticut","09","4th to 6th month","2",4257
,"Connecticut","09","7th to final month","3",1129
,"Connecticut","09","No prenatal care","4",121
,"Connecticut","09","Unknown or Not Stated","5",311
,"Connecticut","09","Not Reported","100",0
,"Delaware","10","1st to 3rd month","1",8044
,"Delaware","10","4th to 6th month","2",1566
,"Delaware","10","7th to final month","3",375
,"Delaware","10","No prenatal care","4",350
,"Delaware","10","Unknown or Not Stated","5",286
,"Delaware","10","Not Reported","100",0
,"District of Columbia","11","1st to 3rd month","1",6242
,"District of Columbia","11","4th to 6th month","2",1955
,"District of Columbia","11","7th to final month","3",453
,"District of Columbia","11","No prenatal care","4",218
,"District of Columbia","11","Unknown or Not Stated","5",344
,"District of Columbia","11","Not Reported","100",0
,"Florida","12","1st to 3rd month","1",152604
,"Florida","12","4th to 6th month","2",40509
,"Florida","12","7th to final month","3",11952
,"Florida","12","No prenatal care","4",4499
,"Florida","12","Unknown or Not Stated","5",11978
,"Florida","12","Not Reported","100",0
,"Georgia","13","1st to 3rd month","1",91781
,"Georgia","13","4th to 6th month","2",20776
,"Georgia","13","7th to final month","3",5649
,"Georgia","13","No prenatal care","4",5115
,"Georgia","13","Unknown or Not Stated","5",2851
,"Georgia","13","Not Reported","100",0
,"Hawaii","15","1st to 3rd month","1",11920
,"Hawaii","15","4th to 6th month","2",2743
,"Hawaii","15","7th to final month","3",1107
,"Hawaii","15","No prenatal care","4",663
,"Hawaii","15","Unknown or Not Stated","5",539
,"Hawaii","15","Not Reported","100",0
,"Idaho","16","1st to 3rd month","1",17262
,"Idaho","16","4th to 6th month","2",3083
,"Idaho","16","7th to final month","3",701
,"Idaho","16","No prenatal care","4",232
,"Idaho","16","Unknown or Not Stated","5",125
,"Idaho","16","Not Reported","100",0
,"Illinois","17","1st to 3rd month","1",107534
,"Illinois","17","4th to 6th month","2",22598
,"Illinois","17","7th to final month","3",6309
,"Illinois","17","No prenatal care","4",2071
,"Illinois","17","Unknown or Not Stated","5",6303
,"Illinois","17","Not Reported","100",0
,"Indiana","18","1st to 3rd month","1",59277
,"Indiana","18","4th to 6th month","2",16908
,"Indiana","18","7th to final month","3",4020
,"Indiana","18","No prenatal care","4",1228
,"Indiana","18","Unknown or Not Stated","5",213
,"Indiana","18","Not Reported","100",0
,"Iowa","19","1st to 3rd month","1",30619
,"Iowa","19","4th to 6th month","2",5381
,"Iowa","19","7th to final month","3",1259
,"Iowa","19","No prenatal care","4",309
,"Iowa","19","Unknown or Not Stated","5",217
,"Iowa","19","Not Reported","100",0
,"Kansas","20","1st to 3rd month","1",30043
,"Kansas","20","4th to 6th month","2",4536
,"Kansas","20","7th to final month","3",1052
,"Kansas","20","No prenatal care","4",394
,"Kansas","20","Unknown or Not Stated","5",236
,"Kansas","20","Not Reported","100",0
,"Kentucky","21","1st to 3rd month","1",40347
,"Kentucky","21","4th to 6th month","2",7828
,"Kentucky","21","7th to final month","3",2070
,"Kentucky","21","No prenatal care","4",866
,"Kentucky","21","Unknown or Not Stated","5",2811
,"Kentucky","21","Not Reported","100",0
,"Louisiana","22","1st to 3rd month","1",44849
,"Louisiana","22","4th to 6th month","2",9589
,"Louisiana","22","7th to final month","3",2646
,"Louisiana","22","No prenatal care","4",1165
,"Louisiana","22","Unknown or Not Stated","5",1366
,"Louisiana","22","Not Reported","100",0
,"Maine","23","1st to 3rd month","1",10289
,"Maine","23","4th to 6th month","2",1457
,"Maine","23","7th to final month","3",429
,"Maine","23","No prenatal care","4",64
,"Maine","23","Unknown or Not Stated","5",72
,"Maine","23","Not Reported","100",0
,"Maryland","24","1st to 3rd month","1",50559
,"Maryland","24","4th to 6th month","2",12744
,"Maryland","24","7th to final month","3",3569
,"Maryland","24","No prenatal care","4",900
,"Maryland","24","Unknown or Not Stated","5",3308
,"Maryland","24","Not Reported","100",0
,"Massachusetts","25","1st to 3rd month","1",56869
,"Massachusetts","25","4th to 6th month","2",8139
,"Massachusetts","25","7th to final month","3",2852
,"Massachusetts","25","No prenatal care","4",322
,"Massachusetts","25","Unknown or Not Stated","5",927
,"Massachusetts","25","Not Reported","100",0
,"Michigan","26","1st to 3rd month","1",85510
,"Michigan","26","4th to 6th month","2",16505
,"Michigan","26","7th to final month","3",3715
,"Michigan","26","No prenatal care","4",1445
,"Michigan","26","Unknown or Not Stated","5",2857
,"Michigan","26","Not Reported","100",0
,"Minnesota","27","1st to 3rd month","1",55203
,"Minnesota","27","4th to 6th month","2",9272
,"Minnesota","27","7th to final month","3",1962
,"Minnesota","27","No prenatal care","4",385
