Session Title,"Opioid Overdoses in ED, KY-NC",,
Session Description,ED encountersKY-NC by county pts with ED diagnosis opioid overdose,,
Session ID,2748527,,
Data Model,ED Encounters,,
Population Base,All ED Encounters,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,ED Diagnoses: EDG ICD-10 OPIOID OVERDOSE,State of Residence (U.S.): KY_NC,
Session Date Range,1/1/2023 - 7/17/2025 (Based On Arrival Date),,
Measure,Number of ED Encounters,,
Export User,Stephanie Perniciaro,,
Date of Export,8/8/2025,,
,,,
,,,
,,,Number of ED Encounters
Year,County of Residence,Age at Time of Visit,
Jan 1 – Dec 31 2023,"HENNEPIN, MN",Less than 18 Years,14
,,≥ 18 and < 45 Years,659
,,≥ 45 and < 65 Years,236
,,65 Years or more,43
,,No value,10 or fewer
,,Total,952
,"MONROE, NY",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,320
,,≥ 45 and < 65 Years,234
,,65 Years or more,38
,,No value,10 or fewer
,,Total,592
,"WAYNE, MI",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,131
,,≥ 45 and < 65 Years,132
,,65 Years or more,105
,,No value,10 or fewer
,,Total,369
,"CAMDEN, NJ",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,165
,,≥ 45 and < 65 Years,159
,,65 Years or more,43
,,No value,10 or fewer
,,Total,370
,"BALTIMORE CITY, MD",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,133
,,≥ 45 and < 65 Years,200
,,65 Years or more,51
,,No value,10 or fewer
,,Total,389
,"KINGS, NY",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,102
,,≥ 45 and < 65 Years,179
,,65 Years or more,53
,,No value,10 or fewer
,,Total,336
,"MIDDLESEX, MA",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,221
,,≥ 45 and < 65 Years,127
,,65 Years or more,23
,,No value,10 or fewer
,,Total,375
,"WAKE, NC",Less than 18 Years,24
,,≥ 18 and < 45 Years,268
,,≥ 45 and < 65 Years,82
,,65 Years or more,10 or fewer
,,No value,10 or fewer
,,Total,384
,"JEFFERSON, KY",Less than 18 Years,15
,,≥ 18 and < 45 Years,222
,,≥ 45 and < 65 Years,103
,,65 Years or more,22
,,No value,10 or fewer
,,Total,362
,"ESSEX, NJ",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,29
,,≥ 45 and < 65 Years,56
,,65 Years or more,17
,,No value,10 or fewer
,,Total,105
,"SUFFOLK, MA",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,149
,,≥ 45 and < 65 Years,112
,,65 Years or more,28
,,No value,10 or fewer
,,Total,290
,"HUDSON, NJ",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,53
,,≥ 45 and < 65 Years,128
,,65 Years or more,16
,,No value,10 or fewer
,,Total,197
,"MECKLENBURG, NC",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,153
,,≥ 45 and < 65 Years,83
,,65 Years or more,15
,,No value,10 or fewer
,,Total,254
,"WORCESTER, MA",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,150
,,≥ 45 and < 65 Years,69
,,65 Years or more,13
,,No value,10 or fewer
,,Total,235
,"CUMBERLAND, NC",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,130
,,≥ 45 and < 65 Years,67
,,65 Years or more,10 or fewer
,,No value,10 or fewer
,,Total,207
,"SUFFOLK, NY",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,167
,,≥ 45 and < 65 Years,66
,,65 Years or more,16
,,No value,10 or fewer
,,Total,251
,"GUILFORD, NC",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,112
,,≥ 45 and < 65 Years,63
,,65 Years or more,15
,,No value,10 or fewer
,,Total,190
,"CLARK, NV",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,83
,,≥ 45 and < 65 Years,39
,,65 Years or more,10 or fewer
,,No value,10 or fewer
,,Total,134
,"BRISTOL, MA",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,135
,,≥ 45 and < 65 Years,82
,,65 Years or more,11
,,No value,10 or fewer
,,Total,228
,"EAST BATON ROUGE, LA",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,126
,,≥ 45 and < 65 Years,53
,,65 Years or more,10 or fewer
,,No value,10 or fewer
