Session Title,"Opioid Overdoses in ED, WA-WY",,
Session Description,ED encountersND-VA by countycount pts with ED diagnosis opioid overdose,,
Session ID,2748530,,
Data Model,ED Encounters,,
Population Base,All ED Encounters,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,ED Diagnoses: EDG ICD-10 OPIOID OVERDOSE,State of Residence (U.S.): WA_WY,
Session Date Range,1/1/2023 - 7/17/2025 (Based On Arrival Date),,
Measure,Number of ED Encounters,,
Export User,Stephanie Perniciaro,,
Date of Export,8/8/2025,,
,,,
,,,
,,,Number of ED Encounters
Year,County of Residence,Age at Time of Visit,
Jan 1 – Dec 31 2023,"KING, WA",Less than 18 Years,14
,,≥ 18 and < 45 Years,325
,,≥ 45 and < 65 Years,92
,,65 Years or more,32
,,No value,10 or fewer
,,Total,463
,"MILWAUKEE, WI",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,215
,,≥ 45 and < 65 Years,139
,,65 Years or more,26
,,No value,10 or fewer
,,Total,381
,"CLARK, WA",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,102
,,≥ 45 and < 65 Years,45
,,65 Years or more,10 or fewer
,,No value,10 or fewer
,,Total,157
,"DANE, WI",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,95
,,≥ 45 and < 65 Years,51
,,65 Years or more,10 or fewer
,,No value,10 or fewer
,,Total,159
,"SNOHOMISH, WA",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,64
,,≥ 45 and < 65 Years,29
,,65 Years or more,10 or fewer
,,No value,10 or fewer
,,Total,97
,"BERKELEY, WV",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,50
,,≥ 45 and < 65 Years,27
,,65 Years or more,10 or fewer
,,No value,10 or fewer
,,Total,79
,"BROWN, WI",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,56
,,≥ 45 and < 65 Years,15
,,65 Years or more,10 or fewer
,,No value,10 or fewer
,,Total,79
,"SKAGIT, WA",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,39
,,≥ 45 and < 65 Years,19
,,65 Years or more,10 or fewer
,,No value,10 or fewer
,,Total,63
,"WOOD, WV",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,43
,,≥ 45 and < 65 Years,15
,,65 Years or more,10 or fewer
,,No value,10 or fewer
,,Total,60
,"LA CROSSE, WI",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,44
,,≥ 45 and < 65 Years,12
,,65 Years or more,10 or fewer
,,No value,10 or fewer
,,Total,59
,"MERCER, WV",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,27
,,≥ 45 and < 65 Years,14
,,65 Years or more,10 or fewer
,,No value,10 or fewer
,,Total,43
,"HARRISON, WV",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,22
,,≥ 45 and < 65 Years,11
,,65 Years or more,10 or fewer
,,No value,10 or fewer
,,Total,39
,"OHIO, WV",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,28
,,≥ 45 and < 65 Years,10 or fewer
,,65 Years or more,10 or fewer
,,No value,10 or fewer
,,Total,35
,"PIERCE, WA",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,21
,,≥ 45 and < 65 Years,10 or fewer
,,65 Years or more,10 or fewer
,,No value,10 or fewer
,,Total,29
,"MONONGALIA, WV",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,29
,,≥ 45 and < 65 Years,11
,,65 Years or more,10 or fewer
,,No value,10 or fewer
,,Total,42
,"LARAMIE, WY",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,18
,,≥ 45 and < 65 Years,10 or fewer
,,65 Years or more,10 or fewer
,,No value,10 or fewer
,,Total,22
,"MARION, WV",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,24
,,≥ 45 and < 65 Years,10 or fewer
,,65 Years or more,10 or fewer
,,No value,10 or fewer
,,Total,32
,"WAUKESHA, WI",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,21
,,≥ 45 and < 65 Years,10 or fewer
,,65 Years or more,10 or fewer
,,No value,10 or fewer
,,Total,30
,"KANAWHA, WV",Less than 18 Years,10 or fewer
,,≥ 18 and < 45 Years,10 or fewer
,,≥ 45 and < 65 Years,10 or fewer
,,65 Years or more,10 or fewer
