"Notes","State of Residence","State of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Alabama","01","Under 15 years","15",50
,"Alabama","01","15-19 years","15-19",3417
,"Alabama","01","20-24 years","20-24",13899
,"Alabama","01","25-29 years","25-29",17834
,"Alabama","01","30-34 years","30-34",14756
,"Alabama","01","35-39 years","35-39",6533
,"Alabama","01","40-44 years","40-44",1299
,"Alabama","01","45-49 years","45-49",63
,"Alabama","01","50 years and over","50+",Suppressed
,"Alaska","02","Under 15 years","15",Suppressed
,"Alaska","02","15-19 years","15-19",342
,"Alaska","02","20-24 years","20-24",1780
,"Alaska","02","25-29 years","25-29",2564
,"Alaska","02","30-34 years","30-34",2582
,"Alaska","02","35-39 years","35-39",1429
,"Alaska","02","40-44 years","40-44",291
,"Alaska","02","45-49 years","45-49",21
,"Alaska","02","50 years and over","50+",Suppressed
,"Arizona","04","Under 15 years","15",27
,"Arizona","04","15-19 years","15-19",3461
,"Arizona","04","20-24 years","20-24",14922
,"Arizona","04","25-29 years","25-29",23214
,"Arizona","04","30-34 years","30-34",22403
,"Arizona","04","35-39 years","35-39",11387
,"Arizona","04","40-44 years","40-44",2520
,"Arizona","04","45-49 years","45-49",145
,"Arizona","04","50 years and over","50+",17
,"Arkansas","05","Under 15 years","15",40
,"Arkansas","05","15-19 years","15-19",2436
,"Arkansas","05","20-24 years","20-24",9125
,"Arkansas","05","25-29 years","25-29",11026
,"Arkansas","05","30-34 years","30-34",8263
,"Arkansas","05","35-39 years","35-39",3600
,"Arkansas","05","40-44 years","40-44",739
,"Arkansas","05","45-49 years","45-49",33
,"Arkansas","05","50 years and over","50+",Suppressed
,"California","06","Under 15 years","15",107
,"California","06","15-19 years","15-19",11578
,"California","06","20-24 years","20-24",52915
,"California","06","25-29 years","25-29",95877
,"California","06","30-34 years","30-34",129916
,"California","06","35-39 years","35-39",85763
,"California","06","40-44 years","40-44",21810
,"California","06","45-49 years","45-49",1839
,"California","06","50 years and over","50+",303
,"Colorado","08","Under 15 years","15",25
,"Colorado","08","15-19 years","15-19",1999
,"Colorado","08","20-24 years","20-24",9190
,"Colorado","08","25-29 years","25-29",15891
,"Colorado","08","30-34 years","30-34",20145
,"Colorado","08","35-39 years","35-39",11652
,"Colorado","08","40-44 years","40-44",2409
,"Colorado","08","45-49 years","45-49",164
,"Colorado","08","50 years and over","50+",19
,"Connecticut","09","Under 15 years","15",Suppressed
,"Connecticut","09","15-19 years","15-19",799
,"Connecticut","09","20-24 years","20-24",3628
,"Connecticut","09","25-29 years","25-29",7848
,"Connecticut","09","30-34 years","30-34",12571
,"Connecticut","09","35-39 years","35-39",7866
,"Connecticut","09","40-44 years","40-44",1698
,"Connecticut","09","45-49 years","45-49",121
,"Connecticut","09","50 years and over","50+",19
,"Delaware","10","Under 15 years","15",Suppressed
,"Delaware","10","15-19 years","15-19",444
,"Delaware","10","20-24 years","20-24",1715
,"Delaware","10","25-29 years","25-29",2721
,"Delaware","10","30-34 years","30-34",3301
,"Delaware","10","35-39 years","35-39",1779
,"Delaware","10","40-44 years","40-44",439
,"Delaware","10","45-49 years","45-49",23
,"Delaware","10","50 years and over","50+",Suppressed
,"District of Columbia","11","Under 15 years","15",Suppressed
,"District of Columbia","11","15-19 years","15-19",243
,"District of Columbia","11","20-24 years","20-24",885
,"District of Columbia","11","25-29 years","25-29",1397
