"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Bartow County, GA","13015","Under 15 years","15",0
,"Bartow County, GA","13015","15-19 years","15-19",68
,"Bartow County, GA","13015","20-24 years","20-24",303
,"Bartow County, GA","13015","25-29 years","25-29",462
,"Bartow County, GA","13015","30-34 years","30-34",388
,"Bartow County, GA","13015","35-39 years","35-39",132
,"Bartow County, GA","13015","40-44 years","40-44",23
,"Bartow County, GA","13015","45-49 years","45-49",0
,"Bartow County, GA","13015","50 years and over","50+",0
,"Bibb County, GA","13021","Under 15 years","15",Suppressed
,"Bibb County, GA","13021","15-19 years","15-19",153
,"Bibb County, GA","13021","20-24 years","20-24",481
,"Bibb County, GA","13021","25-29 years","25-29",611
,"Bibb County, GA","13021","30-34 years","30-34",434
,"Bibb County, GA","13021","35-39 years","35-39",193
,"Bibb County, GA","13021","40-44 years","40-44",42
,"Bibb County, GA","13021","45-49 years","45-49",0
,"Bibb County, GA","13021","50 years and over","50+",0
,"Carroll County, GA","13045","Under 15 years","15",0
,"Carroll County, GA","13045","15-19 years","15-19",90
,"Carroll County, GA","13045","20-24 years","20-24",353
,"Carroll County, GA","13045","25-29 years","25-29",542
,"Carroll County, GA","13045","30-34 years","30-34",400
,"Carroll County, GA","13045","35-39 years","35-39",167
,"Carroll County, GA","13045","40-44 years","40-44",35
,"Carroll County, GA","13045","45-49 years","45-49",Suppressed
,"Carroll County, GA","13045","50 years and over","50+",0
,"Chatham County, GA","13051","Under 15 years","15",Suppressed
,"Chatham County, GA","13051","15-19 years","15-19",167
,"Chatham County, GA","13051","20-24 years","20-24",720
,"Chatham County, GA","13051","25-29 years","25-29",1005
,"Chatham County, GA","13051","30-34 years","30-34",1035
,"Chatham County, GA","13051","35-39 years","35-39",517
,"Chatham County, GA","13051","40-44 years","40-44",127
,"Chatham County, GA","13051","45-49 years","45-49",Suppressed
,"Chatham County, GA","13051","50 years and over","50+",0
,"Cherokee County, GA","13057","Under 15 years","15",Suppressed
,"Cherokee County, GA","13057","15-19 years","15-19",89
,"Cherokee County, GA","13057","20-24 years","20-24",364
,"Cherokee County, GA","13057","25-29 years","25-29",867
,"Cherokee County, GA","13057","30-34 years","30-34",1068
,"Cherokee County, GA","13057","35-39 years","35-39",559
,"Cherokee County, GA","13057","40-44 years","40-44",129
,"Cherokee County, GA","13057","45-49 years","45-49",Suppressed
,"Cherokee County, GA","13057","50 years and over","50+",0
,"Clarke County, GA","13059","Under 15 years","15",Suppressed
,"Clarke County, GA","13059","15-19 years","15-19",60
,"Clarke County, GA","13059","20-24 years","20-24",249
,"Clarke County, GA","13059","25-29 years","25-29",397
,"Clarke County, GA","13059","30-34 years","30-34",379
,"Clarke County, GA","13059","35-39 years","35-39",196
,"Clarke County, GA","13059","40-44 years","40-44",48
,"Clarke County, GA","13059","45-49 years","45-49",Suppressed
,"Clarke County, GA","13059","50 years and over","50+",0
,"Clayton County, GA","13063","Under 15 years","15",Suppressed
,"Clayton County, GA","13063","15-19 years","15-19",177
,"Clayton County, GA","13063","20-24 years","20-24",729
,"Clayton County, GA","13063","25-29 years","25-29",947
,"Clayton County, GA","13063","30-34 years","30-34",902
,"Clayton County, GA","13063","35-39 years","35-39",436
,"Clayton County, GA","13063","40-44 years","40-44",129
,"Clayton County, GA","13063","45-49 years","45-49",Suppressed
,"Clayton County, GA","13063","50 years and over","50+",Suppressed
,"Cobb County, GA","13067","Under 15 years","15",Suppressed
,"Cobb County, GA","13067","15-19 years","15-19",255
,"Cobb County, GA","13067","20-24 years","20-24",1074
,"Cobb County, GA","13067","25-29 years","25-29",2159
,"Cobb County, GA","13067","30-34 years","30-34",3037
,"Cobb County, GA","13067","35-39 years","35-39",1724
,"Cobb County, GA","13067","40-44 years","40-44",416
,"Cobb County, GA","13067","45-49 years","45-49",27
,"Cobb County, GA","13067","50 years and over","50+",Suppressed
,"Columbia County, GA","13073","Under 15 years","15",Suppressed
,"Columbia County, GA","13073","15-19 years","15-19",40
,"Columbia County, GA","13073","20-24 years","20-24",233
,"Columbia County, GA","13073","25-29 years","25-29",495
,"Columbia County, GA","13073","30-34 years","30-34",526
,"Columbia County, GA","13073","35-39 years","35-39",270
,"Columbia County, GA","13073","40-44 years","40-44",71
,"Columbia County, GA","13073","45-49 years","45-49",Suppressed
,"Columbia County, GA","13073","50 years and over","50+",Suppressed
