"Notes","State of Residence","State of Residence Code","OE Gestational Age Recode 10","OE Gestational Age Recode 10 Code",Births
,"Alabama","01","Under 20 weeks","01",19
,"Alabama","01","20 - 27 weeks","02",504
,"Alabama","01","28 - 31 weeks","03",667
,"Alabama","01","32 - 35 weeks","04",3195
,"Alabama","01","36 weeks","05",3084
,"Alabama","01","37 - 39 weeks","06",42146
,"Alabama","01","40 weeks","07",6967
,"Alabama","01","41 weeks","08",1184
,"Alabama","01","42 weeks or more","09",70
,"Alabama","01","Unknown or Not Stated","10",22
,"Alaska","02","Under 20 weeks","01",Suppressed
,"Alaska","02","20 - 27 weeks","02",38
,"Alaska","02","28 - 31 weeks","03",72
,"Alaska","02","32 - 35 weeks","04",439
,"Alaska","02","36 weeks","05",372
,"Alaska","02","37 - 39 weeks","06",5549
,"Alaska","02","40 weeks","07",1822
,"Alaska","02","41 weeks","08",655
,"Alaska","02","42 weeks or more","09",59
,"Alaska","02","Unknown or Not Stated","10",Suppressed
,"Arizona","04","Under 20 weeks","01",22
,"Arizona","04","20 - 27 weeks","02",457
,"Arizona","04","28 - 31 weeks","03",619
,"Arizona","04","32 - 35 weeks","04",3488
,"Arizona","04","36 weeks","05",3115
,"Arizona","04","37 - 39 weeks","06",51682
,"Arizona","04","40 weeks","07",14147
,"Arizona","04","41 weeks","08",4321
,"Arizona","04","42 weeks or more","09",168
,"Arizona","04","Unknown or Not Stated","10",77
,"Arkansas","05","Under 20 weeks","01",18
,"Arkansas","05","20 - 27 weeks","02",283
,"Arkansas","05","28 - 31 weeks","03",340
,"Arkansas","05","32 - 35 weeks","04",1841
,"Arkansas","05","36 weeks","05",1777
,"Arkansas","05","37 - 39 weeks","06",25372
,"Arkansas","05","40 weeks","07",4699
,"Arkansas","05","41 weeks","08",846
,"Arkansas","05","42 weeks or more","09",55
,"Arkansas","05","Unknown or Not Stated","10",33
,"California","06","Under 20 weeks","01",65
,"California","06","20 - 27 weeks","02",2004
,"California","06","28 - 31 weeks","03",4026
,"California","06","32 - 35 weeks","04",15732
,"California","06","36 weeks","05",14815
,"California","06","37 - 39 weeks","06",257942
,"California","06","40 weeks","07",80591
,"California","06","41 weeks","08",23718
,"California","06","42 weeks or more","09",940
,"California","06","Unknown or Not Stated","10",275
,"Colorado","08","Under 20 weeks","01",19
,"Colorado","08","20 - 27 weeks","02",323
,"Colorado","08","28 - 31 weeks","03",493
,"Colorado","08","32 - 35 weeks","04",2857
,"Colorado","08","36 weeks","05",2270
,"Colorado","08","37 - 39 weeks","06",40261
,"Colorado","08","40 weeks","07",11738
,"Colorado","08","41 weeks","08",3324
,"Colorado","08","42 weeks or more","09",175
,"Colorado","08","Unknown or Not Stated","10",34
,"Connecticut","09","Under 20 weeks","01",18
,"Connecticut","09","20 - 27 weeks","02",178
,"Connecticut","09","28 - 31 weeks","03",324
,"Connecticut","09","32 - 35 weeks","04",1463
,"Connecticut","09","36 weeks","05",1243
,"Connecticut","09","37 - 39 weeks","06",22585
,"Connecticut","09","40 weeks","07",6572
,"Connecticut","09","41 weeks","08",2108
,"Connecticut","09","42 weeks or more","09",57
,"Connecticut","09","Unknown or Not Stated","10",11
,"Delaware","10","Under 20 weeks","01",Suppressed
,"Delaware","10","20 - 27 weeks","02",82
,"Delaware","10","28 - 31 weeks","03",96
,"Delaware","10","32 - 35 weeks","04",481
,"Delaware","10","36 weeks","05",427
,"Delaware","10","37 - 39 weeks","06",6771
,"Delaware","10","40 weeks","07",2001
,"Delaware","10","41 weeks","08",547
,"Delaware","10","42 weeks or more","09",17
,"Delaware","10","Unknown or Not Stated","10",Suppressed
,"District of Columbia","11","Under 20 weeks","01",Suppressed
,"District of Columbia","11","20 - 27 weeks","02",57
,"District of Columbia","11","28 - 31 weeks","03",84
