"Notes","State of Residence","State of Residence Code","Mother's Education","Mother's Education Code",Births
,"Alabama","01","8th grade or less","1",2709
,"Alabama","01","9th through 12th grade with no diploma","2",5024
,"Alabama","01","High school graduate or GED completed","3",19452
,"Alabama","01","Some college credit, but not a degree","4",10207
,"Alabama","01","Associate degree (AA, AS)","5",5093
,"Alabama","01","Bachelor's degree (BA, AB, BS)","6",9398
,"Alabama","01","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",4565
,"Alabama","01","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1275
,"Alabama","01","Unknown or Not Stated","Unk",135
,"Alabama","01","Excluded","Exc",0
,"Alabama","01","Not Reported","NR",0
,"Alaska","02","8th grade or less","1",39
,"Alaska","02","9th through 12th grade with no diploma","2",651
,"Alaska","02","High school graduate or GED completed","3",2971
,"Alaska","02","Some college credit, but not a degree","4",2049
,"Alaska","02","Associate degree (AA, AS)","5",706
,"Alaska","02","Bachelor's degree (BA, AB, BS)","6",1634
,"Alaska","02","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",626
,"Alaska","02","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",187
,"Alaska","02","Unknown or Not Stated","Unk",152
,"Alaska","02","Excluded","Exc",0
,"Alaska","02","Not Reported","NR",0
,"Arizona","04","8th grade or less","1",1923
,"Arizona","04","9th through 12th grade with no diploma","2",8570
,"Arizona","04","High school graduate or GED completed","3",22313
,"Arizona","04","Some college credit, but not a degree","4",15923
,"Arizona","04","Associate degree (AA, AS)","5",6729
,"Arizona","04","Bachelor's degree (BA, AB, BS)","6",14869
,"Arizona","04","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",5428
,"Arizona","04","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1805
,"Arizona","04","Unknown or Not Stated","Unk",536
,"Arizona","04","Excluded","Exc",0
,"Arizona","04","Not Reported","NR",0
,"Arkansas","05","8th grade or less","1",793
,"Arkansas","05","9th through 12th grade with no diploma","2",3319
,"Arkansas","05","High school graduate or GED completed","3",11943
,"Arkansas","05","Some college credit, but not a degree","4",6886
,"Arkansas","05","Associate degree (AA, AS)","5",3075
,"Arkansas","05","Bachelor's degree (BA, AB, BS)","6",5676
,"Arkansas","05","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",2362
,"Arkansas","05","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",700
