"Notes","State of Residence","State of Residence Code","OE Gestational Age Recode 10","OE Gestational Age Recode 10 Code",Births
,"Alabama","01","Under 20 weeks","01",17
,"Alabama","01","20 - 27 weeks","02",498
,"Alabama","01","28 - 31 weeks","03",678
,"Alabama","01","32 - 35 weeks","04",3375
,"Alabama","01","36 weeks","05",3041
,"Alabama","01","37 - 39 weeks","06",42156
,"Alabama","01","40 weeks","07",7040
,"Alabama","01","41 weeks","08",1165
,"Alabama","01","42 weeks or more","09",63
,"Alabama","01","Unknown or Not Stated","10",21
,"Alaska","02","Under 20 weeks","01",Suppressed
,"Alaska","02","20 - 27 weeks","02",51
,"Alaska","02","28 - 31 weeks","03",87
,"Alaska","02","32 - 35 weeks","04",408
,"Alaska","02","36 weeks","05",402
,"Alaska","02","37 - 39 weeks","06",5713
,"Alaska","02","40 weeks","07",1898
,"Alaska","02","41 weeks","08",750
,"Alaska","02","42 weeks or more","09",44
,"Alaska","02","Unknown or Not Stated","10",13
,"Arizona","04","Under 20 weeks","01",32
,"Arizona","04","20 - 27 weeks","02",438
,"Arizona","04","28 - 31 weeks","03",650
,"Arizona","04","32 - 35 weeks","04",3475
,"Arizona","04","36 weeks","05",3200
,"Arizona","04","37 - 39 weeks","06",51526
,"Arizona","04","40 weeks","07",14318
,"Arizona","04","41 weeks","08",4066
,"Arizona","04","42 weeks or more","09",153
,"Arizona","04","Unknown or Not Stated","10",58
,"Arkansas","05","Under 20 weeks","01",19
,"Arkansas","05","20 - 27 weeks","02",263
,"Arkansas","05","28 - 31 weeks","03",422
,"Arkansas","05","32 - 35 weeks","04",1910
,"Arkansas","05","36 weeks","05",1714
,"Arkansas","05","37 - 39 weeks","06",25787
,"Arkansas","05","40 weeks","07",4907
,"Arkansas","05","41 weeks","08",864
,"Arkansas","05","42 weeks or more","09",54
,"Arkansas","05","Unknown or Not Stated","10",25
,"California","06","Under 20 weeks","01",70
,"California","06","20 - 27 weeks","02",2146
,"California","06","28 - 31 weeks","03",3909
,"California","06","32 - 35 weeks","04",16720
,"California","06","36 weeks","05",15598
,"California","06","37 - 39 weeks","06",268862
,"California","06","40 weeks","07",86176
,"California","06","41 weeks","08",25968
,"California","06","42 weeks or more","09",977
,"California","06","Unknown or Not Stated","10",182
,"Colorado","08","Under 20 weeks","01",26
,"Colorado","08","20 - 27 weeks","02",302
,"Colorado","08","28 - 31 weeks","03",512
,"Colorado","08","32 - 35 weeks","04",2870
,"Colorado","08","36 weeks","05",2423
,"Colorado","08","37 - 39 weeks","06",40699
,"Colorado","08","40 weeks","07",12276
,"Colorado","08","41 weeks","08",3579
,"Colorado","08","42 weeks or more","09",226
,"Colorado","08","Unknown or Not Stated","10",36
,"Connecticut","09","Under 20 weeks","01",12
,"Connecticut","09","20 - 27 weeks","02",209
,"Connecticut","09","28 - 31 weeks","03",319
,"Connecticut","09","32 - 35 weeks","04",1565
,"Connecticut","09","36 weeks","05",1319
,"Connecticut","09","37 - 39 weeks","06",23109
,"Connecticut","09","40 weeks","07",6890
,"Connecticut","09","41 weeks","08",2172
,"Connecticut","09","42 weeks or more","09",66
,"Connecticut","09","Unknown or Not Stated","10",Suppressed
,"Delaware","10","Under 20 weeks","01",Suppressed
,"Delaware","10","20 - 27 weeks","02",59
,"Delaware","10","28 - 31 weeks","03",112
,"Delaware","10","32 - 35 weeks","04",563
,"Delaware","10","36 weeks","05",415
,"Delaware","10","37 - 39 weeks","06",7016
,"Delaware","10","40 weeks","07",1824
,"Delaware","10","41 weeks","08",475
,"Delaware","10","42 weeks or more","09",14
,"Delaware","10","Unknown or Not Stated","10",Suppressed
,"District of Columbia","11","Under 20 weeks","01",0
,"District of Columbia","11","20 - 27 weeks","02",69
,"District of Columbia","11","28 - 31 weeks","03",83
,"District of Columbia","11","32 - 35 weeks","04",402
,"District of Columbia","11","36 weeks","05",319
,"District of Columbia","11","37 - 39 weeks","06",5424
,"District of Columbia","11","40 weeks","07",1753
,"District of Columbia","11","41 weeks","08",576
,"District of Columbia","11","42 weeks or more","09",28
,"District of Columbia","11","Unknown or Not Stated","10",Suppressed
,"Florida","12","Under 20 weeks","01",80
,"Florida","12","20 - 27 weeks","02",1581
,"Florida","12","28 - 31 weeks","03",2124
,"Florida","12","32 - 35 weeks","04",10517
,"Florida","12","36 weeks","05",9212
,"Florida","12","37 - 39 weeks","06",146033
,"Florida","12","40 weeks","07",37103
,"Florida","12","41 weeks","08",8959
,"Florida","12","42 weeks or more","09",410
,"Florida","12","Unknown or Not Stated","10",241
,"Georgia","13","Under 20 weeks","01",46
,"Georgia","13","20 - 27 weeks","02",1037
,"Georgia","13","28 - 31 weeks","03",1410
,"Georgia","13","32 - 35 weeks","04",6503
,"Georgia","13","36 weeks","05",5744
,"Georgia","13","37 - 39 weeks","06",84677
,"Georgia","13","40 weeks","07",20017
,"Georgia","13","41 weeks","08",4383
,"Georgia","13","42 weeks or more","09",203
,"Georgia","13","Unknown or Not Stated","10",53
,"Hawaii","15","Under 20 weeks","01",Suppressed
,"Hawaii","15","20 - 27 weeks","02",85
,"Hawaii","15","28 - 31 weeks","03",143
,"Hawaii","15","32 - 35 weeks","04",719
,"Hawaii","15","36 weeks","05",643
,"Hawaii","15","37 - 39 weeks","06",10039
,"Hawaii","15","40 weeks","07",3020
,"Hawaii","15","41 weeks","08",875
