"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Atlantic County, NJ","34001","Under 15 years","15",0
,"Atlantic County, NJ","34001","15-19 years","15-19",93
,"Atlantic County, NJ","34001","20-24 years","20-24",443
,"Atlantic County, NJ","34001","25-29 years","25-29",790
,"Atlantic County, NJ","34001","30-34 years","30-34",866
,"Atlantic County, NJ","34001","35-39 years","35-39",446
,"Atlantic County, NJ","34001","40-44 years","40-44",97
,"Atlantic County, NJ","34001","45-49 years","45-49",Suppressed
,"Atlantic County, NJ","34001","50 years and over","50+",Suppressed
,"Bergen County, NJ","34003","Under 15 years","15",Suppressed
,"Bergen County, NJ","34003","15-19 years","15-19",80
,"Bergen County, NJ","34003","20-24 years","20-24",494
,"Bergen County, NJ","34003","25-29 years","25-29",1617
,"Bergen County, NJ","34003","30-34 years","30-34",3622
,"Bergen County, NJ","34003","35-39 years","35-39",2607
,"Bergen County, NJ","34003","40-44 years","40-44",650
,"Bergen County, NJ","34003","45-49 years","45-49",46
,"Bergen County, NJ","34003","50 years and over","50+",10
,"Burlington County, NJ","34005","Under 15 years","15",Suppressed
,"Burlington County, NJ","34005","15-19 years","15-19",88
,"Burlington County, NJ","34005","20-24 years","20-24",496
,"Burlington County, NJ","34005","25-29 years","25-29",1153
,"Burlington County, NJ","34005","30-34 years","30-34",1832
,"Burlington County, NJ","34005","35-39 years","35-39",918
,"Burlington County, NJ","34005","40-44 years","40-44",152
,"Burlington County, NJ","34005","45-49 years","45-49",15
,"Burlington County, NJ","34005","50 years and over","50+",0
,"Camden County, NJ","34007","Under 15 years","15",Suppressed
,"Camden County, NJ","34007","15-19 years","15-19",219
,"Camden County, NJ","34007","20-24 years","20-24",891
,"Camden County, NJ","34007","25-29 years","25-29",1555
,"Camden County, NJ","34007","30-34 years","30-34",2226
,"Camden County, NJ","34007","35-39 years","35-39",1191
,"Camden County, NJ","34007","40-44 years","40-44",222
,"Camden County, NJ","34007","45-49 years","45-49",13
,"Camden County, NJ","34007","50 years and over","50+",Suppressed
,"Cumberland County, NJ","34011","Under 15 years","15",Suppressed
,"Cumberland County, NJ","34011","15-19 years","15-19",103
,"Cumberland County, NJ","34011","20-24 years","20-24",439
,"Cumberland County, NJ","34011","25-29 years","25-29",543
,"Cumberland County, NJ","34011","30-34 years","30-34",442
,"Cumberland County, NJ","34011","35-39 years","35-39",214
,"Cumberland County, NJ","34011","40-44 years","40-44",41
