"Notes","State of Residence","State of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Alabama","01","Under 15 years","15",59
,"Alabama","01","15-19 years","15-19",3641
,"Alabama","01","20-24 years","20-24",14387
,"Alabama","01","25-29 years","25-29",18179
,"Alabama","01","30-34 years","30-34",14442
,"Alabama","01","35-39 years","35-39",6124
,"Alabama","01","40-44 years","40-44",1159
,"Alabama","01","45-49 years","45-49",58
,"Alabama","01","50 years and over","50+",Suppressed
,"Alaska","02","Under 15 years","15",Suppressed
,"Alaska","02","15-19 years","15-19",378
,"Alaska","02","20-24 years","20-24",1933
,"Alaska","02","25-29 years","25-29",2749
,"Alaska","02","30-34 years","30-34",2616
,"Alaska","02","35-39 years","35-39",1382
,"Alaska","02","40-44 years","40-44",292
,"Alaska","02","45-49 years","45-49",16
,"Alaska","02","50 years and over","50+",0
,"Arizona","04","Under 15 years","15",44
,"Arizona","04","15-19 years","15-19",3551
,"Arizona","04","20-24 years","20-24",15720
,"Arizona","04","25-29 years","25-29",23672
,"Arizona","04","30-34 years","30-34",21817
,"Arizona","04","35-39 years","35-39",10648
,"Arizona","04","40-44 years","40-44",2309
,"Arizona","04","45-49 years","45-49",140
,"Arizona","04","50 years and over","50+",15
,"Arkansas","05","Under 15 years","15",33
,"Arkansas","05","15-19 years","15-19",2609
,"Arkansas","05","20-24 years","20-24",9805
,"Arkansas","05","25-29 years","25-29",10921
,"Arkansas","05","30-34 years","30-34",8361
,"Arkansas","05","35-39 years","35-39",3513
,"Arkansas","05","40-44 years","40-44",701
,"Arkansas","05","45-49 years","45-49",22
,"Arkansas","05","50 years and over","50+",0
,"California","06","Under 15 years","15",131
,"California","06","15-19 years","15-19",12480
,"California","06","20-24 years","20-24",58700
,"California","06","25-29 years","25-29",105348
,"California","06","30-34 years","30-34",135721
,"California","06","35-39 years","35-39",85938
,"California","06","40-44 years","40-44",20315
,"California","06","45-49 years","45-49",1695
,"California","06","50 years and over","50+",280
,"Colorado","08","Under 15 years","15",32
,"Colorado","08","15-19 years","15-19",2059
,"Colorado","08","20-24 years","20-24",9701
,"Colorado","08","25-29 years","25-29",16421
,"Colorado","08","30-34 years","30-34",20588
,"Colorado","08","35-39 years","35-39",11645
,"Colorado","08","40-44 years","40-44",2338
,"Colorado","08","45-49 years","45-49",148
,"Colorado","08","50 years and over","50+",17
,"Connecticut","09","Under 15 years","15",11
,"Connecticut","09","15-19 years","15-19",845
,"Connecticut","09","20-24 years","20-24",3891
,"Connecticut","09","25-29 years","25-29",8234
,"Connecticut","09","30-34 years","30-34",13240
,"Connecticut","09","35-39 years","35-39",7830
,"Connecticut","09","40-44 years","40-44",1489
,"Connecticut","09","45-49 years","45-49",117
,"Connecticut","09","50 years and over","50+",13
,"Delaware","10","Under 15 years","15",Suppressed
,"Delaware","10","15-19 years","15-19",425
,"Delaware","10","20-24 years","20-24",1842
,"Delaware","10","25-29 years","25-29",2898
,"Delaware","10","30-34 years","30-34",3243
,"Delaware","10","35-39 years","35-39",1707
,"Delaware","10","40-44 years","40-44",347
,"Delaware","10","45-49 years","45-49",12
,"Delaware","10","50 years and over","50+",Suppressed
,"District of Columbia","11","Under 15 years","15",Suppressed
,"District of Columbia","11","15-19 years","15-19",261
,"District of Columbia","11","20-24 years","20-24",1071
,"District of Columbia","11","25-29 years","25-29",1634
,"District of Columbia","11","30-34 years","30-34",2758
,"District of Columbia","11","35-39 years","35-39",2315
,"District of Columbia","11","40-44 years","40-44",577
,"District of Columbia","11","45-49 years","45-49",38
,"District of Columbia","11","50 years and over","50+",Suppressed
,"Florida","12","Under 15 years","15",98
,"Florida","12","15-19 years","15-19",8093
,"Florida","12","20-24 years","20-24",37117
,"Florida","12","25-29 years","25-29",59705
,"Florida","12","30-34 years","30-34",66109
,"Florida","12","35-39 years","35-39",36357
,"Florida","12","40-44 years","40-44",8181
,"Florida","12","45-49 years","45-49",540
,"Florida","12","50 years and over","50+",60
,"Georgia","13","Under 15 years","15",82
,"Georgia","13","15-19 years","15-19",6141
,"Georgia","13","20-24 years","20-24",25433
,"Georgia","13","25-29 years","25-29",35769
,"Georgia","13","30-34 years","30-34",34768
,"Georgia","13","35-39 years","35-39",17608
,"Georgia","13","40-44 years","40-44",3996
,"Georgia","13","45-49 years","45-49",251
,"Georgia","13","50 years and over","50+",25
,"Hawaii","15","Under 15 years","15",Suppressed
,"Hawaii","15","15-19 years","15-19",463
,"Hawaii","15","20-24 years","20-24",2585
,"Hawaii","15","25-29 years","25-29",4047
,"Hawaii","15","30-34 years","30-34",4738
,"Hawaii","15","35-39 years","35-39",2990
,"Hawaii","15","40-44 years","40-44",743
,"Hawaii","15","45-49 years","45-49",48
,"Hawaii","15","50 years and over","50+",Suppressed
,"Idaho","16","Under 15 years","15",Suppressed
,"Idaho","16","15-19 years","15-19",787
,"Idaho","16","20-24 years","20-24",4943
,"Idaho","16","25-29 years","25-29",7328
,"Idaho","16","30-34 years","30-34",5985
,"Idaho","16","35-39 years","35-39",2740
,"Idaho","16","40-44 years","40-44",601
,"Idaho","16","45-49 years","45-49",34
,"Idaho","16","50 years and over","50+",Suppressed
,"Illinois","17","Under 15 years","15",59
,"Illinois","17","15-19 years","15-19",4507
,"Illinois","17","20-24 years","20-24",20118
,"Illinois","17","25-29 years","25-29",34914
,"Illinois","17","30-34 years","30-34",43424
,"Illinois","17","35-39 years","35-39",23993
,"Illinois","17","40-44 years","40-44",4846
,"Illinois","17","45-49 years","45-49",296
,"Illinois","17","50 years and over","50+",32
,"Indiana","18","Under 15 years","15",38
,"Indiana","18","15-19 years","15-19",3843
,"Indiana","18","20-24 years","20-24",17706
,"Indiana","18","25-29 years","25-29",25392
,"Indiana","18","30-34 years","30-34",21644
,"Indiana","18","35-39 years","35-39",9378
,"Indiana","18","40-44 years","40-44",1823
,"Indiana","18","45-49 years","45-49",110
,"Indiana","18","50 years and over","50+",12
,"Iowa","19","Under 15 years","15",19
,"Iowa","19","15-19 years","15-19",1363
,"Iowa","19","20-24 years","20-24",6550
,"Iowa","19","25-29 years","25-29",12093
,"Iowa","19","30-34 years","30-34",11197
,"Iowa","19","35-39 years","35-39",4700
,"Iowa","19","40-44 years","40-44",866
,"Iowa","19","45-49 years","45-49",44
,"Iowa","19","50 years and over","50+",Suppressed
,"Kansas","20","Under 15 years","15",15
,"Kansas","20","15-19 years","15-19",1614
,"Kansas","20","20-24 years","20-24",6982
,"Kansas","20","25-29 years","25-29",10741
,"Kansas","20","30-34 years","30-34",9924
,"Kansas","20","35-39 years","35-39",4610
,"Kansas","20","40-44 years","40-44",776
,"Kansas","20","45-49 years","45-49",41
,"Kansas","20","50 years and over","50+",Suppressed
,"Kentucky","21","Under 15 years","15",44
,"Kentucky","21","15-19 years","15-19",3191
,"Kentucky","21","20-24 years","20-24",12897
,"Kentucky","21","25-29 years","25-29",16206
,"Kentucky","21","30-34 years","30-34",13084
,"Kentucky","21","35-39 years","35-39",5629
,"Kentucky","21","40-44 years","40-44",1102
,"Kentucky","21","45-49 years","45-49",55
,"Kentucky","21","50 years and over","50+",Suppressed
,"Louisiana","22","Under 15 years","15",69
,"Louisiana","22","15-19 years","15-19",3571
,"Louisiana","22","20-24 years","20-24",13898
,"Louisiana","22","25-29 years","25-29",17150
,"Louisiana","22","30-34 years","30-34",14544
,"Louisiana","22","35-39 years","35-39",6841
,"Louisiana","22","40-44 years","40-44",1297
,"Louisiana","22","45-49 years","45-49",65
,"Louisiana","22","50 years and over","50+",Suppressed
,"Maine","23","Under 15 years","15",Suppressed
,"Maine","23","15-19 years","15-19",298
,"Maine","23","20-24 years","20-24",1917
,"Maine","23","25-29 years","25-29",3445
,"Maine","23","30-34 years","30-34",3932
,"Maine","23","35-39 years","35-39",2013
,"Maine","23","40-44 years","40-44",375
,"Maine","23","45-49 years","45-49",22
,"Maine","23","50 years and over","50+",Suppressed
,"Maryland","24","Under 15 years","15",39
,"Maryland","24","15-19 years","15-19",2174
,"Maryland","24","20-24 years","20-24",9188
,"Maryland","24","25-29 years","25-29",16864
,"Maryland","24","30-34 years","30-34",23079
,"Maryland","24","35-39 years","35-39",13550
,"Maryland","24","40-44 years","40-44",3133
,"Maryland","24","45-49 years","45-49",226
,"Maryland","24","50 years and over","50+",32
,"Massachusetts","25","Under 15 years","15",13
,"Massachusetts","25","15-19 years","15-19",1309
,"Massachusetts","25","20-24 years","20-24",6619
