"Notes","State of Residence","State of Residence Code","Mother's Education","Mother's Education Code",Births
,"Alabama","01","8th grade or less","1",2386
,"Alabama","01","9th through 12th grade with no diploma","2",5240
,"Alabama","01","High school graduate or GED completed","3",19165
,"Alabama","01","Some college credit, but not a degree","4",11255
,"Alabama","01","Associate degree (AA, AS)","5",5039
,"Alabama","01","Bachelor's degree (BA, AB, BS)","6",9266
,"Alabama","01","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",4421
,"Alabama","01","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1220
,"Alabama","01","Unknown or Not Stated","Unk",62
,"Alabama","01","Excluded","Exc",0
,"Alabama","01","Not Reported","NR",0
,"Alaska","02","8th grade or less","1",60
,"Alaska","02","9th through 12th grade with no diploma","2",712
,"Alaska","02","High school graduate or GED completed","3",2848
,"Alaska","02","Some college credit, but not a degree","4",2257
,"Alaska","02","Associate degree (AA, AS)","5",752
,"Alaska","02","Bachelor's degree (BA, AB, BS)","6",1697
,"Alaska","02","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",654
,"Alaska","02","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",219
,"Alaska","02","Unknown or Not Stated","Unk",168
,"Alaska","02","Excluded","Exc",0
,"Alaska","02","Not Reported","NR",0
,"Arizona","04","8th grade or less","1",1838
,"Arizona","04","9th through 12th grade with no diploma","2",9065
,"Arizona","04","High school graduate or GED completed","3",21459
,"Arizona","04","Some college credit, but not a degree","4",17105
,"Arizona","04","Associate degree (AA, AS)","5",6807
,"Arizona","04","Bachelor's degree (BA, AB, BS)","6",14283
,"Arizona","04","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",5313
,"Arizona","04","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1700
,"Arizona","04","Unknown or Not Stated","Unk",346
,"Arizona","04","Excluded","Exc",0
,"Arizona","04","Not Reported","NR",0
,"Arkansas","05","8th grade or less","1",784
,"Arkansas","05","9th through 12th grade with no diploma","2",3507
,"Arkansas","05","High school graduate or GED completed","3",12079
,"Arkansas","05","Some college credit, but not a degree","4",7419
,"Arkansas","05","Associate degree (AA, AS)","5",3057
,"Arkansas","05","Bachelor's degree (BA, AB, BS)","6",5540
,"Arkansas","05","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",2512
,"Arkansas","05","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",688
,"Arkansas","05","Unknown or Not Stated","Unk",379
,"Arkansas","05","Excluded","Exc",0
,"Arkansas","05","Not Reported","NR",0
,"California","06","8th grade or less","1",12510
,"California","06","9th through 12th grade with no diploma","2",27491
,"California","06","High school graduate or GED completed","3",99304
,"California","06","Some college credit, but not a degree","4",76913
,"California","06","Associate degree (AA, AS)","5",28866
,"California","06","Bachelor's degree (BA, AB, BS)","6",88077
,"California","06","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",41662
,"California","06","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",14585
,"California","06","Unknown or Not Stated","Unk",31200
,"California","06","Excluded","Exc",0
,"California","06","Not Reported","NR",0
,"Colorado","08","8th grade or less","1",1377
,"Colorado","08","9th through 12th grade with no diploma","2",4567
,"Colorado","08","High school graduate or GED completed","3",12443
,"Colorado","08","Some college credit, but not a degree","4",11943
,"Colorado","08","Associate degree (AA, AS)","5",4722
,"Colorado","08","Bachelor's degree (BA, AB, BS)","6",16975
,"Colorado","08","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",7864
,"Colorado","08","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",2357
,"Colorado","08","Unknown or Not Stated","Unk",701
,"Colorado","08","Excluded","Exc",0
,"Colorado","08","Not Reported","NR",0
,"Connecticut","09","8th grade or less","1",823
,"Connecticut","09","9th through 12th grade with no diploma","2",2256
,"Connecticut","09","High school graduate or GED completed","3",6563
,"Connecticut","09","Some college credit, but not a degree","4",5778
,"Connecticut","09","Associate degree (AA, AS)","5",2959
,"Connecticut","09","Bachelor's degree (BA, AB, BS)","6",9074
,"Connecticut","09","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",6590
,"Connecticut","09","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1586
,"Connecticut","09","Unknown or Not Stated","Unk",41
,"Connecticut","09","Excluded","Exc",0
,"Connecticut","09","Not Reported","NR",0
,"Delaware","10","8th grade or less","1",515
,"Delaware","10","9th through 12th grade with no diploma","2",795
,"Delaware","10","High school graduate or GED completed","3",2753
,"Delaware","10","Some college credit, but not a degree","4",1818
,"Delaware","10","Associate degree (AA, AS)","5",805
,"Delaware","10","Bachelor's degree (BA, AB, BS)","6",2078
,"Delaware","10","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1219
,"Delaware","10","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",244
,"Delaware","10","Unknown or Not Stated","Unk",255
,"Delaware","10","Excluded","Exc",0
,"Delaware","10","Not Reported","NR",0
,"District of Columbia","11","8th grade or less","1",305
,"District of Columbia","11","9th through 12th grade with no diploma","2",688
,"District of Columbia","11","High school graduate or GED completed","3",1704
,"District of Columbia","11","Some college credit, but not a degree","4",1053
,"District of Columbia","11","Associate degree (AA, AS)","5",226
,"District of Columbia","11","Bachelor's degree (BA, AB, BS)","6",1499
,"District of Columbia","11","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1948
,"District of Columbia","11","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1053
,"District of Columbia","11","Unknown or Not Stated","Unk",184
,"District of Columbia","11","Excluded","Exc",0
,"District of Columbia","11","Not Reported","NR",0
