"Notes","State of Residence","State of Residence Code","Trimester Prenatal Care Began","Trimester Prenatal Care Began Code",Births
,"Alabama","01","1st to 3rd month","1",42467
,"Alabama","01","4th to 6th month","2",11338
,"Alabama","01","7th to final month","3",2826
,"Alabama","01","No prenatal care","4",1262
,"Alabama","01","Unknown or Not Stated","5",161
,"Alabama","01","Not Reported","100",0
,"Alaska","02","1st to 3rd month","1",6848
,"Alaska","02","4th to 6th month","2",1739
,"Alaska","02","7th to final month","3",507
,"Alaska","02","No prenatal care","4",95
,"Alaska","02","Unknown or Not Stated","5",178
,"Alaska","02","Not Reported","100",0
,"Arizona","04","1st to 3rd month","1",56866
,"Arizona","04","4th to 6th month","2",12872
,"Arizona","04","7th to final month","3",4871
,"Arizona","04","No prenatal care","4",1981
,"Arizona","04","Unknown or Not Stated","5",1326
,"Arizona","04","Not Reported","100",0
,"Arkansas","05","1st to 3rd month","1",25481
,"Arkansas","05","4th to 6th month","2",6215
,"Arkansas","05","7th to final month","3",2863
,"Arkansas","05","No prenatal care","4",1043
,"Arkansas","05","Unknown or Not Stated","5",363
,"Arkansas","05","Not Reported","100",0
,"California","06","1st to 3rd month","1",358086
,"California","06","4th to 6th month","2",42685
,"California","06","7th to final month","3",9763
,"California","06","No prenatal care","4",3627
,"California","06","Unknown or Not Stated","5",6447
,"California","06","Not Reported","100",0
,"Colorado","08","1st to 3rd month","1",50593
,"Colorado","08","4th to 6th month","2",7917
,"Colorado","08","7th to final month","3",2266
,"Colorado","08","No prenatal care","4",985
,"Colorado","08","Unknown or Not Stated","5",1188
,"Colorado","08","Not Reported","100",0
,"Connecticut","09","1st to 3rd month","1",30014
,"Connecticut","09","4th to 6th month","2",4166
,"Connecticut","09","7th to final month","3",1122
,"Connecticut","09","No prenatal care","4",136
,"Connecticut","09","Unknown or Not Stated","5",232
,"Connecticut","09","Not Reported","100",0
,"Delaware","10","1st to 3rd month","1",8202
,"Delaware","10","4th to 6th month","2",1517
,"Delaware","10","7th to final month","3",336
,"Delaware","10","No prenatal care","4",285
,"Delaware","10","Unknown or Not Stated","5",142
,"Delaware","10","Not Reported","100",0
,"District of Columbia","11","1st to 3rd month","1",6215
,"District of Columbia","11","4th to 6th month","2",1467
,"District of Columbia","11","7th to final month","3",429
,"District of Columbia","11","No prenatal care","4",276
,"District of Columbia","11","Unknown or Not Stated","5",273
,"District of Columbia","11","Not Reported","100",0
,"Florida","12","1st to 3rd month","1",147659
,"Florida","12","4th to 6th month","2",41780
,"Florida","12","7th to final month","3",13228
,"Florida","12","No prenatal care","4",5818
,"Florida","12","Unknown or Not Stated","5",7775
,"Florida","12","Not Reported","100",0
,"Georgia","13","1st to 3rd month","1",95227
,"Georgia","13","4th to 6th month","2",18039
,"Georgia","13","7th to final month","3",4608
,"Georgia","13","No prenatal care","4",5169
,"Georgia","13","Unknown or Not Stated","5",1030
,"Georgia","13","Not Reported","100",0
,"Hawaii","15","1st to 3rd month","1",10338
,"Hawaii","15","4th to 6th month","2",2476
,"Hawaii","15","7th to final month","3",789
,"Hawaii","15","No prenatal care","4",843
,"Hawaii","15","Unknown or Not Stated","5",1174
,"Hawaii","15","Not Reported","100",0
,"Idaho","16","1st to 3rd month","1",18523
,"Idaho","16","4th to 6th month","2",2904
,"Idaho","16","7th to final month","3",652
