"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Champaign County, IL","17019","Under 15 years","15",Suppressed
,"Champaign County, IL","17019","15-19 years","15-19",100
,"Champaign County, IL","17019","20-24 years","20-24",343
,"Champaign County, IL","17019","25-29 years","25-29",585
,"Champaign County, IL","17019","30-34 years","30-34",703
,"Champaign County, IL","17019","35-39 years","35-39",306
,"Champaign County, IL","17019","40-44 years","40-44",55
,"Champaign County, IL","17019","45-49 years","45-49",Suppressed
,"Champaign County, IL","17019","50 years and over","50+",0
,"Cook County, IL","17031","Under 15 years","15",24
,"Cook County, IL","17031","15-19 years","15-19",1667
,"Cook County, IL","17031","20-24 years","20-24",7186
,"Cook County, IL","17031","25-29 years","25-29",12344
,"Cook County, IL","17031","30-34 years","30-34",18336
,"Cook County, IL","17031","35-39 years","35-39",11780
,"Cook County, IL","17031","40-44 years","40-44",2600
,"Cook County, IL","17031","45-49 years","45-49",156
,"Cook County, IL","17031","50 years and over","50+",20
,"DeKalb County, IL","17037","Under 15 years","15",0
,"DeKalb County, IL","17037","15-19 years","15-19",33
,"DeKalb County, IL","17037","20-24 years","20-24",176
,"DeKalb County, IL","17037","25-29 years","25-29",361
,"DeKalb County, IL","17037","30-34 years","30-34",321
,"DeKalb County, IL","17037","35-39 years","35-39",135
,"DeKalb County, IL","17037","40-44 years","40-44",27
,"DeKalb County, IL","17037","45-49 years","45-49",0
,"DeKalb County, IL","17037","50 years and over","50+",0
,"DuPage County, IL","17043","Under 15 years","15",Suppressed
,"DuPage County, IL","17043","15-19 years","15-19",127
,"DuPage County, IL","17043","20-24 years","20-24",709
,"DuPage County, IL","17043","25-29 years","25-29",2083
,"DuPage County, IL","17043","30-34 years","30-34",4025
,"DuPage County, IL","17043","35-39 years","35-39",2365
,"DuPage County, IL","17043","40-44 years","40-44",426
,"DuPage County, IL","17043","45-49 years","45-49",29
,"DuPage County, IL","17043","50 years and over","50+",Suppressed
,"Kane County, IL","17089","Under 15 years","15",Suppressed
,"Kane County, IL","17089","15-19 years","15-19",167
,"Kane County, IL","17089","20-24 years","20-24",763
,"Kane County, IL","17089","25-29 years","25-29",1499
,"Kane County, IL","17089","30-34 years","30-34",1928
,"Kane County, IL","17089","35-39 years","35-39",1038
,"Kane County, IL","17089","40-44 years","40-44",212
,"Kane County, IL","17089","45-49 years","45-49",11
,"Kane County, IL","17089","50 years and over","50+",Suppressed
,"Kankakee County, IL","17091","Under 15 years","15",Suppressed
,"Kankakee County, IL","17091","15-19 years","15-19",60
,"Kankakee County, IL","17091","20-24 years","20-24",226
,"Kankakee County, IL","17091","25-29 years","25-29",392
,"Kankakee County, IL","17091","30-34 years","30-34",316
,"Kankakee County, IL","17091","35-39 years","35-39",134
,"Kankakee County, IL","17091","40-44 years","40-44",23
,"Kankakee County, IL","17091","45-49 years","45-49",Suppressed
,"Kankakee County, IL","17091","50 years and over","50+",0
,"Kendall County, IL","17093","Under 15 years","15",0
,"Kendall County, IL","17093","15-19 years","15-19",28
,"Kendall County, IL","17093","20-24 years","20-24",146
,"Kendall County, IL","17093","25-29 years","25-29",435
,"Kendall County, IL","17093","30-34 years","30-34",615
,"Kendall County, IL","17093","35-39 years","35-39",312
,"Kendall County, IL","17093","40-44 years","40-44",42
,"Kendall County, IL","17093","45-49 years","45-49",Suppressed
,"Kendall County, IL","17093","50 years and over","50+",0
,"Lake County, IL","17097","Under 15 years","15",Suppressed
,"Lake County, IL","17097","15-19 years","15-19",172
,"Lake County, IL","17097","20-24 years","20-24",819
,"Lake County, IL","17097","25-29 years","25-29",1649
,"Lake County, IL","17097","30-34 years","30-34",2420
,"Lake County, IL","17097","35-39 years","35-39",1472
,"Lake County, IL","17097","40-44 years","40-44",302
,"Lake County, IL","17097","45-49 years","45-49",19
,"Lake County, IL","17097","50 years and over","50+",Suppressed
,"LaSalle County, IL","17099","Under 15 years","15",0
,"LaSalle County, IL","17099","15-19 years","15-19",55
