"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Bartow County, GA","13015","Under 15 years","15",0
,"Bartow County, GA","13015","15-19 years","15-19",61
,"Bartow County, GA","13015","20-24 years","20-24",304
,"Bartow County, GA","13015","25-29 years","25-29",458
,"Bartow County, GA","13015","30-34 years","30-34",348
,"Bartow County, GA","13015","35-39 years","35-39",124
,"Bartow County, GA","13015","40-44 years","40-44",30
,"Bartow County, GA","13015","45-49 years","45-49",Suppressed
,"Bartow County, GA","13015","50 years and over","50+",0
,"Bibb County, GA","13021","Under 15 years","15",Suppressed
,"Bibb County, GA","13021","15-19 years","15-19",172
,"Bibb County, GA","13021","20-24 years","20-24",530
,"Bibb County, GA","13021","25-29 years","25-29",659
,"Bibb County, GA","13021","30-34 years","30-34",490
,"Bibb County, GA","13021","35-39 years","35-39",198
,"Bibb County, GA","13021","40-44 years","40-44",43
,"Bibb County, GA","13021","45-49 years","45-49",0
,"Bibb County, GA","13021","50 years and over","50+",0
,"Carroll County, GA","13045","Under 15 years","15",Suppressed
,"Carroll County, GA","13045","15-19 years","15-19",102
,"Carroll County, GA","13045","20-24 years","20-24",415
,"Carroll County, GA","13045","25-29 years","25-29",532
,"Carroll County, GA","13045","30-34 years","30-34",368
,"Carroll County, GA","13045","35-39 years","35-39",137
,"Carroll County, GA","13045","40-44 years","40-44",30
,"Carroll County, GA","13045","45-49 years","45-49",Suppressed
,"Carroll County, GA","13045","50 years and over","50+",0
,"Chatham County, GA","13051","Under 15 years","15",Suppressed
,"Chatham County, GA","13051","15-19 years","15-19",152
,"Chatham County, GA","13051","20-24 years","20-24",744
,"Chatham County, GA","13051","25-29 years","25-29",1084
,"Chatham County, GA","13051","30-34 years","30-34",1027
,"Chatham County, GA","13051","35-39 years","35-39",497
,"Chatham County, GA","13051","40-44 years","40-44",129
,"Chatham County, GA","13051","45-49 years","45-49",Suppressed
,"Chatham County, GA","13051","50 years and over","50+",Suppressed
,"Cherokee County, GA","13057","Under 15 years","15",Suppressed
,"Cherokee County, GA","13057","15-19 years","15-19",67
,"Cherokee County, GA","13057","20-24 years","20-24",368
,"Cherokee County, GA","13057","25-29 years","25-29",842
,"Cherokee County, GA","13057","30-34 years","30-34",960
,"Cherokee County, GA","13057","35-39 years","35-39",479
,"Cherokee County, GA","13057","40-44 years","40-44",82
,"Cherokee County, GA","13057","45-49 years","45-49",Suppressed
,"Cherokee County, GA","13057","50 years and over","50+",0
,"Clarke County, GA","13059","Under 15 years","15",0
,"Clarke County, GA","13059","15-19 years","15-19",63
,"Clarke County, GA","13059","20-24 years","20-24",276
,"Clarke County, GA","13059","25-29 years","25-29",392
,"Clarke County, GA","13059","30-34 years","30-34",417
,"Clarke County, GA","13059","35-39 years","35-39",215
,"Clarke County, GA","13059","40-44 years","40-44",45
