"Notes","State of Residence","State of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Alabama","01","Under 15 years","15",49
,"Alabama","01","15-19 years","15-19",3445
,"Alabama","01","20-24 years","20-24",14113
,"Alabama","01","25-29 years","25-29",18274
,"Alabama","01","30-34 years","30-34",14673
,"Alabama","01","35-39 years","35-39",6304
,"Alabama","01","40-44 years","40-44",1216
,"Alabama","01","45-49 years","45-49",71
,"Alabama","01","50 years and over","50+",Suppressed
,"Alaska","02","Under 15 years","15",Suppressed
,"Alaska","02","15-19 years","15-19",357
,"Alaska","02","20-24 years","20-24",1908
,"Alaska","02","25-29 years","25-29",2676
,"Alaska","02","30-34 years","30-34",2684
,"Alaska","02","35-39 years","35-39",1410
,"Alaska","02","40-44 years","40-44",306
,"Alaska","02","45-49 years","45-49",11
,"Alaska","02","50 years and over","50+",Suppressed
,"Arizona","04","Under 15 years","15",34
,"Arizona","04","15-19 years","15-19",3558
,"Arizona","04","20-24 years","20-24",15380
,"Arizona","04","25-29 years","25-29",23638
,"Arizona","04","30-34 years","30-34",22432
,"Arizona","04","35-39 years","35-39",10889
,"Arizona","04","40-44 years","40-44",2447
,"Arizona","04","45-49 years","45-49",159
,"Arizona","04","50 years and over","50+",10
,"Arkansas","05","Under 15 years","15",36
,"Arkansas","05","15-19 years","15-19",2440
,"Arkansas","05","20-24 years","20-24",9423
,"Arkansas","05","25-29 years","25-29",11022
,"Arkansas","05","30-34 years","30-34",8261
,"Arkansas","05","35-39 years","35-39",3516
,"Arkansas","05","40-44 years","40-44",746
,"Arkansas","05","45-49 years","45-49",26
,"Arkansas","05","50 years and over","50+",Suppressed
,"California","06","Under 15 years","15",133
,"California","06","15-19 years","15-19",12279
,"California","06","20-24 years","20-24",56960
,"California","06","25-29 years","25-29",102283
,"California","06","30-34 years","30-34",135443
,"California","06","35-39 years","35-39",88108
,"California","06","40-44 years","40-44",21805
,"California","06","45-49 years","45-49",1788
,"California","06","50 years and over","50+",305
,"Colorado","08","Under 15 years","15",19
,"Colorado","08","15-19 years","15-19",2004
,"Colorado","08","20-24 years","20-24",9508
,"Colorado","08","25-29 years","25-29",16262
,"Colorado","08","30-34 years","30-34",20517
,"Colorado","08","35-39 years","35-39",11533
,"Colorado","08","40-44 years","40-44",2362
,"Colorado","08","45-49 years","45-49",162
,"Colorado","08","50 years and over","50+",16
,"Connecticut","09","Under 15 years","15",12
,"Connecticut","09","15-19 years","15-19",784
,"Connecticut","09","20-24 years","20-24",3655
,"Connecticut","09","25-29 years","25-29",8025
,"Connecticut","09","30-34 years","30-34",13150
,"Connecticut","09","35-39 years","35-39",7901
,"Connecticut","09","40-44 years","40-44",1686
,"Connecticut","09","45-49 years","45-49",101
,"Connecticut","09","50 years and over","50+",18
,"Delaware","10","Under 15 years","15",Suppressed
,"Delaware","10","15-19 years","15-19",466
,"Delaware","10","20-24 years","20-24",1849
,"Delaware","10","25-29 years","25-29",2941
,"Delaware","10","30-34 years","30-34",3305
