"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Albany County, NY","36001","Under 15 years","15",Suppressed
,"Albany County, NY","36001","15-19 years","15-19",70
,"Albany County, NY","36001","20-24 years","20-24",327
,"Albany County, NY","36001","25-29 years","25-29",651
,"Albany County, NY","36001","30-34 years","30-34",964
,"Albany County, NY","36001","35-39 years","35-39",580
,"Albany County, NY","36001","40-44 years","40-44",124
,"Albany County, NY","36001","45-49 years","45-49",12
,"Albany County, NY","36001","50 years and over","50+",0
,"Bronx County, NY","36005","Under 15 years","15",10
,"Bronx County, NY","36005","15-19 years","15-19",580
,"Bronx County, NY","36005","20-24 years","20-24",2881
,"Bronx County, NY","36005","25-29 years","25-29",4616
,"Bronx County, NY","36005","30-34 years","30-34",4973
,"Bronx County, NY","36005","35-39 years","35-39",3089
,"Bronx County, NY","36005","40-44 years","40-44",813
,"Bronx County, NY","36005","45-49 years","45-49",96
,"Bronx County, NY","36005","50 years and over","50+",15
,"Broome County, NY","36007","Under 15 years","15",Suppressed
,"Broome County, NY","36007","15-19 years","15-19",66
,"Broome County, NY","36007","20-24 years","20-24",342
,"Broome County, NY","36007","25-29 years","25-29",447
,"Broome County, NY","36007","30-34 years","30-34",536
,"Broome County, NY","36007","35-39 years","35-39",240
,"Broome County, NY","36007","40-44 years","40-44",60
,"Broome County, NY","36007","45-49 years","45-49",Suppressed
,"Broome County, NY","36007","50 years and over","50+",0
,"Chautauqua County, NY","36013","Under 15 years","15",0
,"Chautauqua County, NY","36013","15-19 years","15-19",74
,"Chautauqua County, NY","36013","20-24 years","20-24",287
,"Chautauqua County, NY","36013","25-29 years","25-29",338
,"Chautauqua County, NY","36013","30-34 years","30-34",295
,"Chautauqua County, NY","36013","35-39 years","35-39",138
,"Chautauqua County, NY","36013","40-44 years","40-44",20
,"Chautauqua County, NY","36013","45-49 years","45-49",Suppressed
,"Chautauqua County, NY","36013","50 years and over","50+",0
,"Dutchess County, NY","36027","Under 15 years","15",0
,"Dutchess County, NY","36027","15-19 years","15-19",50
,"Dutchess County, NY","36027","20-24 years","20-24",251
,"Dutchess County, NY","36027","25-29 years","25-29",603
,"Dutchess County, NY","36027","30-34 years","30-34",975
,"Dutchess County, NY","36027","35-39 years","35-39",577
,"Dutchess County, NY","36027","40-44 years","40-44",165
,"Dutchess County, NY","36027","45-49 years","45-49",Suppressed
,"Dutchess County, NY","36027","50 years and over","50+",Suppressed
,"Erie County, NY","36029","Under 15 years","15",Suppressed
,"Erie County, NY","36029","15-19 years","15-19",262
,"Erie County, NY","36029","20-24 years","20-24",1230
,"Erie County, NY","36029","25-29 years","25-29",2326
,"Erie County, NY","36029","30-34 years","30-34",3266
,"Erie County, NY","36029","35-39 years","35-39",1699
,"Erie County, NY","36029","40-44 years","40-44",295
,"Erie County, NY","36029","45-49 years","45-49",14
,"Erie County, NY","36029","50 years and over","50+",Suppressed
,"Jefferson County, NY","36045","Under 15 years","15",Suppressed
,"Jefferson County, NY","36045","15-19 years","15-19",51
,"Jefferson County, NY","36045","20-24 years","20-24",561
,"Jefferson County, NY","36045","25-29 years","25-29",580
,"Jefferson County, NY","36045","30-34 years","30-34",392
,"Jefferson County, NY","36045","35-39 years","35-39",153
,"Jefferson County, NY","36045","40-44 years","40-44",29
,"Jefferson County, NY","36045","45-49 years","45-49",Suppressed
,"Jefferson County, NY","36045","50 years and over","50+",0
,"Kings County, NY","36047","Under 15 years","15",Suppressed
,"Kings County, NY","36047","15-19 years","15-19",636
,"Kings County, NY","36047","20-24 years","20-24",5684
,"Kings County, NY","36047","25-29 years","25-29",7720
,"Kings County, NY","36047","30-34 years","30-34",9584
,"Kings County, NY","36047","35-39 years","35-39",7558
,"Kings County, NY","36047","40-44 years","40-44",2180
,"Kings County, NY","36047","45-49 years","45-49",194
,"Kings County, NY","36047","50 years and over","50+",31
,"Monroe County, NY","36055","Under 15 years","15",Suppressed
,"Monroe County, NY","36055","15-19 years","15-19",234
,"Monroe County, NY","36055","20-24 years","20-24",1021
,"Monroe County, NY","36055","25-29 years","25-29",1853
,"Monroe County, NY","36055","30-34 years","30-34",2685
,"Monroe County, NY","36055","35-39 years","35-39",1366
