"Notes","State of Residence","State of Residence Code","OE Gestational Age Recode 10","OE Gestational Age Recode 10 Code",Births
,"Alabama","01","Under 20 weeks","01",11
,"Alabama","01","20 - 27 weeks","02",403
,"Alabama","01","28 - 31 weeks","03",630
,"Alabama","01","32 - 35 weeks","04",3364
,"Alabama","01","36 weeks","05",3053
,"Alabama","01","37 - 39 weeks","06",42184
,"Alabama","01","40 weeks","07",7229
,"Alabama","01","41 weeks","08",1164
,"Alabama","01","42 weeks or more","09",80
,"Alabama","01","Unknown or Not Stated","10",31
,"Alaska","02","Under 20 weeks","01",Suppressed
,"Alaska","02","20 - 27 weeks","02",36
,"Alaska","02","28 - 31 weeks","03",90
,"Alaska","02","32 - 35 weeks","04",432
,"Alaska","02","36 weeks","05",380
,"Alaska","02","37 - 39 weeks","06",5796
,"Alaska","02","40 weeks","07",1858
,"Alaska","02","41 weeks","08",709
,"Alaska","02","42 weeks or more","09",50
,"Alaska","02","Unknown or Not Stated","10",Suppressed
,"Arizona","04","Under 20 weeks","01",34
,"Arizona","04","20 - 27 weeks","02",404
,"Arizona","04","28 - 31 weeks","03",627
,"Arizona","04","32 - 35 weeks","04",3424
,"Arizona","04","36 weeks","05",3240
,"Arizona","04","37 - 39 weeks","06",51750
,"Arizona","04","40 weeks","07",14481
,"Arizona","04","41 weeks","08",4352
,"Arizona","04","42 weeks or more","09",160
,"Arizona","04","Unknown or Not Stated","10",75
,"Arkansas","05","Under 20 weeks","01",19
,"Arkansas","05","20 - 27 weeks","02",242
,"Arkansas","05","28 - 31 weeks","03",365
,"Arkansas","05","32 - 35 weeks","04",1831
,"Arkansas","05","36 weeks","05",1717
,"Arkansas","05","37 - 39 weeks","06",25503
,"Arkansas","05","40 weeks","07",4842
,"Arkansas","05","41 weeks","08",876
,"Arkansas","05","42 weeks or more","09",49
,"Arkansas","05","Unknown or Not Stated","10",27
,"California","06","Under 20 weeks","01",68
,"California","06","20 - 27 weeks","02",2034
,"California","06","28 - 31 weeks","03",3847
,"California","06","32 - 35 weeks","04",16583
,"California","06","36 weeks","05",15488
,"California","06","37 - 39 weeks","06",267476
,"California","06","40 weeks","07",86036
,"California","06","41 weeks","08",26362
,"California","06","42 weeks or more","09",1003
,"California","06","Unknown or Not Stated","10",207
,"Colorado","08","Under 20 weeks","01",13
,"Colorado","08","20 - 27 weeks","02",304
,"Colorado","08","28 - 31 weeks","03",524
,"Colorado","08","32 - 35 weeks","04",3011
,"Colorado","08","36 weeks","05",2406
,"Colorado","08","37 - 39 weeks","06",40552
,"Colorado","08","40 weeks","07",11907
,"Colorado","08","41 weeks","08",3448
,"Colorado","08","42 weeks or more","09",184
,"Colorado","08","Unknown or Not Stated","10",34
,"Connecticut","09","Under 20 weeks","01",Suppressed
,"Connecticut","09","20 - 27 weeks","02",210
,"Connecticut","09","28 - 31 weeks","03",272
,"Connecticut","09","32 - 35 weeks","04",1534
,"Connecticut","09","36 weeks","05",1299
,"Connecticut","09","37 - 39 weeks","06",22841
,"Connecticut","09","40 weeks","07",6900
,"Connecticut","09","41 weeks","08",2209
,"Connecticut","09","42 weeks or more","09",48
,"Connecticut","09","Unknown or Not Stated","10",11
,"Delaware","10","Under 20 weeks","01",11
,"Delaware","10","20 - 27 weeks","02",95
,"Delaware","10","28 - 31 weeks","03",114
,"Delaware","10","32 - 35 weeks","04",490
,"Delaware","10","36 weeks","05",461
,"Delaware","10","37 - 39 weeks","06",7078
,"Delaware","10","40 weeks","07",1992
,"Delaware","10","41 weeks","08",543
,"Delaware","10","42 weeks or more","09",28
,"Delaware","10","Unknown or Not Stated","10",Suppressed
,"District of Columbia","11","Under 20 weeks","01",Suppressed
,"District of Columbia","11","20 - 27 weeks","02",61
,"District of Columbia","11","28 - 31 weeks","03",80
,"District of Columbia","11","32 - 35 weeks","04",405
,"District of Columbia","11","36 weeks","05",277
,"District of Columbia","11","37 - 39 weeks","06",5025
,"District of Columbia","11","40 weeks","07",1684
,"District of Columbia","11","41 weeks","08",514
,"District of Columbia","11","42 weeks or more","09",18
,"District of Columbia","11","Unknown or Not Stated","10",Suppressed
,"Florida","12","Under 20 weeks","01",71
,"Florida","12","20 - 27 weeks","02",1644
,"Florida","12","28 - 31 weeks","03",2176
,"Florida","12","32 - 35 weeks","04",10695
,"Florida","12","36 weeks","05",9116
,"Florida","12","37 - 39 weeks","06",149977
,"Florida","12","40 weeks","07",40353
,"Florida","12","41 weeks","08",9787
,"Florida","12","42 weeks or more","09",509
,"Florida","12","Unknown or Not Stated","10",105
,"Georgia","13","Under 20 weeks","01",35
,"Georgia","13","20 - 27 weeks","02",1094
,"Georgia","13","28 - 31 weeks","03",1324
,"Georgia","13","32 - 35 weeks","04",6638
,"Georgia","13","36 weeks","05",5869
,"Georgia","13","37 - 39 weeks","06",85624
,"Georgia","13","40 weeks","07",20661
,"Georgia","13","41 weeks","08",4569
,"Georgia","13","42 weeks or more","09",268
,"Georgia","13","Unknown or Not Stated","10",48
,"Hawaii","15","Under 20 weeks","01",10
,"Hawaii","15","20 - 27 weeks","02",97
,"Hawaii","15","28 - 31 weeks","03",130
,"Hawaii","15","32 - 35 weeks","04",680
,"Hawaii","15","36 weeks","05",607
,"Hawaii","15","37 - 39 weeks","06",10065
,"Hawaii","15","40 weeks","07",2880
,"Hawaii","15","41 weeks","08",987
,"Hawaii","15","42 weeks or more","09",69
,"Hawaii","15","Unknown or Not Stated","10",10
,"Idaho","16","Under 20 weeks","01",Suppressed
,"Idaho","16","20 - 27 weeks","02",104
,"Idaho","16","28 - 31 weeks","03",168
,"Idaho","16","32 - 35 weeks","04",902
,"Idaho","16","36 weeks","05",802
,"Idaho","16","37 - 39 weeks","06",14496
,"Idaho","16","40 weeks","07",4446
,"Idaho","16","41 weeks","08",1389
,"Idaho","16","42 weeks or more","09",68
,"Idaho","16","Unknown or Not Stated","10",11
,"Illinois","17","Under 20 weeks","01",61
,"Illinois","17","20 - 27 weeks","02",779
,"Illinois","17","28 - 31 weeks","03",1119
,"Illinois","17","32 - 35 weeks","04",6163
,"Illinois","17","36 weeks","05",5442
,"Illinois","17","37 - 39 weeks","06",90281
,"Illinois","17","40 weeks","07",20339
,"Illinois","17","41 weeks","08",3954
,"Illinois","17","42 weeks or more","09",153
,"Illinois","17","Unknown or Not Stated","10",59
,"Indiana","18","Under 20 weeks","01",38
,"Indiana","18","20 - 27 weeks","02",483
,"Indiana","18","28 - 31 weeks","03",759
,"Indiana","18","32 - 35 weeks","04",3897
,"Indiana","18","36 weeks","05",3515
,"Indiana","18","37 - 39 weeks","06",55365
,"Indiana","18","40 weeks","07",12619
,"Indiana","18","41 weeks","08",2788
,"Indiana","18","42 weeks or more","09",157
,"Indiana","18","Unknown or Not Stated","10",28
,"Iowa","19","Under 20 weeks","01",15
,"Iowa","19","20 - 27 weeks","02",178
,"Iowa","19","28 - 31 weeks","03",306
,"Iowa","19","32 - 35 weeks","04",1575
,"Iowa","19","36 weeks","05",1657
,"Iowa","19","37 - 39 weeks","06",25190
,"Iowa","19","40 weeks","07",5928
,"Iowa","19","41 weeks","08",1524
,"Iowa","19","42 weeks or more","09",88
,"Iowa","19","Unknown or Not Stated","10",45
,"Kansas","20","Under 20 weeks","01",15
,"Kansas","20","20 - 27 weeks","02",173
,"Kansas","20","28 - 31 weeks","03",264
,"Kansas","20","32 - 35 weeks","04",1601
,"Kansas","20","36 weeks","05",1543
,"Kansas","20","37 - 39 weeks","06",23649
,"Kansas","20","40 weeks","07",5903
,"Kansas","20","41 weeks","08",1163
,"Kansas","20","42 weeks or more","09",70
,"Kansas","20","Unknown or Not Stated","10",20
,"Kentucky","21","Under 20 weeks","01",16
,"Kentucky","21","20 - 27 weeks","02",313
,"Kentucky","21","28 - 31 weeks","03",532
,"Kentucky","21","32 - 35 weeks","04",2716
,"Kentucky","21","36 weeks","05",2542
,"Kentucky","21","37 - 39 weeks","06",37430
,"Kentucky","21","40 weeks","07",7193
,"Kentucky","21","41 weeks","08",1439
,"Kentucky","21","42 weeks or more","09",114
,"Kentucky","21","Unknown or Not Stated","10",20
,"Louisiana","22","Under 20 weeks","01",35
,"Louisiana","22","20 - 27 weeks","02",431
,"Louisiana","22","28 - 31 weeks","03",651
,"Louisiana","22","32 - 35 weeks","04",3321
,"Louisiana","22","36 weeks","05",3077
,"Louisiana","22","37 - 39 weeks","06",41130
,"Louisiana","22","40 weeks","07",6748
,"Louisiana","22","41 weeks","08",1004
,"Louisiana","22","42 weeks or more","09",43
,"Louisiana","22","Unknown or Not Stated","10",39
,"Maine","23","Under 20 weeks","01",Suppressed
,"Maine","23","20 - 27 weeks","02",53
,"Maine","23","28 - 31 weeks","03",101
,"Maine","23","32 - 35 weeks","04",527
,"Maine","23","36 weeks","05",466
,"Maine","23","37 - 39 weeks","06",7787
,"Maine","23","40 weeks","07",2232
,"Maine","23","41 weeks","08",830
,"Maine","23","42 weeks or more","09",78
,"Maine","23","Unknown or Not Stated","10",14
,"Maryland","24","Under 20 weeks","01",22
,"Maryland","24","20 - 27 weeks","02",488
,"Maryland","24","28 - 31 weeks","03",599
,"Maryland","24","32 - 35 weeks","04",3201
,"Maryland","24","36 weeks","05",2765
,"Maryland","24","37 - 39 weeks","06",44013
,"Maryland","24","40 weeks","07",13378
,"Maryland","24","41 weeks","08",4121
,"Maryland","24","42 weeks or more","09",150
,"Maryland","24","Unknown or Not Stated","10",45
,"Massachusetts","25","Under 20 weeks","01",14
,"Massachusetts","25","20 - 27 weeks","02",284
,"Massachusetts","25","28 - 31 weeks","03",463
,"Massachusetts","25","32 - 35 weeks","04",2921
,"Massachusetts","25","36 weeks","05",2566
,"Massachusetts","25","37 - 39 weeks","06",43145
,"Massachusetts","25","40 weeks","07",13985
,"Massachusetts","25","41 weeks","08",4867
,"Massachusetts","25","42 weeks or more","09",158
,"Massachusetts","25","Unknown or Not Stated","10",181
,"Michigan","26","Under 20 weeks","01",50
,"Michigan","26","20 - 27 weeks","02",629
,"Michigan","26","28 - 31 weeks","03",969
,"Michigan","26","32 - 35 weeks","04",4839
,"Michigan","26","36 weeks","05",4177
,"Michigan","26","37 - 39 weeks","06",66610
,"Michigan","26","40 weeks","07",19280
,"Michigan","26","41 weeks","08",5378
,"Michigan","26","42 weeks or more","09",337
,"Michigan","26","Unknown or Not Stated","10",52
,"Minnesota","27","Under 20 weeks","01",26
,"Minnesota","27","20 - 27 weeks","02",297
,"Minnesota","27","28 - 31 weeks","03",522
,"Minnesota","27","32 - 35 weeks","04",2818
,"Minnesota","27","36 weeks","05",2454
,"Minnesota","27","37 - 39 weeks","06",41145
,"Minnesota","27","40 weeks","07",11859
,"Minnesota","27","41 weeks","08",4492
,"Minnesota","27","42 weeks or more","09",345
,"Minnesota","27","Unknown or Not Stated","10",57
,"Mississippi","28","Under 20 weeks","01",13
,"Mississippi","28","20 - 27 weeks","02",353
,"Mississippi","28","28 - 31 weeks","03",465
,"Mississippi","28","32 - 35 weeks","04",2264
,"Mississippi","28","36 weeks","05",2034
,"Mississippi","28","37 - 39 weeks","06",25486
,"Mississippi","28","40 weeks","07",3566
,"Mississippi","28","41 weeks","08",438
,"Mississippi","28","42 weeks or more","09",32
,"Mississippi","28","Unknown or Not Stated","10",24
,"Missouri","29","Under 20 weeks","01",20
,"Missouri","29","20 - 27 weeks","02",447
,"Missouri","29","28 - 31 weeks","03",645
,"Missouri","29","32 - 35 weeks","04",3506
,"Missouri","29","36 weeks","05",3174
,"Missouri","29","37 - 39 weeks","06",48273
,"Missouri","29","40 weeks","07",10555
,"Missouri","29","41 weeks","08",2058
,"Missouri","29","42 weeks or more","09",236
,"Missouri","29","Unknown or Not Stated","10",71
,"Montana","30","Under 20 weeks","01",Suppressed
,"Montana","30","20 - 27 weeks","02",41
,"Montana","30","28 - 31 weeks","03",94
,"Montana","30","32 - 35 weeks","04",451
,"Montana","30","36 weeks","05",499
,"Montana","30","37 - 39 weeks","06",7544
,"Montana","30","40 weeks","07",1981
,"Montana","30","41 weeks","08",515
,"Montana","30","42 weeks or more","09",39
,"Montana","30","Unknown or Not Stated","10",10
,"Nebraska","31","Under 20 weeks","01",Suppressed
,"Nebraska","31","20 - 27 weeks","02",137
,"Nebraska","31","28 - 31 weeks","03",221
,"Nebraska","31","32 - 35 weeks","04",1202
,"Nebraska","31","36 weeks","05",1192
,"Nebraska","31","37 - 39 weeks","06",17208
,"Nebraska","31","40 weeks","07",3666
,"Nebraska","31","41 weeks","08",667
,"Nebraska","31","42 weeks or more","09",35
,"Nebraska","31","Unknown or Not Stated","10",10
,"Nevada","32","Under 20 weeks","01",Suppressed
,"Nevada","32","20 - 27 weeks","02",196
,"Nevada","32","28 - 31 weeks","03",306
,"Nevada","32","32 - 35 weeks","04",1655
,"Nevada","32","36 weeks","05",1447
,"Nevada","32","37 - 39 weeks","06",22992
,"Nevada","32","40 weeks","07",5592
,"Nevada","32","41 weeks","08",921
,"Nevada","32","42 weeks or more","09",69
,"Nevada","32","Unknown or Not Stated","10",13
,"New Hampshire","33","Under 20 weeks","01",0
,"New Hampshire","33","20 - 27 weeks","02",47
,"New Hampshire","33","28 - 31 weeks","03",74
,"New Hampshire","33","32 - 35 weeks","04",485
,"New Hampshire","33","36 weeks","05",380
,"New Hampshire","33","37 - 39 weeks","06",7090
,"New Hampshire","33","40 weeks","07",2547
,"New Hampshire","33","41 weeks","08",1329
,"New Hampshire","33","42 weeks or more","09",106
,"New Hampshire","33","Unknown or Not Stated","10",19
,"New Jersey","34","Under 20 weeks","01",22
,"New Jersey","34","20 - 27 weeks","02",543
,"New Jersey","34","28 - 31 weeks","03",784
,"New Jersey","34","32 - 35 weeks","04",4362
,"New Jersey","34","36 weeks","05",3836
,"New Jersey","34","37 - 39 weeks","06",65811
,"New Jersey","34","40 weeks","07",21169
,"New Jersey","34","41 weeks","08",6164
,"New Jersey","34","42 weeks or more","09",194
,"New Jersey","34","Unknown or Not Stated","10",Suppressed
,"New Mexico","35","Under 20 weeks","01",Suppressed
,"New Mexico","35","20 - 27 weeks","02",110
,"New Mexico","35","28 - 31 weeks","03",215
,"New Mexico","35","32 - 35 weeks","04",1056
,"New Mexico","35","36 weeks","05",809
,"New Mexico","35","37 - 39 weeks","06",14739
,"New Mexico","35","40 weeks","07",3673
,"New Mexico","35","41 weeks","08",958
,"New Mexico","35","42 weeks or more","09",36
,"New Mexico","35","Unknown or Not Stated","10",12
,"New York","36","Under 20 weeks","01",43
,"New York","36","20 - 27 weeks","02",1124
,"New York","36","28 - 31 weeks","03",1748
,"New York","36","32 - 35 weeks","04",9016
,"New York","36","36 weeks","05",7678
,"New York","36","37 - 39 weeks","06",131297
,"New York","36","40 weeks","07",43360
,"New York","36","41 weeks","08",12418
,"New York","36","42 weeks or more","09",687
,"New York","36","Unknown or Not Stated","10",403
,"North Carolina","37","Under 20 weeks","01",53
,"North Carolina","37","20 - 27 weeks","02",885
,"North Carolina","37","28 - 31 weeks","03",1200
,"North Carolina","37","32 - 35 weeks","04",5978
,"North Carolina","37","36 weeks","05",4890
,"North Carolina","37","37 - 39 weeks","06",79241
,"North Carolina","37","40 weeks","07",22396
,"North Carolina","37","41 weeks","08",6586
,"North Carolina","37","42 weeks or more","09",274
,"North Carolina","37","Unknown or Not Stated","10",59
,"North Dakota","38","Under 20 weeks","01",Suppressed
,"North Dakota","38","20 - 27 weeks","02",36
,"North Dakota","38","28 - 31 weeks","03",70
,"North Dakota","38","32 - 35 weeks","04",476
,"North Dakota","38","36 weeks","05",404
,"North Dakota","38","37 - 39 weeks","06",6598
,"North Dakota","38","40 weeks","07",1533
,"North Dakota","38","41 weeks","08",426
,"North Dakota","38","42 weeks or more","09",15
,"North Dakota","38","Unknown or Not Stated","10",Suppressed
,"Ohio","39","Under 20 weeks","01",69
,"Ohio","39","20 - 27 weeks","02",833
,"Ohio","39","28 - 31 weeks","03",1256
,"Ohio","39","32 - 35 weeks","04",6332
,"Ohio","39","36 weeks","05",5396
,"Ohio","39","37 - 39 weeks","06",88155
,"Ohio","39","40 weeks","07",21098
,"Ohio","39","41 weeks","08",4677
,"Ohio","39","42 weeks or more","09",323
,"Ohio","39","Unknown or Not Stated","10",92
,"Oklahoma","40","Under 20 weeks","01",31
,"Oklahoma","40","20 - 27 weeks","02",286
,"Oklahoma","40","28 - 31 weeks","03",478
,"Oklahoma","40","32 - 35 weeks","04",2463
,"Oklahoma","40","36 weeks","05",2204
,"Oklahoma","40","37 - 39 weeks","06",35041
,"Oklahoma","40","40 weeks","07",6576
,"Oklahoma","40","41 weeks","08",1111
,"Oklahoma","40","42 weeks or more","09",85
,"Oklahoma","40","Unknown or Not Stated","10",57
,"Oregon","41","Under 20 weeks","01",18
,"Oregon","41","20 - 27 weeks","02",152
,"Oregon","41","28 - 31 weeks","03",257
,"Oregon","41","32 - 35 weeks","04",1595
,"Oregon","41","36 weeks","05",1416
,"Oregon","41","37 - 39 weeks","06",24314
,"Oregon","41","40 weeks","07",8287
,"Oregon","41","41 weeks","08",3225
,"Oregon","41","42 weeks or more","09",200
,"Oregon","41","Unknown or Not Stated","10",29
,"Pennsylvania","42","Under 20 weeks","01",72
,"Pennsylvania","42","20 - 27 weeks","02",771
,"Pennsylvania","42","28 - 31 weeks","03",1122
,"Pennsylvania","42","32 - 35 weeks","04",5735
,"Pennsylvania","42","36 weeks","05",4813
,"Pennsylvania","42","37 - 39 weeks","06",84061
,"Pennsylvania","42","40 weeks","07",25906
,"Pennsylvania","42","41 weeks","08",7144
,"Pennsylvania","42","42 weeks or more","09",416
,"Pennsylvania","42","Unknown or Not Stated","10",212
,"Rhode Island","44","Under 20 weeks","01",Suppressed
,"Rhode Island","44","20 - 27 weeks","02",72
,"Rhode Island","44","28 - 31 weeks","03",84
,"Rhode Island","44","32 - 35 weeks","04",383
,"Rhode Island","44","36 weeks","05",383
,"Rhode Island","44","37 - 39 weeks","06",6481
,"Rhode Island","44","40 weeks","07",1994
,"Rhode Island","44","41 weeks","08",844
,"Rhode Island","44","42 weeks or more","09",27
,"Rhode Island","44","Unknown or Not Stated","10",0
,"South Carolina","45","Under 20 weeks","01",24
,"South Carolina","45","20 - 27 weeks","02",470
,"South Carolina","45","28 - 31 weeks","03",593
,"South Carolina","45","32 - 35 weeks","04",2982
,"South Carolina","45","36 weeks","05",2644
,"South Carolina","45","37 - 39 weeks","06",40992
,"South Carolina","45","40 weeks","07",8426
,"South Carolina","45","41 weeks","08",1563
,"South Carolina","45","42 weeks or more","09",106
,"South Carolina","45","Unknown or Not Stated","10",20
,"South Dakota","46","Under 20 weeks","01",Suppressed
,"South Dakota","46","20 - 27 weeks","02",57
,"South Dakota","46","28 - 31 weeks","03",91
,"South Dakota","46","32 - 35 weeks","04",467
,"South Dakota","46","36 weeks","05",540
,"South Dakota","46","37 - 39 weeks","06",7805
,"South Dakota","46","40 weeks","07",1789
,"South Dakota","46","41 weeks","08",394
,"South Dakota","46","42 weeks or more","09",42
,"South Dakota","46","Unknown or Not Stated","10",Suppressed
,"Tennessee","47","Under 20 weeks","01",26
,"Tennessee","47","20 - 27 weeks","02",513
,"Tennessee","47","28 - 31 weeks","03",772
,"Tennessee","47","32 - 35 weeks","04",4060
,"Tennessee","47","36 weeks","05",3707
,"Tennessee","47","37 - 39 weeks","06",56222
,"Tennessee","47","40 weeks","07",13762
,"Tennessee","47","41 weeks","08",2918
,"Tennessee","47","42 weeks or more","09",233
,"Tennessee","47","Unknown or Not Stated","10",52
,"Texas","48","Under 20 weeks","01",130
,"Texas","48","20 - 27 weeks","02",2535
,"Texas","48","28 - 31 weeks","03",3861
,"Texas","48","32 - 35 weeks","04",19649
,"Texas","48","36 weeks","05",17693
,"Texas","48","37 - 39 weeks","06",273894
,"Texas","48","40 weeks","07",58177
,"Texas","48","41 weeks","08",12737
,"Texas","48","42 weeks or more","09",963
,"Texas","48","Unknown or Not Stated","10",102
,"Utah","49","Under 20 weeks","01",12
,"Utah","49","20 - 27 weeks","02",218
,"Utah","49","28 - 31 weeks","03",388
,"Utah","49","32 - 35 weeks","04",1935
,"Utah","49","36 weeks","05",1735
,"Utah","49","37 - 39 weeks","06",33417
,"Utah","49","40 weeks","07",6556
,"Utah","49","41 weeks","08",1420
,"Utah","49","42 weeks or more","09",85
,"Utah","49","Unknown or Not Stated","10",Suppressed
,"Vermont","50","Under 20 weeks","01",0
,"Vermont","50","20 - 27 weeks","02",22
,"Vermont","50","28 - 31 weeks","03",55
,"Vermont","50","32 - 35 weeks","04",225
,"Vermont","50","36 weeks","05",165
,"Vermont","50","37 - 39 weeks","06",3154
,"Vermont","50","40 weeks","07",1155
,"Vermont","50","41 weeks","08",489
,"Vermont","50","42 weeks or more","09",48
,"Vermont","50","Unknown or Not Stated","10",Suppressed
,"Virginia","51","Under 20 weeks","01",31
,"Virginia","51","20 - 27 weeks","02",626
,"Virginia","51","28 - 31 weeks","03",835
,"Virginia","51","32 - 35 weeks","04",4138
,"Virginia","51","36 weeks","05",3606
,"Virginia","51","37 - 39 weeks","06",62316
,"Virginia","51","40 weeks","07",18395
,"Virginia","51","41 weeks","08",5377
,"Virginia","51","42 weeks or more","09",270
,"Virginia","51","Unknown or Not Stated","10",36
,"Washington","53","Under 20 weeks","01",18
,"Washington","53","20 - 27 weeks","02",371
,"Washington","53","28 - 31 weeks","03",620
,"Washington","53","32 - 35 weeks","04",3313
,"Washington","53","36 weeks","05",2965
,"Washington","53","37 - 39 weeks","06",50874
,"Washington","53","40 weeks","07",17287
,"Washington","53","41 weeks","08",7222
,"Washington","53","42 weeks or more","09",444
,"Washington","53","Unknown or Not Stated","10",219
,"West Virginia","54","Under 20 weeks","01",Suppressed
,"West Virginia","54","20 - 27 weeks","02",106
,"West Virginia","54","28 - 31 weeks","03",188
,"West Virginia","54","32 - 35 weeks","04",1009
,"West Virginia","54","36 weeks","05",891
,"West Virginia","54","37 - 39 weeks","06",12081
,"West Virginia","54","40 weeks","07",2168
,"West Virginia","54","41 weeks","08",448
,"West Virginia","54","42 weeks or more","09",30
,"West Virginia","54","Unknown or Not Stated","10",Suppressed
,"Wisconsin","55","Under 20 weeks","01",18
,"Wisconsin","55","20 - 27 weeks","02",338
,"Wisconsin","55","28 - 31 weeks","03",551
,"Wisconsin","55","32 - 35 weeks","04",2800
,"Wisconsin","55","36 weeks","05",2450
,"Wisconsin","55","37 - 39 weeks","06",40134
,"Wisconsin","55","40 weeks","07",10908
,"Wisconsin","55","41 weeks","08",2573
,"Wisconsin","55","42 weeks or more","09",222
,"Wisconsin","55","Unknown or Not Stated","10",55
,"Wyoming","56","Under 20 weeks","01",Suppressed
,"Wyoming","56","20 - 27 weeks","02",29
,"Wyoming","56","28 - 31 weeks","03",58
,"Wyoming","56","32 - 35 weeks","04",267
,"Wyoming","56","36 weeks","05",274
,"Wyoming","56","37 - 39 weeks","06",4163
,"Wyoming","56","40 weeks","07",1002
,"Wyoming","56","41 weeks","08",235
,"Wyoming","56","42 weeks or more","09",17
,"Wyoming","56","Unknown or Not Stated","10",Suppressed
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Year: 2022"
"Group By: State of Residence; OE Gestational Age Recode 10"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality-expanded.html for more information."
"---"
"Query Date: Sep 16, 2026 2:12:45 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2024, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Sep 16, 2026 2:12:45 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
