"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Alamance County, NC","37001","Under 15 years","15",Suppressed
,"Alamance County, NC","37001","15-19 years","15-19",102
,"Alamance County, NC","37001","20-24 years","20-24",375
,"Alamance County, NC","37001","25-29 years","25-29",589
,"Alamance County, NC","37001","30-34 years","30-34",537
,"Alamance County, NC","37001","35-39 years","35-39",278
,"Alamance County, NC","37001","40-44 years","40-44",70
,"Alamance County, NC","37001","45-49 years","45-49",Suppressed
,"Alamance County, NC","37001","50 years and over","50+",Suppressed
,"Brunswick County, NC","37019","Under 15 years","15",0
,"Brunswick County, NC","37019","15-19 years","15-19",52
,"Brunswick County, NC","37019","20-24 years","20-24",246
,"Brunswick County, NC","37019","25-29 years","25-29",351
,"Brunswick County, NC","37019","30-34 years","30-34",332
,"Brunswick County, NC","37019","35-39 years","35-39",143
,"Brunswick County, NC","37019","40-44 years","40-44",30
,"Brunswick County, NC","37019","45-49 years","45-49",Suppressed
,"Brunswick County, NC","37019","50 years and over","50+",0
,"Buncombe County, NC","37021","Under 15 years","15",Suppressed
,"Buncombe County, NC","37021","15-19 years","15-19",83
,"Buncombe County, NC","37021","20-24 years","20-24",379
,"Buncombe County, NC","37021","25-29 years","25-29",623
,"Buncombe County, NC","37021","30-34 years","30-34",754
,"Buncombe County, NC","37021","35-39 years","35-39",436
,"Buncombe County, NC","37021","40-44 years","40-44",108
,"Buncombe County, NC","37021","45-49 years","45-49",Suppressed
,"Buncombe County, NC","37021","50 years and over","50+",0
,"Cabarrus County, NC","37025","Under 15 years","15",Suppressed
,"Cabarrus County, NC","37025","15-19 years","15-19",98
,"Cabarrus County, NC","37025","20-24 years","20-24",412
,"Cabarrus County, NC","37025","25-29 years","25-29",797
,"Cabarrus County, NC","37025","30-34 years","30-34",873
,"Cabarrus County, NC","37025","35-39 years","35-39",449
,"Cabarrus County, NC","37025","40-44 years","40-44",103
,"Cabarrus County, NC","37025","45-49 years","45-49",10
,"Cabarrus County, NC","37025","50 years and over","50+",0
,"Catawba County, NC","37035","Under 15 years","15",Suppressed
,"Catawba County, NC","37035","15-19 years","15-19",73
,"Catawba County, NC","37035","20-24 years","20-24",341
,"Catawba County, NC","37035","25-29 years","25-29",547
