"Notes","State of Residence","State of Residence Code","Trimester Prenatal Care Began","Trimester Prenatal Care Began Code",Births
,"Alabama","01","1st to 3rd month","1",41769
,"Alabama","01","4th to 6th month","2",11650
,"Alabama","01","7th to final month","3",3199
,"Alabama","01","No prenatal care","4",1331
,"Alabama","01","Unknown or Not Stated","5",200
,"Alabama","01","Not Reported","100",0
,"Alaska","02","1st to 3rd month","1",6829
,"Alaska","02","4th to 6th month","2",1733
,"Alaska","02","7th to final month","3",561
,"Alaska","02","No prenatal care","4",128
,"Alaska","02","Unknown or Not Stated","5",108
,"Alaska","02","Not Reported","100",0
,"Arizona","04","1st to 3rd month","1",57118
,"Arizona","04","4th to 6th month","2",13140
,"Arizona","04","7th to final month","3",4623
,"Arizona","04","No prenatal care","4",1881
,"Arizona","04","Unknown or Not Stated","5",1785
,"Arizona","04","Not Reported","100",0
,"Arkansas","05","1st to 3rd month","1",25081
,"Arkansas","05","4th to 6th month","2",6468
,"Arkansas","05","7th to final month","3",2375
,"Arkansas","05","No prenatal care","4",1189
,"Arkansas","05","Unknown or Not Stated","5",358
,"Arkansas","05","Not Reported","100",0
,"California","06","1st to 3rd month","1",349579
,"California","06","4th to 6th month","2",47162
,"California","06","7th to final month","3",10870
,"California","06","No prenatal care","4",3603
,"California","06","Unknown or Not Stated","5",7890
,"California","06","Not Reported","100",0
,"Colorado","08","1st to 3rd month","1",49269
,"Colorado","08","4th to 6th month","2",8198
,"Colorado","08","7th to final month","3",2413
,"Colorado","08","No prenatal care","4",1189
,"Colorado","08","Unknown or Not Stated","5",1314
,"Colorado","08","Not Reported","100",0
,"Connecticut","09","1st to 3rd month","1",29280
,"Connecticut","09","4th to 6th month","2",4374
,"Connecticut","09","7th to final month","3",1239
,"Connecticut","09","No prenatal care","4",137
,"Connecticut","09","Unknown or Not Stated","5",302
,"Connecticut","09","Not Reported","100",0
,"Delaware","10","1st to 3rd month","1",8409
,"Delaware","10","4th to 6th month","2",1555
,"Delaware","10","7th to final month","3",385
,"Delaware","10","No prenatal care","4",271
,"Delaware","10","Unknown or Not Stated","5",196
,"Delaware","10","Not Reported","100",0
,"District of Columbia","11","1st to 3rd month","1",5238
,"District of Columbia","11","4th to 6th month","2",1580
,"District of Columbia","11","7th to final month","3",490
,"District of Columbia","11","No prenatal care","4",256
,"District of Columbia","11","Unknown or Not Stated","5",511
,"District of Columbia","11","Not Reported","100",0
,"Florida","12","1st to 3rd month","1",149438
,"Florida","12","4th to 6th month","2",47279
,"Florida","12","7th to final month","3",15084
,"Florida","12","No prenatal care","4",6874
,"Florida","12","Unknown or Not Stated","5",5758
,"Florida","12","Not Reported","100",0
,"Georgia","13","1st to 3rd month","1",96673
,"Georgia","13","4th to 6th month","2",19039
,"Georgia","13","7th to final month","3",5168
,"Georgia","13","No prenatal care","4",4336
,"Georgia","13","Unknown or Not Stated","5",914
,"Georgia","13","Not Reported","100",0
,"Hawaii","15","1st to 3rd month","1",10168
,"Hawaii","15","4th to 6th month","2",2491
,"Hawaii","15","7th to final month","3",887
,"Hawaii","15","No prenatal care","4",1069
,"Hawaii","15","Unknown or Not Stated","5",920
,"Hawaii","15","Not Reported","100",0
,"Idaho","16","1st to 3rd month","1",17977
,"Idaho","16","4th to 6th month","2",3294
,"Idaho","16","7th to final month","3",729
,"Idaho","16","No prenatal care","4",233
,"Idaho","16","Unknown or Not Stated","5",158
,"Idaho","16","Not Reported","100",0
,"Illinois","17","1st to 3rd month","1",98459
,"Illinois","17","4th to 6th month","2",20827
,"Illinois","17","7th to final month","3",5142
,"Illinois","17","No prenatal care","4",1914
,"Illinois","17","Unknown or Not Stated","5",2008
,"Illinois","17","Not Reported","100",0
,"Indiana","18","1st to 3rd month","1",60154
,"Indiana","18","4th to 6th month","2",14117
,"Indiana","18","7th to final month","3",3676
,"Indiana","18","No prenatal care","4",1561
,"Indiana","18","Unknown or Not Stated","5",141
,"Indiana","18","Not Reported","100",0
,"Iowa","19","1st to 3rd month","1",30013
,"Iowa","19","4th to 6th month","2",4793
,"Iowa","19","7th to final month","3",1190
,"Iowa","19","No prenatal care","4",402
,"Iowa","19","Unknown or Not Stated","5",108
,"Iowa","19","Not Reported","100",0
,"Kansas","20","1st to 3rd month","1",28487
,"Kansas","20","4th to 6th month","2",4257
,"Kansas","20","7th to final month","3",933
,"Kansas","20","No prenatal care","4",425
,"Kansas","20","Unknown or Not Stated","5",299
,"Kansas","20","Not Reported","100",0
,"Kentucky","21","1st to 3rd month","1",40603
,"Kentucky","21","4th to 6th month","2",7739
,"Kentucky","21","7th to final month","3",2235
,"Kentucky","21","No prenatal care","4",809
,"Kentucky","21","Unknown or Not Stated","5",929
,"Kentucky","21","Not Reported","100",0
,"Louisiana","22","1st to 3rd month","1",40253
,"Louisiana","22","4th to 6th month","2",10553
,"Louisiana","22","7th to final month","3",2848
,"Louisiana","22","No prenatal care","4",1501
,"Louisiana","22","Unknown or Not Stated","5",1324
,"Louisiana","22","Not Reported","100",0
,"Maine","23","1st to 3rd month","1",10021
,"Maine","23","4th to 6th month","2",1436
,"Maine","23","7th to final month","3",446
,"Maine","23","No prenatal care","4",81
,"Maine","23","Unknown or Not Stated","5",109
,"Maine","23","Not Reported","100",0
,"Maryland","24","1st to 3rd month","1",48629
,"Maryland","24","4th to 6th month","2",12213
,"Maryland","24","7th to final month","3",3215
,"Maryland","24","No prenatal care","4",1365
,"Maryland","24","Unknown or Not Stated","5",3360
,"Maryland","24","Not Reported","100",0
,"Massachusetts","25","1st to 3rd month","1",55816
,"Massachusetts","25","4th to 6th month","2",8782
,"Massachusetts","25","7th to final month","3",2752
,"Massachusetts","25","No prenatal care","4",493
,"Massachusetts","25","Unknown or Not Stated","5",741
,"Massachusetts","25","Not Reported","100",0
,"Michigan","26","1st to 3rd month","1",79622
,"Michigan","26","4th to 6th month","2",15285
,"Michigan","26","7th to final month","3",3903
,"Michigan","26","No prenatal care","4",2135
,"Michigan","26","Unknown or Not Stated","5",1376
,"Michigan","26","Not Reported","100",0
,"Minnesota","27","1st to 3rd month","1",52463
,"Minnesota","27","4th to 6th month","2",8735
,"Minnesota","27","7th to final month","3",1882
,"Minnesota","27","No prenatal care","4",437
,"Minnesota","27","Unknown or Not Stated","5",498
,"Minnesota","27","Not Reported","100",0
,"Mississippi","28","1st to 3rd month","1",26548
,"Mississippi","28","4th to 6th month","2",5931
,"Mississippi","28","7th to final month","3",1237
,"Mississippi","28","No prenatal care","4",551
,"Mississippi","28","Unknown or Not Stated","5",408
,"Mississippi","28","Not Reported","100",0
,"Missouri","29","1st to 3rd month","1",51419
,"Missouri","29","4th to 6th month","2",11619
,"Missouri","29","7th to final month","3",3036
,"Missouri","29","No prenatal care","4",1522
,"Missouri","29","Unknown or Not Stated","5",1389
,"Missouri","29","Not Reported","100",0
,"Montana","30","1st to 3rd month","1",8868
,"Montana","30","4th to 6th month","2",1683
,"Montana","30","7th to final month","3",455
,"Montana","30","No prenatal care","4",151
,"Montana","30","Unknown or Not Stated","5",18
,"Montana","30","Not Reported","100",0
,"Nebraska","31","1st to 3rd month","1",19203
,"Nebraska","31","4th to 6th month","2",3592
,"Nebraska","31","7th to final month","3",825
,"Nebraska","31","No prenatal care","4",251
,"Nebraska","31","Unknown or Not Stated","5",474
,"Nebraska","31","Not Reported","100",0
,"Nevada","32","1st to 3rd month","1",24920
,"Nevada","32","4th to 6th month","2",4950
