"Notes","State of Residence","State of Residence Code","Mother's Education","Mother's Education Code",Births
,"Alabama","01","8th grade or less","1",2610
,"Alabama","01","9th through 12th grade with no diploma","2",4978
,"Alabama","01","High school graduate or GED completed","3",19265
,"Alabama","01","Some college credit, but not a degree","4",10808
,"Alabama","01","Associate degree (AA, AS)","5",5217
,"Alabama","01","Bachelor's degree (BA, AB, BS)","6",9355
,"Alabama","01","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",4558
,"Alabama","01","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1250
,"Alabama","01","Unknown or Not Stated","Unk",108
,"Alabama","01","Excluded","Exc",0
,"Alabama","01","Not Reported","NR",0
,"Alaska","02","8th grade or less","1",47
,"Alaska","02","9th through 12th grade with no diploma","2",714
,"Alaska","02","High school graduate or GED completed","3",3027
,"Alaska","02","Some college credit, but not a degree","4",2160
,"Alaska","02","Associate degree (AA, AS)","5",694
,"Alaska","02","Bachelor's degree (BA, AB, BS)","6",1691
,"Alaska","02","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",645
,"Alaska","02","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",228
,"Alaska","02","Unknown or Not Stated","Unk",153
,"Alaska","02","Excluded","Exc",0
,"Alaska","02","Not Reported","NR",0
,"Arizona","04","8th grade or less","1",1842
,"Arizona","04","9th through 12th grade with no diploma","2",8813
,"Arizona","04","High school graduate or GED completed","3",22156
,"Arizona","04","Some college credit, but not a degree","4",16619
,"Arizona","04","Associate degree (AA, AS)","5",6766
,"Arizona","04","Bachelor's degree (BA, AB, BS)","6",14682
,"Arizona","04","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",5534
,"Arizona","04","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1746
,"Arizona","04","Unknown or Not Stated","Unk",389
,"Arizona","04","Excluded","Exc",0
,"Arizona","04","Not Reported","NR",0
,"Arkansas","05","8th grade or less","1",781
,"Arkansas","05","9th through 12th grade with no diploma","2",3368
,"Arkansas","05","High school graduate or GED completed","3",11851
,"Arkansas","05","Some college credit, but not a degree","4",7064
,"Arkansas","05","Associate degree (AA, AS)","5",3121
,"Arkansas","05","Bachelor's degree (BA, AB, BS)","6",5703
,"Arkansas","05","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",2445
,"Arkansas","05","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",673
,"Arkansas","05","Unknown or Not Stated","Unk",465
,"Arkansas","05","Excluded","Exc",0
,"Arkansas","05","Not Reported","NR",0
,"California","06","8th grade or less","1",13076
,"California","06","9th through 12th grade with no diploma","2",26384
,"California","06","High school graduate or GED completed","3",97889
,"California","06","Some college credit, but not a degree","4",73752
,"California","06","Associate degree (AA, AS)","5",28473
,"California","06","Bachelor's degree (BA, AB, BS)","6",88218
,"California","06","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",42829
,"California","06","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",14503
,"California","06","Unknown or Not Stated","Unk",33980
,"California","06","Excluded","Exc",0
,"California","06","Not Reported","NR",0
,"Colorado","08","8th grade or less","1",1584
,"Colorado","08","9th through 12th grade with no diploma","2",4437
,"Colorado","08","High school graduate or GED completed","3",12661
,"Colorado","08","Some college credit, but not a degree","4",11473
,"Colorado","08","Associate degree (AA, AS)","5",4727
,"Colorado","08","Bachelor's degree (BA, AB, BS)","6",16630
,"Colorado","08","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",8006
,"Colorado","08","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",2198
,"Colorado","08","Unknown or Not Stated","Unk",667
,"Colorado","08","Excluded","Exc",0
,"Colorado","08","Not Reported","NR",0
,"Connecticut","09","8th grade or less","1",872
,"Connecticut","09","9th through 12th grade with no diploma","2",2096
,"Connecticut","09","High school graduate or GED completed","3",6763
,"Connecticut","09","Some college credit, but not a degree","4",5316
,"Connecticut","09","Associate degree (AA, AS)","5",2973
,"Connecticut","09","Bachelor's degree (BA, AB, BS)","6",8964
,"Connecticut","09","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",6611
,"Connecticut","09","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1682
,"Connecticut","09","Unknown or Not Stated","Unk",55
,"Connecticut","09","Excluded","Exc",0
,"Connecticut","09","Not Reported","NR",0
,"Delaware","10","8th grade or less","1",534
,"Delaware","10","9th through 12th grade with no diploma","2",870
,"Delaware","10","High school graduate or GED completed","3",2934
,"Delaware","10","Some college credit, but not a degree","4",1841
,"Delaware","10","Associate degree (AA, AS)","5",798
,"Delaware","10","Bachelor's degree (BA, AB, BS)","6",2065
,"Delaware","10","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1253
,"Delaware","10","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",301
,"Delaware","10","Unknown or Not Stated","Unk",220
,"Delaware","10","Excluded","Exc",0
,"Delaware","10","Not Reported","NR",0
,"District of Columbia","11","8th grade or less","1",254
,"District of Columbia","11","9th through 12th grade with no diploma","2",683
,"District of Columbia","11","High school graduate or GED completed","3",1715
,"District of Columbia","11","Some college credit, but not a degree","4",942
,"District of Columbia","11","Associate degree (AA, AS)","5",221
,"District of Columbia","11","Bachelor's degree (BA, AB, BS)","6",1407
,"District of Columbia","11","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",1780
