"Notes","State of Residence","State of Residence Code","Mother's Education","Mother's Education Code",Births
,"Alabama","01","8th grade or less","1",3020
,"Alabama","01","9th through 12th grade with no diploma","2",4778
,"Alabama","01","High school graduate or GED completed","3",19511
,"Alabama","01","Some college credit, but not a degree","4",9807
,"Alabama","01","Associate degree (AA, AS)","5",5125
,"Alabama","01","Bachelor's degree (BA, AB, BS)","6",9642
,"Alabama","01","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",4615
,"Alabama","01","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1298
,"Alabama","01","Unknown or Not Stated","Unk",138
,"Alabama","01","Excluded","Exc",0
,"Alabama","01","Not Reported","NR",0
,"Alaska","02","8th grade or less","1",39
,"Alaska","02","9th through 12th grade with no diploma","2",644
,"Alaska","02","High school graduate or GED completed","3",2925
,"Alaska","02","Some college credit, but not a degree","4",2015
,"Alaska","02","Associate degree (AA, AS)","5",731
,"Alaska","02","Bachelor's degree (BA, AB, BS)","6",1618
,"Alaska","02","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",590
,"Alaska","02","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",220
,"Alaska","02","Unknown or Not Stated","Unk",161
,"Alaska","02","Excluded","Exc",0
,"Alaska","02","Not Reported","NR",0
,"Arizona","04","8th grade or less","1",2141
,"Arizona","04","9th through 12th grade with no diploma","2",8442
,"Arizona","04","High school graduate or GED completed","3",23076
,"Arizona","04","Some college credit, but not a degree","4",15138
,"Arizona","04","Associate degree (AA, AS)","5",6483
,"Arizona","04","Bachelor's degree (BA, AB, BS)","6",15355
,"Arizona","04","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",5652
,"Arizona","04","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1881
,"Arizona","04","Unknown or Not Stated","Unk",543
,"Arizona","04","Excluded","Exc",0
,"Arizona","04","Not Reported","NR",0
,"Arkansas","05","8th grade or less","1",901
,"Arkansas","05","9th through 12th grade with no diploma","2",3265
,"Arkansas","05","High school graduate or GED completed","3",12057
,"Arkansas","05","Some college credit, but not a degree","4",6563
,"Arkansas","05","Associate degree (AA, AS)","5",2969
,"Arkansas","05","Bachelor's degree (BA, AB, BS)","6",5867
,"Arkansas","05","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",2545
,"Arkansas","05","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",742
,"Arkansas","05","Unknown or Not Stated","Unk",486
,"Arkansas","05","Excluded","Exc",0
,"Arkansas","05","Not Reported","NR",0
,"California","06","8th grade or less","1",11834
,"California","06","9th through 12th grade with no diploma","2",23278
,"California","06","High school graduate or GED completed","3",93982
,"California","06","Some college credit, but not a degree","4",64731
,"California","06","Associate degree (AA, AS)","5",26656
,"California","06","Bachelor's degree (BA, AB, BS)","6",88491
,"California","06","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",43585
,"California","06","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",14562
