"Notes","State of Residence","State of Residence Code","Trimester Prenatal Care Began","Trimester Prenatal Care Began Code",Births
,"Alabama","01","1st to 3rd month","1",40577
,"Alabama","01","4th to 6th month","2",12137
,"Alabama","01","7th to final month","3",3223
,"Alabama","01","No prenatal care","4",1803
,"Alabama","01","Unknown or Not Stated","5",194
,"Alabama","01","Not Reported","100",0
,"Alaska","02","1st to 3rd month","1",6622
,"Alaska","02","4th to 6th month","2",1572
,"Alaska","02","7th to final month","3",455
,"Alaska","02","No prenatal care","4",105
,"Alaska","02","Unknown or Not Stated","5",189
,"Alaska","02","Not Reported","100",0
,"Arizona","04","1st to 3rd month","1",56156
,"Arizona","04","4th to 6th month","2",14137
,"Arizona","04","7th to final month","3",4660
,"Arizona","04","No prenatal care","4",2236
,"Arizona","04","Unknown or Not Stated","5",1522
,"Arizona","04","Not Reported","100",0
,"Arkansas","05","1st to 3rd month","1",24756
,"Arkansas","05","4th to 6th month","2",6954
,"Arkansas","05","7th to final month","3",2324
,"Arkansas","05","No prenatal care","4",942
,"Arkansas","05","Unknown or Not Stated","5",419
,"Arkansas","05","Not Reported","100",0
,"California","06","1st to 3rd month","1",330903
,"California","06","4th to 6th month","2",47413
,"California","06","7th to final month","3",11246
,"California","06","No prenatal care","4",3123
,"California","06","Unknown or Not Stated","5",9390
,"California","06","Not Reported","100",0
,"Colorado","08","1st to 3rd month","1",48451
,"Colorado","08","4th to 6th month","2",10017
,"Colorado","08","7th to final month","3",2741
,"Colorado","08","No prenatal care","4",1366
,"Colorado","08","Unknown or Not Stated","5",1693
,"Colorado","08","Not Reported","100",0
,"Connecticut","09","1st to 3rd month","1",28800
,"Connecticut","09","4th to 6th month","2",4311
,"Connecticut","09","7th to final month","3",1155
,"Connecticut","09","No prenatal care","4",144
,"Connecticut","09","Unknown or Not Stated","5",189
,"Connecticut","09","Not Reported","100",0
,"Delaware","10","1st to 3rd month","1",7814
,"Delaware","10","4th to 6th month","2",1886
,"Delaware","10","7th to final month","3",418
,"Delaware","10","No prenatal care","4",184
,"Delaware","10","Unknown or Not Stated","5",248
,"Delaware","10","Not Reported","100",0
,"District of Columbia","11","1st to 3rd month","1",5237
,"District of Columbia","11","4th to 6th month","2",1311
,"District of Columbia","11","7th to final month","3",451
,"District of Columbia","11","No prenatal care","4",341
,"District of Columbia","11","Unknown or Not Stated","5",276
,"District of Columbia","11","Not Reported","100",0
,"Florida","12","1st to 3rd month","1",141171
,"Florida","12","4th to 6th month","2",50585
,"Florida","12","7th to final month","3",15535
,"Florida","12","No prenatal care","4",9175
,"Florida","12","Unknown or Not Stated","5",7923
,"Florida","12","Not Reported","100",0
,"Georgia","13","1st to 3rd month","1",88482
,"Georgia","13","4th to 6th month","2",22635
