"Notes","State of Residence","State of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Alabama","01","Under 15 years","15",49
,"Alabama","01","15-19 years","15-19",3287
,"Alabama","01","20-24 years","20-24",13307
,"Alabama","01","25-29 years","25-29",18209
,"Alabama","01","30-34 years","30-34",15023
,"Alabama","01","35-39 years","35-39",6633
,"Alabama","01","40-44 years","40-44",1356
,"Alabama","01","45-49 years","45-49",65
,"Alabama","01","50 years and over","50+",Suppressed
,"Alaska","02","Under 15 years","15",Suppressed
,"Alaska","02","15-19 years","15-19",317
,"Alaska","02","20-24 years","20-24",1739
,"Alaska","02","25-29 years","25-29",2536
,"Alaska","02","30-34 years","30-34",2566
,"Alaska","02","35-39 years","35-39",1446
,"Alaska","02","40-44 years","40-44",320
,"Alaska","02","45-49 years","45-49",17
,"Alaska","02","50 years and over","50+",0
,"Arizona","04","Under 15 years","15",23
,"Arizona","04","15-19 years","15-19",3410
,"Arizona","04","20-24 years","20-24",14857
,"Arizona","04","25-29 years","25-29",23188
,"Arizona","04","30-34 years","30-34",22990
,"Arizona","04","35-39 years","35-39",11502
,"Arizona","04","40-44 years","40-44",2547
,"Arizona","04","45-49 years","45-49",166
,"Arizona","04","50 years and over","50+",28
,"Arkansas","05","Under 15 years","15",19
,"Arkansas","05","15-19 years","15-19",2273
,"Arkansas","05","20-24 years","20-24",8994
,"Arkansas","05","25-29 years","25-29",11199
,"Arkansas","05","30-34 years","30-34",8440
,"Arkansas","05","35-39 years","35-39",3655
,"Arkansas","05","40-44 years","40-44",777
,"Arkansas","05","45-49 years","45-49",36
,"Arkansas","05","50 years and over","50+",Suppressed
,"California","06","Under 15 years","15",132
,"California","06","15-19 years","15-19",11164
,"California","06","20-24 years","20-24",52162
,"California","06","25-29 years","25-29",94361
,"California","06","30-34 years","30-34",131359
,"California","06","35-39 years","35-39",88460
,"California","06","40-44 years","40-44",22302
,"California","06","45-49 years","45-49",1816
,"California","06","50 years and over","50+",319
,"Colorado","08","Under 15 years","15",20
,"Colorado","08","15-19 years","15-19",2057
,"Colorado","08","20-24 years","20-24",9488
,"Colorado","08","25-29 years","25-29",16495
,"Colorado","08","30-34 years","30-34",20910
,"Colorado","08","35-39 years","35-39",12483
,"Colorado","08","40-44 years","40-44",2632
,"Colorado","08","45-49 years","45-49",171
,"Colorado","08","50 years and over","50+",12
,"Connecticut","09","Under 15 years","15",Suppressed
,"Connecticut","09","15-19 years","15-19",782
,"Connecticut","09","20-24 years","20-24",3549
,"Connecticut","09","25-29 years","25-29",7480
,"Connecticut","09","30-34 years","30-34",12780
,"Connecticut","09","35-39 years","35-39",8068
,"Connecticut","09","40-44 years","40-44",1767
,"Connecticut","09","45-49 years","45-49",141
,"Connecticut","09","50 years and over","50+",23
,"Delaware","10","Under 15 years","15",Suppressed
,"Delaware","10","15-19 years","15-19",437
,"Delaware","10","20-24 years","20-24",1687
