"Notes","State of Residence","State of Residence Code","OE Gestational Age Recode 10","OE Gestational Age Recode 10 Code",Births
,"Alabama","01","Under 20 weeks","01",24
,"Alabama","01","20 - 27 weeks","02",444
,"Alabama","01","28 - 31 weeks","03",659
,"Alabama","01","32 - 35 weeks","04",3279
,"Alabama","01","36 weeks","05",2973
,"Alabama","01","37 - 39 weeks","06",41865
,"Alabama","01","40 weeks","07",7318
,"Alabama","01","41 weeks","08",1288
,"Alabama","01","42 weeks or more","09",76
,"Alabama","01","Unknown or Not Stated","10",Suppressed
,"Alaska","02","Under 20 weeks","01",0
,"Alaska","02","20 - 27 weeks","02",47
,"Alaska","02","28 - 31 weeks","03",76
,"Alaska","02","32 - 35 weeks","04",402
,"Alaska","02","36 weeks","05",371
,"Alaska","02","37 - 39 weeks","06",5600
,"Alaska","02","40 weeks","07",1758
,"Alaska","02","41 weeks","08",625
,"Alaska","02","42 weeks or more","09",53
,"Alaska","02","Unknown or Not Stated","10",11
,"Arizona","04","Under 20 weeks","01",28
,"Arizona","04","20 - 27 weeks","02",379
,"Arizona","04","28 - 31 weeks","03",600
,"Arizona","04","32 - 35 weeks","04",3404
,"Arizona","04","36 weeks","05",3183
,"Arizona","04","37 - 39 weeks","06",52566
,"Arizona","04","40 weeks","07",14280
,"Arizona","04","41 weeks","08",4023
,"Arizona","04","42 weeks or more","09",165
,"Arizona","04","Unknown or Not Stated","10",83
,"Arkansas","05","Under 20 weeks","01",17
,"Arkansas","05","20 - 27 weeks","02",258
,"Arkansas","05","28 - 31 weeks","03",361
,"Arkansas","05","32 - 35 weeks","04",1878
,"Arkansas","05","36 weeks","05",1775
,"Arkansas","05","37 - 39 weeks","06",25423
,"Arkansas","05","40 weeks","07",4762
,"Arkansas","05","41 weeks","08",824
,"Arkansas","05","42 weeks or more","09",73
,"Arkansas","05","Unknown or Not Stated","10",24
,"California","06","Under 20 weeks","01",68
,"California","06","20 - 27 weeks","02",2016
,"California","06","28 - 31 weeks","03",3679
,"California","06","32 - 35 weeks","04",15821
,"California","06","36 weeks","05",14884
,"California","06","37 - 39 weeks","06",260703
,"California","06","40 weeks","07",80658
,"California","06","41 weeks","08",23070
,"California","06","42 weeks or more","09",905
,"California","06","Unknown or Not Stated","10",271
,"Colorado","08","Under 20 weeks","01",13
,"Colorado","08","20 - 27 weeks","02",327
,"Colorado","08","28 - 31 weeks","03",524
