"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Atlantic County, NJ","34001","Under 15 years","15",Suppressed
,"Atlantic County, NJ","34001","15-19 years","15-19",134
,"Atlantic County, NJ","34001","20-24 years","20-24",508
,"Atlantic County, NJ","34001","25-29 years","25-29",861
,"Atlantic County, NJ","34001","30-34 years","30-34",821
,"Atlantic County, NJ","34001","35-39 years","35-39",393
,"Atlantic County, NJ","34001","40-44 years","40-44",117
,"Atlantic County, NJ","34001","45-49 years","45-49",Suppressed
,"Atlantic County, NJ","34001","50 years and over","50+",0
,"Bergen County, NJ","34003","Under 15 years","15",Suppressed
,"Bergen County, NJ","34003","15-19 years","15-19",87
,"Bergen County, NJ","34003","20-24 years","20-24",546
,"Bergen County, NJ","34003","25-29 years","25-29",1735
,"Bergen County, NJ","34003","30-34 years","30-34",3562
,"Bergen County, NJ","34003","35-39 years","35-39",2451
,"Bergen County, NJ","34003","40-44 years","40-44",573
,"Bergen County, NJ","34003","45-49 years","45-49",45
,"Bergen County, NJ","34003","50 years and over","50+",Suppressed
,"Burlington County, NJ","34005","Under 15 years","15",Suppressed
,"Burlington County, NJ","34005","15-19 years","15-19",97
,"Burlington County, NJ","34005","20-24 years","20-24",515
,"Burlington County, NJ","34005","25-29 years","25-29",1166
,"Burlington County, NJ","34005","30-34 years","30-34",1627
,"Burlington County, NJ","34005","35-39 years","35-39",852
,"Burlington County, NJ","34005","40-44 years","40-44",148
,"Burlington County, NJ","34005","45-49 years","45-49",10
,"Burlington County, NJ","34005","50 years and over","50+",Suppressed
,"Camden County, NJ","34007","Under 15 years","15",0
,"Camden County, NJ","34007","15-19 years","15-19",241
,"Camden County, NJ","34007","20-24 years","20-24",940
,"Camden County, NJ","34007","25-29 years","25-29",1646
,"Camden County, NJ","34007","30-34 years","30-34",2023
,"Camden County, NJ","34007","35-39 years","35-39",1049
,"Camden County, NJ","34007","40-44 years","40-44",210
,"Camden County, NJ","34007","45-49 years","45-49",12
,"Camden County, NJ","34007","50 years and over","50+",Suppressed
,"Cumberland County, NJ","34011","Under 15 years","15",0
,"Cumberland County, NJ","34011","15-19 years","15-19",137
,"Cumberland County, NJ","34011","20-24 years","20-24",443
,"Cumberland County, NJ","34011","25-29 years","25-29",584
,"Cumberland County, NJ","34011","30-34 years","30-34",402
,"Cumberland County, NJ","34011","35-39 years","35-39",210
,"Cumberland County, NJ","34011","40-44 years","40-44",54
,"Cumberland County, NJ","34011","45-49 years","45-49",Suppressed
,"Cumberland County, NJ","34011","50 years and over","50+",0
,"Essex County, NJ","34013","Under 15 years","15",Suppressed
,"Essex County, NJ","34013","15-19 years","15-19",388
,"Essex County, NJ","34013","20-24 years","20-24",1435
,"Essex County, NJ","34013","25-29 years","25-29",2383
,"Essex County, NJ","34013","30-34 years","30-34",3031
,"Essex County, NJ","34013","35-39 years","35-39",2096
,"Essex County, NJ","34013","40-44 years","40-44",537
,"Essex County, NJ","34013","45-49 years","45-49",41
,"Essex County, NJ","34013","50 years and over","50+",Suppressed
,"Gloucester County, NJ","34015","Under 15 years","15",0
,"Gloucester County, NJ","34015","15-19 years","15-19",62
,"Gloucester County, NJ","34015","20-24 years","20-24",324
,"Gloucester County, NJ","34015","25-29 years","25-29",792
,"Gloucester County, NJ","34015","30-34 years","30-34",1080
,"Gloucester County, NJ","34015","35-39 years","35-39",554
,"Gloucester County, NJ","34015","40-44 years","40-44",104
,"Gloucester County, NJ","34015","45-49 years","45-49",Suppressed
,"Gloucester County, NJ","34015","50 years and over","50+",Suppressed
,"Hudson County, NJ","34017","Under 15 years","15",Suppressed
,"Hudson County, NJ","34017","15-19 years","15-19",228
,"Hudson County, NJ","34017","20-24 years","20-24",979
,"Hudson County, NJ","34017","25-29 years","25-29",2205
,"Hudson County, NJ","34017","30-34 years","30-34",3861
,"Hudson County, NJ","34017","35-39 years","35-39",2214
,"Hudson County, NJ","34017","40-44 years","40-44",442
