"Notes","State of Residence","State of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Alabama","01","Under 15 years","15",47
,"Alabama","01","15-19 years","15-19",3955
,"Alabama","01","20-24 years","20-24",15279
,"Alabama","01","25-29 years","25-29",18662
,"Alabama","01","30-34 years","30-34",13777
,"Alabama","01","35-39 years","35-39",5782
,"Alabama","01","40-44 years","40-44",1047
,"Alabama","01","45-49 years","45-49",63
,"Alabama","01","50 years and over","50+",Suppressed
,"Alaska","02","Under 15 years","15",Suppressed
,"Alaska","02","15-19 years","15-19",393
,"Alaska","02","20-24 years","20-24",2053
,"Alaska","02","25-29 years","25-29",3084
,"Alaska","02","30-34 years","30-34",2628
,"Alaska","02","35-39 years","35-39",1356
,"Alaska","02","40-44 years","40-44",287
,"Alaska","02","45-49 years","45-49",17
,"Alaska","02","50 years and over","50+",Suppressed
,"Arizona","04","Under 15 years","15",37
,"Arizona","04","15-19 years","15-19",4318
,"Arizona","04","20-24 years","20-24",16913
,"Arizona","04","25-29 years","25-29",24378
,"Arizona","04","30-34 years","30-34",20886
,"Arizona","04","35-39 years","35-39",10460
,"Arizona","04","40-44 years","40-44",2228
,"Arizona","04","45-49 years","45-49",141
,"Arizona","04","50 years and over","50+",14
,"Arkansas","05","Under 15 years","15",28
,"Arkansas","05","15-19 years","15-19",2882
,"Arkansas","05","20-24 years","20-24",10354
,"Arkansas","05","25-29 years","25-29",11325
,"Arkansas","05","30-34 years","30-34",7929
,"Arkansas","05","35-39 years","35-39",3399
,"Arkansas","05","40-44 years","40-44",622
,"Arkansas","05","45-49 years","45-49",23
,"Arkansas","05","50 years and over","50+",Suppressed
,"California","06","Under 15 years","15",122
,"California","06","15-19 years","15-19",15356
,"California","06","20-24 years","20-24",66789
,"California","06","25-29 years","25-29",115830
,"California","06","30-34 years","30-34",138688
,"California","06","35-39 years","35-39",87106
,"California","06","40-44 years","40-44",20416
,"California","06","45-49 years","45-49",1865
,"California","06","50 years and over","50+",307
,"Colorado","08","Under 15 years","15",22
,"Colorado","08","15-19 years","15-19",2471
,"Colorado","08","20-24 years","20-24",10283
,"Colorado","08","25-29 years","25-29",17276
,"Colorado","08","30-34 years","30-34",19735
,"Colorado","08","35-39 years","35-39",10765
,"Colorado","08","40-44 years","40-44",2165
,"Colorado","08","45-49 years","45-49",136
,"Colorado","08","50 years and over","50+",16
,"Connecticut","09","Under 15 years","15",Suppressed
,"Connecticut","09","15-19 years","15-19",902
,"Connecticut","09","20-24 years","20-24",4158
,"Connecticut","09","25-29 years","25-29",8486
,"Connecticut","09","30-34 years","30-34",12259
,"Connecticut","09","35-39 years","35-39",6832
,"Connecticut","09","40-44 years","40-44",1493
,"Connecticut","09","45-49 years","45-49",101
,"Connecticut","09","50 years and over","50+",19
,"Delaware","10","Under 15 years","15",Suppressed
,"Delaware","10","15-19 years","15-19",444
,"Delaware","10","20-24 years","20-24",1839
,"Delaware","10","25-29 years","25-29",3210
,"Delaware","10","30-34 years","30-34",3153
,"Delaware","10","35-39 years","35-39",1560
,"Delaware","10","40-44 years","40-44",311
