"Notes","State of Residence","State of Residence Code","Mother's Education","Mother's Education Code",Births
,"Alabama","01","8th grade or less","1",2350
,"Alabama","01","9th through 12th grade with no diploma","2",5855
,"Alabama","01","High school graduate or GED completed","3",18887
,"Alabama","01","Some college credit, but not a degree","4",12545
,"Alabama","01","Associate degree (AA, AS)","5",5017
,"Alabama","01","Bachelor's degree (BA, AB, BS)","6",8892
,"Alabama","01","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",3915
,"Alabama","01","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1056
,"Alabama","01","Unknown or Not Stated","Unk",98
,"Alabama","01","Excluded","Exc",0
,"Alabama","01","Not Reported","NR",0
,"Alaska","02","8th grade or less","1",68
,"Alaska","02","9th through 12th grade with no diploma","2",830
,"Alaska","02","High school graduate or GED completed","3",3001
,"Alaska","02","Some college credit, but not a degree","4",2446
,"Alaska","02","Associate degree (AA, AS)","5",776
,"Alaska","02","Bachelor's degree (BA, AB, BS)","6",1675
,"Alaska","02","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",636
,"Alaska","02","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",221
,"Alaska","02","Unknown or Not Stated","Unk",169
,"Alaska","02","Excluded","Exc",0
,"Alaska","02","Not Reported","NR",0
,"Arizona","04","8th grade or less","1",2247
,"Arizona","04","9th through 12th grade with no diploma","2",10350
,"Arizona","04","High school graduate or GED completed","3",21293
,"Arizona","04","Some college credit, but not a degree","4",18249
,"Arizona","04","Associate degree (AA, AS)","5",6803
,"Arizona","04","Bachelor's degree (BA, AB, BS)","6",13466
,"Arizona","04","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",5073
,"Arizona","04","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1556
,"Arizona","04","Unknown or Not Stated","Unk",338
,"Arizona","04","Excluded","Exc",0
,"Arizona","04","Not Reported","NR",0
,"Arkansas","05","8th grade or less","1",799
,"Arkansas","05","9th through 12th grade with no diploma","2",3964
,"Arkansas","05","High school graduate or GED completed","3",12227
,"Arkansas","05","Some college credit, but not a degree","4",8350
,"Arkansas","05","Associate degree (AA, AS)","5",2889
,"Arkansas","05","Bachelor's degree (BA, AB, BS)","6",5265
,"Arkansas","05","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",2244
,"Arkansas","05","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",549
,"Arkansas","05","Unknown or Not Stated","Unk",277
,"Arkansas","05","Excluded","Exc",0
,"Arkansas","05","Not Reported","NR",0
,"California","06","8th grade or less","1",14910
,"California","06","9th through 12th grade with no diploma","2",35283
,"California","06","High school graduate or GED completed","3",105388
,"California","06","Some college credit, but not a degree","4",85435
,"California","06","Associate degree (AA, AS)","5",29852
,"California","06","Bachelor's degree (BA, AB, BS)","6",91537
,"California","06","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",42057
,"California","06","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",14070
,"California","06","Unknown or Not Stated","Unk",27947
,"California","06","Excluded","Exc",0
,"California","06","Not Reported","NR",0
,"Colorado","08","8th grade or less","1",1504
,"Colorado","08","9th through 12th grade with no diploma","2",5144
,"Colorado","08","High school graduate or GED completed","3",12598
,"Colorado","08","Some college credit, but not a degree","4",12669
,"Colorado","08","Associate degree (AA, AS)","5",4991
,"Colorado","08","Bachelor's degree (BA, AB, BS)","6",15825
,"Colorado","08","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",7217
,"Colorado","08","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",2105
,"Colorado","08","Unknown or Not Stated","Unk",816
,"Colorado","08","Excluded","Exc",0
,"Colorado","08","Not Reported","NR",0
,"Connecticut","09","8th grade or less","1",729
,"Connecticut","09","9th through 12th grade with no diploma","2",2393
,"Connecticut","09","High school graduate or GED completed","3",6437
,"Connecticut","09","Some college credit, but not a degree","4",5946
,"Connecticut","09","Associate degree (AA, AS)","5",3142
,"Connecticut","09","Bachelor's degree (BA, AB, BS)","6",8101
,"Connecticut","09","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",5936
,"Connecticut","09","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",1508
,"Connecticut","09","Unknown or Not Stated","Unk",66
,"Connecticut","09","Excluded","Exc",0
,"Connecticut","09","Not Reported","NR",0
,"Delaware","10","8th grade or less","1",474
,"Delaware","10","9th through 12th grade with no diploma","2",923
