"Notes","State of Residence","State of Residence Code","OE Gestational Age Recode 10","OE Gestational Age Recode 10 Code",Births
,"Alabama","01","Under 20 weeks","01",21
,"Alabama","01","20 - 27 weeks","02",493
,"Alabama","01","28 - 31 weeks","03",678
,"Alabama","01","32 - 35 weeks","04",3260
,"Alabama","01","36 weeks","05",2859
,"Alabama","01","37 - 39 weeks","06",42015
,"Alabama","01","40 weeks","07",7923
,"Alabama","01","41 weeks","08",1256
,"Alabama","01","42 weeks or more","09",81
,"Alabama","01","Unknown or Not Stated","10",29
,"Alaska","02","Under 20 weeks","01",0
,"Alaska","02","20 - 27 weeks","02",36
,"Alaska","02","28 - 31 weeks","03",64
,"Alaska","02","32 - 35 weeks","04",453
,"Alaska","02","36 weeks","05",401
,"Alaska","02","37 - 39 weeks","06",5844
,"Alaska","02","40 weeks","07",2155
,"Alaska","02","41 weeks","08",798
,"Alaska","02","42 weeks or more","09",62
,"Alaska","02","Unknown or Not Stated","10",Suppressed
,"Arizona","04","Under 20 weeks","01",23
,"Arizona","04","20 - 27 weeks","02",394
,"Arizona","04","28 - 31 weeks","03",648
,"Arizona","04","32 - 35 weeks","04",3279
,"Arizona","04","36 weeks","05",3091
,"Arizona","04","37 - 39 weeks","06",52862
,"Arizona","04","40 weeks","07",14868
,"Arizona","04","41 weeks","08",3998
,"Arizona","04","42 weeks or more","09",160
,"Arizona","04","Unknown or Not Stated","10",52
,"Arkansas","05","Under 20 weeks","01",18
,"Arkansas","05","20 - 27 weeks","02",270
,"Arkansas","05","28 - 31 weeks","03",405
,"Arkansas","05","32 - 35 weeks","04",1885
,"Arkansas","05","36 weeks","05",1784
,"Arkansas","05","37 - 39 weeks","06",25723
,"Arkansas","05","40 weeks","07",5487
,"Arkansas","05","41 weeks","08",923
,"Arkansas","05","42 weeks or more","09",62
,"Arkansas","05","Unknown or Not Stated","10",Suppressed
,"California","06","Under 20 weeks","01",96
,"California","06","20 - 27 weeks","02",2225
,"California","06","28 - 31 weeks","03",3823
,"California","06","32 - 35 weeks","04",17426
,"California","06","36 weeks","05",16388
,"California","06","37 - 39 weeks","06",277906
,"California","06","40 weeks","07",97216
,"California","06","41 weeks","08",30007
,"California","06","42 weeks or more","09",1187
,"California","06","Unknown or Not Stated","10",205
,"Colorado","08","Under 20 weeks","01",21
,"Colorado","08","20 - 27 weeks","02",293
,"Colorado","08","28 - 31 weeks","03",528
