"Notes","County of Residence","County of Residence Code","Age of Mother 9","Age of Mother 9 Code",Births
,"Alameda County, CA","06001","Under 15 years","15",Suppressed
,"Alameda County, CA","06001","15-19 years","15-19",321
,"Alameda County, CA","06001","20-24 years","20-24",1573
,"Alameda County, CA","06001","25-29 years","25-29",3847
,"Alameda County, CA","06001","30-34 years","30-34",6695
,"Alameda County, CA","06001","35-39 years","35-39",4668
,"Alameda County, CA","06001","40-44 years","40-44",1008
,"Alameda County, CA","06001","45-49 years","45-49",84
,"Alameda County, CA","06001","50 years and over","50+",12
,"Butte County, CA","06007","Under 15 years","15",Suppressed
,"Butte County, CA","06007","15-19 years","15-19",86
,"Butte County, CA","06007","20-24 years","20-24",394
,"Butte County, CA","06007","25-29 years","25-29",635
,"Butte County, CA","06007","30-34 years","30-34",636
,"Butte County, CA","06007","35-39 years","35-39",332
,"Butte County, CA","06007","40-44 years","40-44",65
,"Butte County, CA","06007","45-49 years","45-49",Suppressed
,"Butte County, CA","06007","50 years and over","50+",Suppressed
,"Contra Costa County, CA","06013","Under 15 years","15",Suppressed
,"Contra Costa County, CA","06013","15-19 years","15-19",268
,"Contra Costa County, CA","06013","20-24 years","20-24",1299
,"Contra Costa County, CA","06013","25-29 years","25-29",2658
,"Contra Costa County, CA","06013","30-34 years","30-34",4124
,"Contra Costa County, CA","06013","35-39 years","35-39",2698
,"Contra Costa County, CA","06013","40-44 years","40-44",618
,"Contra Costa County, CA","06013","45-49 years","45-49",53
,"Contra Costa County, CA","06013","50 years and over","50+",Suppressed
,"El Dorado County, CA","06017","Under 15 years","15",0
,"El Dorado County, CA","06017","15-19 years","15-19",26
,"El Dorado County, CA","06017","20-24 years","20-24",166
,"El Dorado County, CA","06017","25-29 years","25-29",390
,"El Dorado County, CA","06017","30-34 years","30-34",523
,"El Dorado County, CA","06017","35-39 years","35-39",352
,"El Dorado County, CA","06017","40-44 years","40-44",56
,"El Dorado County, CA","06017","45-49 years","45-49",Suppressed
,"El Dorado County, CA","06017","50 years and over","50+",Suppressed
,"Fresno County, CA","06019","Under 15 years","15",Suppressed
,"Fresno County, CA","06019","15-19 years","15-19",725
,"Fresno County, CA","06019","20-24 years","20-24",2895
,"Fresno County, CA","06019","25-29 years","25-29",4291
,"Fresno County, CA","06019","30-34 years","30-34",3697
,"Fresno County, CA","06019","35-39 years","35-39",2007
,"Fresno County, CA","06019","40-44 years","40-44",402
,"Fresno County, CA","06019","45-49 years","45-49",29
,"Fresno County, CA","06019","50 years and over","50+",Suppressed
,"Humboldt County, CA","06023","Under 15 years","15",Suppressed
,"Humboldt County, CA","06023","15-19 years","15-19",60
,"Humboldt County, CA","06023","20-24 years","20-24",249
,"Humboldt County, CA","06023","25-29 years","25-29",422
,"Humboldt County, CA","06023","30-34 years","30-34",396
,"Humboldt County, CA","06023","35-39 years","35-39",241
,"Humboldt County, CA","06023","40-44 years","40-44",46
,"Humboldt County, CA","06023","45-49 years","45-49",Suppressed
,"Humboldt County, CA","06023","50 years and over","50+",0
,"Imperial County, CA","06025","Under 15 years","15",Suppressed
,"Imperial County, CA","06025","15-19 years","15-19",149
