"Notes","County of Residence","County of Residence Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code",Births
,"Bell County, TX","48027","Hispanic or Latino","2135-2",1672
,"Bell County, TX","48027","Not Hispanic or Latino","2186-5",4486
,"Bell County, TX","48027","Unknown or Not Stated","9",Suppressed
,"Bexar County, TX","48029","Hispanic or Latino","2135-2",17116
,"Bexar County, TX","48029","Not Hispanic or Latino","2186-5",8964
,"Bexar County, TX","48029","Unknown or Not Stated","9",21
,"Brazoria County, TX","48039","Hispanic or Latino","2135-2",1825
,"Brazoria County, TX","48039","Not Hispanic or Latino","2186-5",2926
,"Brazoria County, TX","48039","Unknown or Not Stated","9",Suppressed
,"Brazos County, TX","48041","Hispanic or Latino","2135-2",932
,"Brazos County, TX","48041","Not Hispanic or Latino","2186-5",1714
,"Brazos County, TX","48041","Unknown or Not Stated","9",Suppressed
,"Cameron County, TX","48061","Hispanic or Latino","2135-2",5288
,"Cameron County, TX","48061","Not Hispanic or Latino","2186-5",840
,"Cameron County, TX","48061","Unknown or Not Stated","9",Suppressed
,"Collin County, TX","48085","Hispanic or Latino","2135-2",2198
,"Collin County, TX","48085","Not Hispanic or Latino","2186-5",9298
,"Collin County, TX","48085","Unknown or Not Stated","9",28
,"Comal County, TX","48091","Hispanic or Latino","2135-2",609
,"Comal County, TX","48091","Not Hispanic or Latino","2186-5",1050
,"Comal County, TX","48091","Unknown or Not Stated","9",Suppressed
,"Dallas County, TX","48113","Hispanic or Latino","2135-2",18207
,"Dallas County, TX","48113","Not Hispanic or Latino","2186-5",19302
,"Dallas County, TX","48113","Unknown or Not Stated","9",35
,"Denton County, TX","48121","Hispanic or Latino","2135-2",2584
,"Denton County, TX","48121","Not Hispanic or Latino","2186-5",7644
,"Denton County, TX","48121","Unknown or Not Stated","9",Suppressed
,"Ector County, TX","48135","Hispanic or Latino","2135-2",2260
,"Ector County, TX","48135","Not Hispanic or Latino","2186-5",960
,"Ector County, TX","48135","Unknown or Not Stated","9",Suppressed
,"Ellis County, TX","48139","Hispanic or Latino","2135-2",788
,"Ellis County, TX","48139","Not Hispanic or Latino","2186-5",1482
