"Notes","State of Residence","State of Residence Code","Trimester Prenatal Care Began","Trimester Prenatal Care Began Code",Births
,"Alabama","01","1st to 3rd month","1",41128
,"Alabama","01","4th to 6th month","2",12529
,"Alabama","01","7th to final month","3",3102
,"Alabama","01","No prenatal care","4",1479
,"Alabama","01","Unknown or Not Stated","5",377
,"Alabama","01","Not Reported","100",0
,"Alaska","02","1st to 3rd month","1",7164
,"Alaska","02","4th to 6th month","2",1785
,"Alaska","02","7th to final month","3",467
,"Alaska","02","No prenatal care","4",92
,"Alaska","02","Unknown or Not Stated","5",314
,"Alaska","02","Not Reported","100",0
,"Arizona","04","1st to 3rd month","1",55362
,"Arizona","04","4th to 6th month","2",14413
,"Arizona","04","7th to final month","3",5544
,"Arizona","04","No prenatal care","4",2084
,"Arizona","04","Unknown or Not Stated","5",1972
,"Arizona","04","Not Reported","100",0
,"Arkansas","05","1st to 3rd month","1",26006
,"Arkansas","05","4th to 6th month","2",7035
,"Arkansas","05","7th to final month","3",2352
,"Arkansas","05","No prenatal care","4",790
,"Arkansas","05","Unknown or Not Stated","5",381
,"Arkansas","05","Not Reported","100",0
,"California","06","1st to 3rd month","1",377939
,"California","06","4th to 6th month","2",47113
,"California","06","7th to final month","3",12596
,"California","06","No prenatal care","4",3416
,"California","06","Unknown or Not Stated","5",5415
,"California","06","Not Reported","100",0
,"Colorado","08","1st to 3rd month","1",49299
,"Colorado","08","4th to 6th month","2",8572
,"Colorado","08","7th to final month","3",2559
,"Colorado","08","No prenatal care","4",915
,"Colorado","08","Unknown or Not Stated","5",1524
,"Colorado","08","Not Reported","100",0
,"Connecticut","09","1st to 3rd month","1",28832
,"Connecticut","09","4th to 6th month","2",3984
,"Connecticut","09","7th to final month","3",1072
,"Connecticut","09","No prenatal care","4",146
,"Connecticut","09","Unknown or Not Stated","5",224
,"Connecticut","09","Not Reported","100",0
,"Delaware","10","1st to 3rd month","1",8001
,"Delaware","10","4th to 6th month","2",1697
,"Delaware","10","7th to final month","3",481
,"Delaware","10","No prenatal care","4",229
,"Delaware","10","Unknown or Not Stated","5",154
,"Delaware","10","Not Reported","100",0
,"District of Columbia","11","1st to 3rd month","1",6303
,"District of Columbia","11","4th to 6th month","2",1797
,"District of Columbia","11","7th to final month","3",470
,"District of Columbia","11","No prenatal care","4",180
,"District of Columbia","11","Unknown or Not Stated","5",329
,"District of Columbia","11","Not Reported","100",0
,"Florida","12","1st to 3rd month","1",150552
,"Florida","12","4th to 6th month","2",39916
,"Florida","12","7th to final month","3",12410
,"Florida","12","No prenatal care","4",4699
,"Florida","12","Unknown or Not Stated","5",12425
,"Florida","12","Not Reported","100",0
,"Georgia","13","1st to 3rd month","1",92938
,"Georgia","13","4th to 6th month","2",20036
,"Georgia","13","7th to final month","3",5478
,"Georgia","13","No prenatal care","4",5282
,"Georgia","13","Unknown or Not Stated","5",2637
,"Georgia","13","Not Reported","100",0
,"Hawaii","15","1st to 3rd month","1",11377
,"Hawaii","15","4th to 6th month","2",2551
,"Hawaii","15","7th to final month","3",1001
,"Hawaii","15","No prenatal care","4",871
,"Hawaii","15","Unknown or Not Stated","5",997
,"Hawaii","15","Not Reported","100",0
,"Idaho","16","1st to 3rd month","1",18070
,"Idaho","16","4th to 6th month","2",3001
,"Idaho","16","7th to final month","3",656
,"Idaho","16","No prenatal care","4",190
,"Idaho","16","Unknown or Not Stated","5",146
,"Idaho","16","Not Reported","100",0
,"Illinois","17","1st to 3rd month","1",105938
,"Illinois","17","4th to 6th month","2",22484
,"Illinois","17","7th to final month","3",5869
,"Illinois","17","No prenatal care","4",1783
,"Illinois","17","Unknown or Not Stated","5",4054
,"Illinois","17","Not Reported","100",0
,"Indiana","18","1st to 3rd month","1",59257
,"Indiana","18","4th to 6th month","2",16320
,"Indiana","18","7th to final month","3",3846
,"Indiana","18","No prenatal care","4",1259
,"Indiana","18","Unknown or Not Stated","5",177
,"Indiana","18","Not Reported","100",0
,"Iowa","19","1st to 3rd month","1",30543
,"Iowa","19","4th to 6th month","2",5325
,"Iowa","19","7th to final month","3",1304
,"Iowa","19","No prenatal care","4",289
,"Iowa","19","Unknown or Not Stated","5",188
,"Iowa","19","Not Reported","100",0
,"Kansas","20","1st to 3rd month","1",29364
,"Kansas","20","4th to 6th month","2",4425
,"Kansas","20","7th to final month","3",1020
,"Kansas","20","No prenatal care","4",355
,"Kansas","20","Unknown or Not Stated","5",231
,"Kansas","20","Not Reported","100",0
,"Kentucky","21","1st to 3rd month","1",40317
,"Kentucky","21","4th to 6th month","2",7686
,"Kentucky","21","7th to final month","3",2113
,"Kentucky","21","No prenatal care","4",990
,"Kentucky","21","Unknown or Not Stated","5",1963
,"Kentucky","21","Not Reported","100",0
,"Louisiana","22","1st to 3rd month","1",43982
,"Louisiana","22","4th to 6th month","2",9605
,"Louisiana","22","7th to final month","3",2656
,"Louisiana","22","No prenatal care","4",1304
,"Louisiana","22","Unknown or Not Stated","5",1394
,"Louisiana","22","Not Reported","100",0
,"Maine","23","1st to 3rd month","1",9972
,"Maine","23","4th to 6th month","2",1353
,"Maine","23","7th to final month","3",337
,"Maine","23","No prenatal care","4",81
,"Maine","23","Unknown or Not Stated","5",36
,"Maine","23","Not Reported","100",0
,"Maryland","24","1st to 3rd month","1",49981
,"Maryland","24","4th to 6th month","2",12362
,"Maryland","24","7th to final month","3",3663
,"Maryland","24","No prenatal care","4",1063
,"Maryland","24","Unknown or Not Stated","5",3109
,"Maryland","24","Not Reported","100",0
,"Massachusetts","25","1st to 3rd month","1",57013
,"Massachusetts","25","4th to 6th month","2",7902
,"Massachusetts","25","7th to final month","3",2734
,"Massachusetts","25","No prenatal care","4",307
,"Massachusetts","25","Unknown or Not Stated","5",1161
,"Massachusetts","25","Not Reported","100",0
,"Michigan","26","1st to 3rd month","1",84123
,"Michigan","26","4th to 6th month","2",15587
,"Michigan","26","7th to final month","3",4063
,"Michigan","26","No prenatal care","4",1531
,"Michigan","26","Unknown or Not Stated","5",2582
,"Michigan","26","Not Reported","100",0
,"Minnesota","27","1st to 3rd month","1",54730
,"Minnesota","27","4th to 6th month","2",8484
,"Minnesota","27","7th to final month","3",1958
,"Minnesota","27","No prenatal care","4",470
,"Minnesota","27","Unknown or Not Stated","5",385
,"Minnesota","27","Not Reported","100",0
,"Mississippi","28","1st to 3rd month","1",28161
,"Mississippi","28","4th to 6th month","2",6155
,"Mississippi","28","7th to final month","3",1320
,"Mississippi","28","No prenatal care","4",473
,"Mississippi","28","Unknown or Not Stated","5",527
,"Mississippi","28","Not Reported","100",0
,"Missouri","29","1st to 3rd month","1",52721
,"Missouri","29","4th to 6th month","2",12067
,"Missouri","29","7th to final month","3",3323
,"Missouri","29","No prenatal care","4",1657
,"Missouri","29","Unknown or Not Stated","5",2359
,"Missouri","29","Not Reported","100",0
,"Montana","30","1st to 3rd month","1",8714
,"Montana","30","4th to 6th month","2",1695
,"Montana","30","7th to final month","3",518
,"Montana","30","No prenatal care","4",139
,"Montana","30","Unknown or Not Stated","5",13
,"Montana","30","Not Reported","100",0
,"Nebraska","31","1st to 3rd month","1",19136
,"Nebraska","31","4th to 6th month","2",3808
,"Nebraska","31","7th to final month","3",888
,"Nebraska","31","No prenatal care","4",266
,"Nebraska","31","Unknown or Not Stated","5",657
,"Nebraska","31","Not Reported","100",0
,"Nevada","32","1st to 3rd month","1",24800
,"Nevada","32","4th to 6th month","2",5019
